method,accident,accident_100,accident_delta,completion_cost,completion_cost_delta,condition,inference_calls,inference_calls_delta,lost_success,n,new_accident,raw_steps,refresh,source,success,success_100,success_delta
Base,0.0,0.0,0.0,62.5,0.0,all,13.0,0.0,0.0,8,0.0,62.5,0.0,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0
Base,0.0,0.0,0.0,67.0,0.0,stale,14.0,0.0,0.0,4,0.0,67.0,0.0,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0
Base,0.0,0.0,0.0,58.0,0.0,matched_buffer_control,12.0,0.0,0.0,4,0.0,58.0,0.0,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0
Base,0.0,0.0,0.0,59.75,0.0,all,12.5,0.0,0.0,8,0.0,59.75,0.0,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0
Base,0.0,0.0,0.0,63.25,0.0,stale,13.0,0.0,0.0,4,0.0,63.25,0.0,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0
Base,0.0,0.0,0.0,56.25,0.0,matched_buffer_control,12.0,0.0,0.0,4,0.0,56.25,0.0,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0
Base,0.0,0.0,0.0,72.125,0.0,all,14.5,0.0,0.0,8,0.0,72.125,0.0,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0
Base,0.0,0.0,0.0,75.0,0.0,stale,15.0,0.0,0.0,4,0.0,75.0,0.0,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0
Base,0.0,0.0,0.0,69.25,0.0,matched_buffer_control,14.0,0.0,0.0,4,0.0,69.25,0.0,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0
Base,0.0,0.0,0.0,98.625,0.0,all,20.25,0.0,0.0,8,0.0,98.625,0.0,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,0.625,0.0
Base,0.0,0.0,0.0,100.75,0.0,stale,20.75,0.0,0.0,4,0.0,100.75,0.0,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,0.25,0.0
Base,0.0,0.0,0.0,96.5,0.0,matched_buffer_control,19.75,0.0,0.0,4,0.0,96.5,0.0,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,1.0,0.0
Base,0.0,0.0,0.0,96.375,0.0,all,19.5,0.0,0.0,8,0.0,96.375,0.0,7c37bc461026a4c0baa8f078d0044e9be9dbac54215649145889b00de22372bc,1.0,1.0,0.0
Base,0.0,0.0,0.0,99.0,0.0,stale,20.0,0.0,0.0,4,0.0,99.0,0.0,7c37bc461026a4c0baa8f078d0044e9be9dbac54215649145889b00de22372bc,1.0,1.0,0.0
Base,0.0,0.0,0.0,93.75,0.0,matched_buffer_control,19.0,0.0,0.0,4,0.0,93.75,0.0,7c37bc461026a4c0baa8f078d0044e9be9dbac54215649145889b00de22372bc,1.0,1.0,0.0
Base,0.0,0.0,0.0,93.75,0.0,all,18.875,0.0,0.0,8,0.0,93.75,0.0,bf2eb93d154d15c866b7220cb75da05186d637f439b488cb72df5d6e0ca225c6,1.0,1.0,0.0
Base,0.0,0.0,0.0,97.0,0.0,stale,19.5,0.0,0.0,4,0.0,97.0,0.0,bf2eb93d154d15c866b7220cb75da05186d637f439b488cb72df5d6e0ca225c6,1.0,1.0,0.0
Base,0.0,0.0,0.0,90.5,0.0,matched_buffer_control,18.25,0.0,0.0,4,0.0,90.5,0.0,bf2eb93d154d15c866b7220cb75da05186d637f439b488cb72df5d6e0ca225c6,1.0,1.0,0.0
Base,0.0625,0.0,0.0,115.25,0.0,all,22.625,0.0,0.0,16,0.0,111.0,0.0,cd8d51cb68d0b6263d1dfeb23031fde3f9fef779ac358a807df9ff3f2ed67a41,0.8125,0.5625,0.0
Base,0.125,0.0,0.0,167.75,0.0,stale,32.25,0.0,0.0,8,0.0,159.25,0.0,cd8d51cb68d0b6263d1dfeb23031fde3f9fef779ac358a807df9ff3f2ed67a41,0.625,0.125,0.0
Base,0.0,0.0,0.0,62.75,0.0,matched_buffer_control,13.0,0.0,0.0,8,0.0,62.75,0.0,cd8d51cb68d0b6263d1dfeb23031fde3f9fef779ac358a807df9ff3f2ed67a41,1.0,1.0,0.0
Base,0.0,0.0,0.0,96.875,0.0,all,19.875,0.0,0.0,8,0.0,96.875,0.0,e0e6b8a3d1c85c80ca9a0ebb4640c98bc543a40a920203184457bc8a240aea78,1.0,0.625,0.0
Base,0.0,0.0,0.0,101.25,0.0,stale,20.75,0.0,0.0,4,0.0,101.25,0.0,e0e6b8a3d1c85c80ca9a0ebb4640c98bc543a40a920203184457bc8a240aea78,1.0,0.25,0.0
Base,0.0,0.0,0.0,92.5,0.0,matched_buffer_control,19.0,0.0,0.0,4,0.0,92.5,0.0,e0e6b8a3d1c85c80ca9a0ebb4640c98bc543a40a920203184457bc8a240aea78,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,59.5,-3.0,all,12.5,-0.5,0.0,8,0.0,59.5,1.0,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,61.0,-6.0,stale,13.0,-1.0,0.0,4,0.0,61.0,1.0,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,58.0,0.0,matched_buffer_control,12.0,0.0,0.0,4,0.0,58.0,1.0,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,62.5,2.75,all,13.0,0.5,0.0,8,0.0,62.5,1.0,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,68.75,5.5,stale,14.0,1.0,0.0,4,0.0,68.75,1.0,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,56.25,0.0,matched_buffer_control,12.0,0.0,0.0,4,0.0,56.25,1.0,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,70.375,-1.75,all,14.375,-0.125,0.0,8,0.0,70.375,1.0,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,71.5,-3.5,stale,14.75,-0.25,0.0,4,0.0,71.5,1.0,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,69.25,0.0,matched_buffer_control,14.0,0.0,0.0,4,0.0,69.25,1.0,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,98.375,-0.25,all,20.125,-0.125,0.0,8,0.0,98.375,1.0,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,0.875,0.0
AlwaysRefresh,0.0,0.0,0.0,99.5,-1.25,stale,20.25,-0.5,0.0,4,0.0,99.5,1.0,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,0.75,0.0
AlwaysRefresh,0.0,0.0,0.0,97.25,0.75,matched_buffer_control,20.0,0.25,0.0,4,0.0,97.25,1.0,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,95.5,-0.875,all,19.375,-0.125,0.0,8,0.0,95.5,1.0,7c37bc461026a4c0baa8f078d0044e9be9dbac54215649145889b00de22372bc,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,96.25,-2.75,stale,19.5,-0.5,0.0,4,0.0,96.25,1.0,7c37bc461026a4c0baa8f078d0044e9be9dbac54215649145889b00de22372bc,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,94.75,1.0,matched_buffer_control,19.25,0.25,0.0,4,0.0,94.75,1.0,7c37bc461026a4c0baa8f078d0044e9be9dbac54215649145889b00de22372bc,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,91.625,-2.125,all,18.625,-0.25,0.0,8,0.0,91.625,1.0,bf2eb93d154d15c866b7220cb75da05186d637f439b488cb72df5d6e0ca225c6,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,93.5,-3.5,stale,19.0,-0.5,0.0,4,0.0,93.5,1.0,bf2eb93d154d15c866b7220cb75da05186d637f439b488cb72df5d6e0ca225c6,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,89.75,-0.75,matched_buffer_control,18.25,0.0,0.0,4,0.0,89.75,1.0,bf2eb93d154d15c866b7220cb75da05186d637f439b488cb72df5d6e0ca225c6,1.0,1.0,0.0
AlwaysRefresh,0.0625,0.0,0.0,127.3125,12.0625,all,25.75,3.125,0.1875,16,0.0625,127.0625,1.0,cd8d51cb68d0b6263d1dfeb23031fde3f9fef779ac358a807df9ff3f2ed67a41,0.6875,0.5,-0.125
AlwaysRefresh,0.125,0.0,0.0,191.375,23.625,stale,38.375,6.125,0.375,8,0.125,190.875,1.0,cd8d51cb68d0b6263d1dfeb23031fde3f9fef779ac358a807df9ff3f2ed67a41,0.375,0.0,-0.25
AlwaysRefresh,0.0,0.0,0.0,63.25,0.5,matched_buffer_control,13.125,0.125,0.0,8,0.0,63.25,1.0,cd8d51cb68d0b6263d1dfeb23031fde3f9fef779ac358a807df9ff3f2ed67a41,1.0,1.0,0.0
AlwaysRefresh,0.0,0.0,0.0,95.875,-1.0,all,19.625,-0.25,0.0,8,0.0,95.875,1.0,e0e6b8a3d1c85c80ca9a0ebb4640c98bc543a40a920203184457bc8a240aea78,1.0,0.875,0.0
AlwaysRefresh,0.0,0.0,0.0,99.75,-1.5,stale,20.25,-0.5,0.0,4,0.0,99.75,1.0,e0e6b8a3d1c85c80ca9a0ebb4640c98bc543a40a920203184457bc8a240aea78,1.0,0.75,0.0
AlwaysRefresh,0.0,0.0,0.0,92.0,-0.5,matched_buffer_control,19.0,0.0,0.0,4,0.0,92.0,1.0,e0e6b8a3d1c85c80ca9a0ebb4640c98bc543a40a920203184457bc8a240aea78,1.0,1.0,0.0
age1,0.0,0.0,0.0,59.5,-3.0,all,12.5,-0.5,0.0,8,0.0,59.5,0.5,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0
age1,0.0,0.0,0.0,61.0,-6.0,stale,13.0,-1.0,0.0,4,0.0,61.0,1.0,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0
age1,0.0,0.0,0.0,58.0,0.0,matched_buffer_control,12.0,0.0,0.0,4,0.0,58.0,0.0,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0
age1,0.0,0.0,0.0,62.5,2.75,all,13.0,0.5,0.0,8,0.0,62.5,0.5,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0
age1,0.0,0.0,0.0,68.75,5.5,stale,14.0,1.0,0.0,4,0.0,68.75,1.0,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0
age1,0.0,0.0,0.0,56.25,0.0,matched_buffer_control,12.0,0.0,0.0,4,0.0,56.25,0.0,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0
age1,0.0,0.0,0.0,70.375,-1.75,all,14.375,-0.125,0.0,8,0.0,70.375,0.5,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0
age1,0.0,0.0,0.0,71.5,-3.5,stale,14.75,-0.25,0.0,4,0.0,71.5,1.0,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0
age1,0.0,0.0,0.0,69.25,0.0,matched_buffer_control,14.0,0.0,0.0,4,0.0,69.25,0.0,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0
age1,0.0,0.0,0.0,98.0,-0.625,all,20.0,-0.25,0.0,8,0.0,98.0,0.5,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,0.875,0.0
age1,0.0,0.0,0.0,99.5,-1.25,stale,20.25,-0.5,0.0,4,0.0,99.5,1.0,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,0.75,0.0
age1,0.0,0.0,0.0,96.5,0.0,matched_buffer_control,19.75,0.0,0.0,4,0.0,96.5,0.0,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,1.0,0.0
age1,0.0,0.0,0.0,95.0,-1.375,all,19.25,-0.25,0.0,8,0.0,95.0,0.5,7c37bc461026a4c0baa8f078d0044e9be9dbac54215649145889b00de22372bc,1.0,1.0,0.0
