episode_id,source,role,condition,placement_id,state_path
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,glass,glass_recovery_train_0009,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_047.npy
e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,offpath,glass_recovery_train_0009,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_047.npy
e02,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,noglass,glass_recovery_train_0009,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_047.npy
e03,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,glass,glass_recovery_train_0005,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_026.npy
e04,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,offpath,glass_recovery_train_0005,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_026.npy
e05,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,noglass,glass_recovery_train_0005,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_026.npy
e06,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,glass,glass_recovery_train_0000,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_002.npy
e07,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,offpath,glass_recovery_train_0000,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_002.npy
e08,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,noglass,glass_recovery_train_0000,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_002.npy
e09,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,glass,glass_recovery_heldout_0004,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_028.npy
e10,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,offpath,glass_recovery_heldout_0004,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_028.npy
e11,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,noglass,glass_recovery_heldout_0004,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_028.npy
e12,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,glass,glass_recovery_heldout_0000,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_005.npy
e13,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,offpath,glass_recovery_heldout_0000,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_005.npy
e14,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,noglass,glass_recovery_heldout_0000,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_005.npy
e15,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,glass,glass_recovery_heldout_0001,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_011.npy
e16,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,offpath,glass_recovery_heldout_0001,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_011.npy
e17,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,noglass,glass_recovery_heldout_0001,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_011.npy
e18,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,glass,glass_recovery_heldout_0002,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_017.npy
e19,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,offpath,glass_recovery_heldout_0002,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_017.npy
e20,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,noglass,glass_recovery_heldout_0002,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_017.npy
e21,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,glass,glass_recovery_train_0006,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_035.npy
e22,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,offpath,glass_recovery_train_0006,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_035.npy
e23,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,noglass,glass_recovery_train_0006,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_035.npy
e24,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,glass,glass_recovery_validation_0002,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/validation/libero_state_018.npy
e25,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,offpath,glass_recovery_validation_0002,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/validation/libero_state_018.npy
e26,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,noglass,glass_recovery_validation_0002,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/validation/libero_state_018.npy
e27,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fitting,glass,glass_recovery_heldout_0003,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_022.npy
e28,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fitting,offpath,glass_recovery_heldout_0003,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_022.npy
e29,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fitting,noglass,glass_recovery_heldout_0003,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/heldout/libero_state_022.npy
e30,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,fitting,glass,glass_recovery_validation_0004,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/validation/libero_state_029.npy
e31,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,fitting,offpath,glass_recovery_validation_0004,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/validation/libero_state_029.npy
e32,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,fitting,noglass,glass_recovery_validation_0004,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/validation/libero_state_029.npy
e33,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fitting,glass,glass_recovery_train_0008,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_043.npy
e34,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fitting,offpath,glass_recovery_train_0008,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_043.npy
e35,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fitting,noglass,glass_recovery_train_0008,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_043.npy
e36,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,glass,glass_recovery_validation_0000,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/validation/libero_state_001.npy
e37,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,offpath,glass_recovery_validation_0000,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/validation/libero_state_001.npy
e38,37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,noglass,glass_recovery_validation_0000,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/validation/libero_state_001.npy
e39,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,glass,glass_recovery_heldout_0000,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/heldout/libero_state_006.npy
e40,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,offpath,glass_recovery_heldout_0000,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/heldout/libero_state_006.npy
e41,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,noglass,glass_recovery_heldout_0000,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/heldout/libero_state_006.npy
e42,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,calibration,glass,glass_recovery_train_0000,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/train/libero_state_021.npy
e43,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,calibration,offpath,glass_recovery_train_0000,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/train/libero_state_021.npy
e44,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,calibration,noglass,glass_recovery_train_0000,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/train/libero_state_021.npy
e45,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,calibration,glass,glass_recovery_train_0007,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_038.npy
e46,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,calibration,offpath,glass_recovery_train_0007,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_038.npy
e47,64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,calibration,noglass,glass_recovery_train_0007,results/glass_recovery_v2/pilot_b_task0_20260811_r5/frontier_placements/states/train/libero_state_038.npy
