horizon,method,episode,source,role,condition,success,accident,delta_success,delta_accident,success_loss,new_accident,calls,controller_steps,completion_cost,intervention,no_trigger
220,Base,e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,glass,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,220.0,0.0,0.0
220,Base,e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,offpath,1.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,101.0,0.0,0.0
220,Base,e02,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,noglass,1.0,0.0,0.0,0.0,0.0,0.0,102.5,0.0,102.5,0.0,0.0
220,Base,e03,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,glass,1.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,79.0,0.0,0.0
220,Base,e04,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,offpath,1.0,0.0,0.0,0.0,0.0,0.0,92.5,0.0,92.5,0.0,0.0
220,Base,e05,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,noglass,1.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,88.0,0.0,0.0
220,Base,e06,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,glass,0.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,220.0,0.0,0.0
220,Base,e07,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,offpath,1.0,0.0,0.0,0.0,0.0,0.0,84.5,0.0,84.5,0.0,0.0
220,Base,e08,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,noglass,1.0,0.0,0.0,0.0,0.0,0.0,82.5,0.0,82.5,0.0,0.0
220,Base,e09,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,glass,0.5,0.0,0.0,0.0,0.0,0.0,143.5,0.0,143.5,0.0,0.0
220,Base,e10,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,offpath,1.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,78.0,0.0,0.0
220,Base,e11,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,noglass,1.0,0.0,0.0,0.0,0.0,0.0,72.5,0.0,72.5,0.0,0.0
220,Base,e12,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,glass,0.0,1.0,0.0,0.0,0.0,0.0,54.0,0.0,220.0,0.0,0.0
220,Base,e13,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,offpath,1.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,94.0,0.0,0.0
220,Base,e14,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,noglass,1.0,0.0,0.0,0.0,0.0,0.0,69.5,0.0,69.5,0.0,0.0
220,Base,e15,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,glass,1.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0,0.0,0.0
220,Base,e16,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,offpath,0.5,0.5,0.0,0.0,0.0,0.0,75.5,0.0,147.5,0.0,0.0
220,Base,e17,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fitting,noglass,0.5,0.0,0.0,0.0,0.0,0.0,150.5,0.0,150.5,0.0,0.0
220,Base,e18,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,glass,0.0,1.0,0.0,0.0,0.0,0.0,32.5,0.0,220.0,0.0,0.0
220,Base,e19,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,offpath,1.0,0.0,0.0,0.0,0.0,0.0,120.5,0.0,120.5,0.0,0.0
220,Base,e20,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fitting,noglass,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,72.0,0.0,0.0
220,Base,e21,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,glass,0.0,1.0,0.0,0.0,0.0,0.0,98.0,0.0,220.0,0.0,0.0
220,Base,e22,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,offpath,1.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,92.0,0.0,0.0
220,Base,e23,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fitting,noglass,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0,0.0,0.0
220,Base,e24,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,glass,0.0,1.0,0.0,0.0,0.0,0.0,36.5,0.0,220.0,0.0,0.0
220,Base,e25,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,offpath,1.0,0.0,0.0,0.0,0.0,0.0,88.5,0.0,88.5,0.0,0.0
220,Base,e26,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fitting,noglass,1.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,85.0,0.0,0.0
