episode_id,source,condition,role,phase,repeat,option,bundle_id,bundle_sha256,policy_seed_override,controller_resume_base_step,horizon,accident,calls,completion_cost,controller_steps,reason,steps,success,success_step
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,fitting,A,0,0,67f2d59d9d156c981ccd9d688583c23d6603f5d71b284bfad5ccdb9cd9bbe513,2c68fc588a4062889c788d8b38fbbef9388e8f1e0b74eaa2f59595db4c411e64,,,220,1,35,220,0,accident,35,0,
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,fitting,A,0,0,67f2d59d9d156c981ccd9d688583c23d6603f5d71b284bfad5ccdb9cd9bbe513,2c68fc588a4062889c788d8b38fbbef9388e8f1e0b74eaa2f59595db4c411e64,,,440,1,35,440,0,accident,35,0,
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,fitting,A,0,1,67f2d59d9d156c981ccd9d688583c23d6603f5d71b284bfad5ccdb9cd9bbe513,2c68fc588a4062889c788d8b38fbbef9388e8f1e0b74eaa2f59595db4c411e64,,,220,0,1,220,220,timeout,220,0,
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,fitting,A,0,1,67f2d59d9d156c981ccd9d688583c23d6603f5d71b284bfad5ccdb9cd9bbe513,2c68fc588a4062889c788d8b38fbbef9388e8f1e0b74eaa2f59595db4c411e64,,,440,0,1,440,440,timeout,440,0,
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,fitting,A,1,1,67f2d59d9d156c981ccd9d688583c23d6603f5d71b284bfad5ccdb9cd9bbe513,2c68fc588a4062889c788d8b38fbbef9388e8f1e0b74eaa2f59595db4c411e64,,,220,0,1,220,220,timeout,220,0,
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,fitting,A,1,1,67f2d59d9d156c981ccd9d688583c23d6603f5d71b284bfad5ccdb9cd9bbe513,2c68fc588a4062889c788d8b38fbbef9388e8f1e0b74eaa2f59595db4c411e64,,,440,0,1,440,440,timeout,440,0,
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,fitting,A,1,0,67f2d59d9d156c981ccd9d688583c23d6603f5d71b284bfad5ccdb9cd9bbe513,2c68fc588a4062889c788d8b38fbbef9388e8f1e0b74eaa2f59595db4c411e64,,,220,1,38,220,0,accident,38,0,
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,fitting,A,1,0,67f2d59d9d156c981ccd9d688583c23d6603f5d71b284bfad5ccdb9cd9bbe513,2c68fc588a4062889c788d8b38fbbef9388e8f1e0b74eaa2f59595db4c411e64,,,440,1,38,440,0,accident,38,0,
e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,offpath,fitting,A,0,1,c3632d24e345bf9aa66a0ab9f6485fbb73637cb6290e813c2ce5682261bdd717,052583fe9d1eabe99f5bdcff93fe7c3ff50f723bdf575011374440b6fc2500d0,,,220,0,3,217,215,success,217,1,217
e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,offpath,fitting,A,0,1,c3632d24e345bf9aa66a0ab9f6485fbb73637cb6290e813c2ce5682261bdd717,052583fe9d1eabe99f5bdcff93fe7c3ff50f723bdf575011374440b6fc2500d0,,,440,0,3,217,215,success,217,1,217
