horizon,method,baseline,metric,delta,lo,hi,positive_sources,negative_sources
220,Base,Base,success,0.0,0.0,0.0,0,0
220,Base,Base,accident,0.0,0.0,0.0,0,0
220,Base,RiskDetour,success,0.041666666666666664,-0.010416666666666682,0.10416666666666669,3,1
220,Base,RiskDetour,accident,0.03125,0.0,0.08333333333333333,2,0
220,Base,DirectQ_sanity,success,0.0,0.0,0.0,0,0
220,Base,DirectQ_sanity,accident,0.0,0.0,0.0,0,0
220,AlwaysDetour,Base,success,-0.36458333333333337,-0.47916666666666663,-0.24999999999999997,0,13
220,AlwaysDetour,Base,accident,-0.15625,-0.25,-0.05208333333333333,2,10
220,AlwaysDetour,RiskDetour,success,-0.3229166666666667,-0.4583333333333333,-0.16666666666666669,1,12
220,AlwaysDetour,RiskDetour,accident,-0.12499999999999999,-0.21875,-0.020833333333333332,2,8
220,AlwaysDetour,DirectQ_sanity,success,-0.36458333333333337,-0.47916666666666663,-0.24999999999999997,0,13
220,AlwaysDetour,DirectQ_sanity,accident,-0.15625,-0.25,-0.05208333333333333,2,10
220,RiskDetour,Base,success,-0.041666666666666664,-0.10416666666666669,0.010416666666666682,1,3
220,RiskDetour,Base,accident,-0.03125,-0.08333333333333333,0.0,0,2
220,RiskDetour,RiskDetour,success,0.0,0.0,0.0,0,0
220,RiskDetour,RiskDetour,accident,0.0,0.0,0.0,0,0
220,RiskDetour,DirectQ_sanity,success,-0.041666666666666664,-0.10416666666666669,0.010416666666666682,1,3
220,RiskDetour,DirectQ_sanity,accident,-0.03125,-0.08333333333333333,0.0,0,2
220,DirectQ_sanity,Base,success,0.0,0.0,0.0,0,0
220,DirectQ_sanity,Base,accident,0.0,0.0,0.0,0,0
220,DirectQ_sanity,RiskDetour,success,0.041666666666666664,-0.010416666666666682,0.10416666666666669,3,1
220,DirectQ_sanity,RiskDetour,accident,0.03125,0.0,0.08333333333333333,2,0
220,DirectQ_sanity,DirectQ_sanity,success,0.0,0.0,0.0,0,0
220,DirectQ_sanity,DirectQ_sanity,accident,0.0,0.0,0.0,0,0
220,BenefitGate,Base,success,0.0,0.0,0.0,0,0
220,BenefitGate,Base,accident,0.0,0.0,0.0,0,0
220,BenefitGate,RiskDetour,success,0.041666666666666664,-0.010416666666666682,0.10416666666666669,3,1
220,BenefitGate,RiskDetour,accident,0.03125,0.0,0.08333333333333333,2,0
220,BenefitGate,DirectQ_sanity,success,0.0,0.0,0.0,0,0
220,BenefitGate,DirectQ_sanity,accident,0.0,0.0,0.0,0,0
220,RiskOnlyBenefit,Base,success,-0.041666666666666664,-0.10416666666666669,0.010416666666666682,1,3
220,RiskOnlyBenefit,Base,accident,-0.03125,-0.08333333333333333,0.0,0,2
220,RiskOnlyBenefit,RiskDetour,success,0.0,0.0,0.0,0,0
220,RiskOnlyBenefit,RiskDetour,accident,0.0,0.0,0.0,0,0
220,RiskOnlyBenefit,DirectQ_sanity,success,-0.041666666666666664,-0.10416666666666669,0.010416666666666682,1,3
220,RiskOnlyBenefit,DirectQ_sanity,accident,-0.03125,-0.08333333333333333,0.0,0,2
220,A_reference,Base,success,0.020833333333333336,0.0,0.0625,1,0
220,A_reference,Base,accident,-0.020833333333333332,-0.0625,0.0,0,1
220,A_reference,RiskDetour,success,0.0625,-0.010416666666666678,0.16666666666666669,3,1
220,A_reference,RiskDetour,accident,0.010416666666666666,-0.05208333333333333,0.07291666666666666,2,1
220,A_reference,DirectQ_sanity,success,0.020833333333333336,0.0,0.0625,1,0
220,A_reference,DirectQ_sanity,accident,-0.020833333333333332,-0.0625,0.0,0,1
220,A_long_reference,Base,success,0.020833333333333336,0.0,0.0625,1,0
220,A_long_reference,Base,accident,-0.041666666666666664,-0.10416666666666666,0.0,0,2
220,A_long_reference,RiskDetour,success,0.0625,-0.010416666666666678,0.16666666666666669,3,1
220,A_long_reference,RiskDetour,accident,-0.010416666666666668,-0.08333333333333333,0.0625,2,2
220,A_long_reference,DirectQ_sanity,success,0.020833333333333336,0.0,0.0625,1,0
220,A_long_reference,DirectQ_sanity,accident,-0.041666666666666664,-0.10416666666666666,0.0,0,2
440,Base,Base,success,0.0,0.0,0.0,0,0
440,Base,Base,accident,0.0,0.0,0.0,0,0
440,Base,RiskDetour,success,0.041666666666666664,-0.010416666666666682,0.10416666666666669,3,1
440,Base,RiskDetour,accident,0.03125,0.0,0.08333333333333333,2,0
440,Base,DirectQ_sanity,success,0.0,0.0,0.0,0,0
440,Base,DirectQ_sanity,accident,0.0,0.0,0.0,0,0
440,AlwaysDetour,Base,success,-0.28125,-0.40625,-0.16666666666666669,0,11
440,AlwaysDetour,Base,accident,-0.11458333333333333,-0.21875,-0.01015625000000378,3,8
440,AlwaysDetour,RiskDetour,success,-0.23958333333333331,-0.375,-0.10416666666666666,1,10
440,AlwaysDetour,RiskDetour,accident,-0.08333333333333333,-0.1875,0.020833333333333336,3,6
440,AlwaysDetour,DirectQ_sanity,success,-0.28125,-0.40625,-0.16666666666666669,0,11
440,AlwaysDetour,DirectQ_sanity,accident,-0.11458333333333333,-0.21875,-0.01015625000000378,3,8
440,RiskDetour,Base,success,-0.041666666666666664,-0.10416666666666669,0.010416666666666682,1,3
440,RiskDetour,Base,accident,-0.03125,-0.08333333333333333,0.0,0,2
440,RiskDetour,RiskDetour,success,0.0,0.0,0.0,0,0
440,RiskDetour,RiskDetour,accident,0.0,0.0,0.0,0,0
440,RiskDetour,DirectQ_sanity,success,-0.041666666666666664,-0.10416666666666669,0.010416666666666682,1,3
440,RiskDetour,DirectQ_sanity,accident,-0.03125,-0.08333333333333333,0.0,0,2
440,DirectQ_sanity,Base,success,0.0,0.0,0.0,0,0
440,DirectQ_sanity,Base,accident,0.0,0.0,0.0,0,0
440,DirectQ_sanity,RiskDetour,success,0.041666666666666664,-0.010416666666666682,0.10416666666666669,3,1
440,DirectQ_sanity,RiskDetour,accident,0.03125,0.0,0.08333333333333333,2,0
440,DirectQ_sanity,DirectQ_sanity,success,0.0,0.0,0.0,0,0
440,DirectQ_sanity,DirectQ_sanity,accident,0.0,0.0,0.0,0,0
440,BenefitGate,Base,success,0.0,0.0,0.0,0,0
440,BenefitGate,Base,accident,0.0,0.0,0.0,0,0
440,BenefitGate,RiskDetour,success,0.041666666666666664,-0.010416666666666682,0.10416666666666669,3,1
440,BenefitGate,RiskDetour,accident,0.03125,0.0,0.08333333333333333,2,0
440,BenefitGate,DirectQ_sanity,success,0.0,0.0,0.0,0,0
440,BenefitGate,DirectQ_sanity,accident,0.0,0.0,0.0,0,0
440,RiskOnlyBenefit,Base,success,-0.041666666666666664,-0.10416666666666669,0.010416666666666682,1,3
440,RiskOnlyBenefit,Base,accident,-0.03125,-0.08333333333333333,0.0,0,2
440,RiskOnlyBenefit,RiskDetour,success,0.0,0.0,0.0,0,0
440,RiskOnlyBenefit,RiskDetour,accident,0.0,0.0,0.0,0,0
440,RiskOnlyBenefit,DirectQ_sanity,success,-0.041666666666666664,-0.10416666666666669,0.010416666666666682,1,3
440,RiskOnlyBenefit,DirectQ_sanity,accident,-0.03125,-0.08333333333333333,0.0,0,2
440,A_reference,Base,success,0.020833333333333336,0.0,0.0625,1,0
440,A_reference,Base,accident,-0.020833333333333332,-0.0625,0.0,0,1
440,A_reference,RiskDetour,success,0.0625,-0.010416666666666678,0.16666666666666669,3,1
440,A_reference,RiskDetour,accident,0.010416666666666666,-0.05208333333333333,0.07291666666666666,2,1
440,A_reference,DirectQ_sanity,success,0.020833333333333336,0.0,0.0625,1,0
440,A_reference,DirectQ_sanity,accident,-0.020833333333333332,-0.0625,0.0,0,1
440,A_long_reference,Base,success,0.04166666666666667,0.0,0.10416666666666667,2,0
440,A_long_reference,Base,accident,-0.041666666666666664,-0.10416666666666666,0.0,0,2
440,A_long_reference,RiskDetour,success,0.08333333333333334,-6.938893903907228e-18,0.1875,4,1
440,A_long_reference,RiskDetour,accident,-0.010416666666666668,-0.08333333333333333,0.0625,2,2
440,A_long_reference,DirectQ_sanity,success,0.04166666666666667,0.0,0.10416666666666667,2,0
440,A_long_reference,DirectQ_sanity,accident,-0.041666666666666664,-0.10416666666666666,0.0,0,2
