episode,source,role,condition,horizon,triggered,A_delta_success,B_delta_success,A_0_terminal_disagreement,A_0_success_steps,A_1_terminal_disagreement,A_1_success_steps,B_0_terminal_disagreement,B_0_success_steps,B_1_terminal_disagreement,B_1_success_steps
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,offpath,220,True,0.0,0.0,False,"[99, 82]",False,"[217, 217]",False,"[97, 105]",False,"[217, 217]"
e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,offpath,440,True,0.0,0.0,False,"[99, 82]",False,"[217, 217]",False,"[97, 105]",False,"[217, 217]"
e02,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,noglass,220,True,-1.0,-1.0,False,"[103, 101]",False,"[null, null]",False,"[91, 114]",False,"[null, null]"
e02,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,fitting,noglass,440,True,-1.0,-1.0,False,"[103, 101]",False,"[null, null]",False,"[91, 114]",False,"[null, null]"
e03,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,glass,220,True,0.0,0.0,False,"[80, 73]",False,"[197, 197]",False,"[79, 79]",False,"[197, 197]"
e03,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,glass,440,True,0.0,0.0,False,"[80, 73]",False,"[197, 197]",False,"[79, 79]",False,"[197, 197]"
e04,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,offpath,220,True,-0.5,-1.0,True,"[92, null]",False,"[null, null]",False,"[92, 93]",False,"[null, null]"
e04,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,offpath,440,True,-0.5,-1.0,True,"[92, null]",False,"[null, null]",False,"[92, 93]",False,"[null, null]"
e05,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,noglass,220,True,0.0,0.0,False,"[90, 86]",False,"[220, 220]",False,"[83, 93]",False,"[220, 220]"
e05,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,fitting,noglass,440,True,0.0,0.0,False,"[90, 86]",False,"[220, 220]",False,"[83, 93]",False,"[220, 220]"
e06,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e06,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e07,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,offpath,220,True,0.0,0.0,False,"[85, 84]",False,"[199, 199]",False,"[87, 82]",False,"[199, 199]"
e07,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,offpath,440,True,0.0,0.0,False,"[85, 84]",False,"[199, 199]",False,"[87, 82]",False,"[199, 199]"
e08,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,noglass,220,True,0.0,0.0,False,"[82, 87]",False,"[206, 206]",False,"[81, 84]",False,"[206, 206]"
e08,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fitting,noglass,440,True,0.0,0.0,False,"[82, 87]",False,"[206, 206]",False,"[81, 84]",False,"[206, 206]"
e09,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,glass,220,True,-0.5,-0.5,True,"[81, null]",False,"[null, null]",True,"[67, null]",False,"[null, null]"
e09,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,glass,440,True,-0.5,-0.5,True,"[81, null]",False,"[null, null]",True,"[67, null]",False,"[null, null]"
e10,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,offpath,220,True,-1.0,-1.0,False,"[81, 78]",False,"[null, null]",False,"[78, 78]",False,"[null, null]"
e10,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,offpath,440,True,-1.0,-1.0,False,"[81, 78]",False,"[null, null]",False,"[78, 78]",False,"[null, null]"
e11,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,noglass,220,True,0.0,0.0,False,"[72, 74]",False,"[210, 210]",False,"[71, 74]",False,"[210, 210]"
e11,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fitting,noglass,440,True,0.0,0.0,False,"[72, 74]",False,"[210, 210]",False,"[71, 74]",False,"[210, 210]"
e12,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,glass,220,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e12,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,glass,440,True,0.0,0.0,False,"[null, null]",False,"[null, null]",False,"[null, null]",False,"[null, null]"
e13,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,offpath,220,True,-1.0,-1.0,False,"[102, 83]",False,"[null, null]",False,"[82, 106]",False,"[null, null]"
e13,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fitting,offpath,440,True,-1.0,-1.0,False,"[102, 83]",False,"[null, null]",False,"[82, 106]",False,"[null, null]"
