episode,source,condition,phase,option,steps_compared_or_union,length_mismatch,action_first_difference,state_before_first_difference,state_after_first_difference,policy_input_first_difference,action_different_steps,state_before_different_steps,state_after_different_steps,policy_input_different_steps
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,A,0,38,True,26,27,26,2,8,9,10,31
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,A,1,440,False,,,,,0,0,0,0
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,B,0,39,True,18,19,18,3,13,17,18,33
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass,B,1,440,False,,,,,0,0,0,0
e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,offpath,A,0,97,True,4,5,4,4,78,78,79,79
e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,offpath,A,1,215,False,,,,,0,0,0,0
e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,offpath,B,0,103,True,6,7,6,4,83,91,92,94
e01,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,offpath,B,1,215,False,,,,,0,0,0,0
e02,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,noglass,A,0,102,True,58,59,58,28,40,43,44,55
e02,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,noglass,A,1,439,False,,,,,0,0,0,0
e02,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,noglass,B,0,113,True,46,47,46,25,45,45,46,55
e02,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,noglass,B,1,439,False,,,,,0,0,0,0
