source,split,condition,placement,decision_id,anchor_index,collision_relative_horizon,repeats_per_option,base_success,detour_success,base_accident,detour_accident,delta_success,delta_accident,success_loss,new_accident,base_steps,detour_steps
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,exposed:glass_recovery_heldout_0000,35e708cd7d26ed664ae5a16e99ecfa9ac0f974c0e268ccf6e20806b3426e1a1f,1,40,1,0,0,1,1,0,0,0,0,36,238
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,exposed:glass_recovery_heldout_0000,cd22ce18548a3b2c16e9c14cd1375f5d73dff027be4468f65f000a5fb6697cb5,1,40,1,1,1,0,0,0,0,0,0,104,447
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,exposed:glass_recovery_heldout_0000,0d9ea39087fb6fd8d5df2651cdcaab4e5da5952e1f0fe0cd6915bc0eb7893a3e,1,40,1,1,1,0,0,0,0,0,0,72,341
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,exposed:glass_recovery_heldout_0000,95d1c983ef5278089cbf4a97fd29e63847cf596e6f91a5094e4f13df9cb912aa,11,30,1,0,0,1,0,0,-1,0,0,25,900
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,exposed:glass_recovery_heldout_0000,ed26209afc5c7fe32bd37476aff7664456cd16d5e3caa12510498b455f568391,11,30,1,1,1,0,0,0,0,0,0,79,453
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,exposed:glass_recovery_heldout_0000,92576fc37c2d41fbfbd270b4917f78074dfa38e9b92da0dde848094f08d10057,11,30,1,1,0,0,0,-1,0,1,0,62,900
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,exposed:glass_recovery_heldout_0000,f3f67f57bc6a517b90da02d8e03095ad4e9976149edd877a51220c85950d088b,21,20,1,0,0,1,1,0,0,0,0,18,94
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,exposed:glass_recovery_heldout_0000,908070ca1dd9689c41e49874ec23583ba380085676ade4e261316dfc9aeb90e5,21,20,1,1,0,0,0,-1,0,1,0,101,900
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,exposed:glass_recovery_heldout_0000,e25436a8833b407aa3f655b6dd419a708dcddc9f1ebed2fb203adab481548cac,21,20,1,1,1,0,0,0,0,0,0,48,206
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,exposed:glass_recovery_heldout_0000,29757722414f6a8d93120a80a5d86a22f9ffe443d961f9bd91a5b69076b25e11,31,10,1,0,0,1,1,0,0,0,0,8,99
