source,historical_split,condition,decisions,placements,repeats_per_option,base_success,detour_success,delta_success,base_accident,detour_accident,delta_accident,success_loss,new_accident
0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,glass,4,1,1,0.0,0.75,0.75,1.0,0.0,-1.0,0.0,0.0
0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,offpath,4,1,1,1.0,0.75,-0.25,0.0,0.0,0.0,0.25,0.0
0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,noglass,4,1,1,1.0,0.25,-0.75,0.0,0.0,0.0,0.75,0.0
28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,glass,5,1,1,0.0,0.0,0.0,0.8,0.2,-0.6,0.0,0.0
28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,offpath,0,0,0,,,,,,,,
28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,noglass,0,0,0,,,,,,,,
2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,development,glass,6,2,1,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0
2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,development,offpath,6,2,1,0.8333333333333334,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,development,noglass,6,2,1,1.0,0.3333333333333333,-0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0
31b4686e193cba48c44c24ee84abf5a4c210f4f0aebee2de7fbff1b1e28bc901,calibration,glass,0,0,0,,,,,,,,
31b4686e193cba48c44c24ee84abf5a4c210f4f0aebee2de7fbff1b1e28bc901,calibration,offpath,0,0,0,,,,,,,,
31b4686e193cba48c44c24ee84abf5a4c210f4f0aebee2de7fbff1b1e28bc901,calibration,noglass,0,0,0,,,,,,,,
341c49de2e2c696e8d20704c11da65c7bc3a3da5b1c643b2ae62684458783b4a,train,glass,0,0,0,,,,,,,,
341c49de2e2c696e8d20704c11da65c7bc3a3da5b1c643b2ae62684458783b4a,train,offpath,0,0,0,,,,,,,,
341c49de2e2c696e8d20704c11da65c7bc3a3da5b1c643b2ae62684458783b4a,train,noglass,0,0,0,,,,,,,,
37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,glass,0,0,0,,,,,,,,
37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,offpath,0,0,0,,,,,,,,
37d3edc8cb9ad51b8ebf45a235721c16e2531be26385d150aef2b21d81a04cae,calibration,noglass,0,0,0,,,,,,,,
3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,development,glass,5,1,1,0.0,0.0,0.0,0.8,1.0,0.2,0.0,0.2
3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,development,offpath,0,0,0,,,,,,,,
3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,development,noglass,0,0,0,,,,,,,,
5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,glass,4,1,1,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,0.0
5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,offpath,4,1,1,1.0,0.75,-0.25,0.0,0.0,0.0,0.25,0.0
5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,noglass,4,1,1,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.0
61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,development,glass,4,1,1,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0
61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,development,offpath,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,development,noglass,4,1,1,1.0,0.5,-0.5,0.0,0.0,0.0,0.5,0.0
6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,glass,4,1,1,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0
6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,offpath,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,noglass,4,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,train,glass,0,0,0,,,,,,,,
64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,train,offpath,0,0,0,,,,,,,,
64d921063eb0a02530efbea3434c347d28bd353cbb04464e5d91d499f62f61ef,train,noglass,0,0,0,,,,,,,,
