source,split,condition,placement,decision_id,option,repeat_count,steps,success,accident,termination,controller_final_stage
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,exposed:glass_recovery_heldout_0000,35e708cd7d26ed664ae5a16e99ecfa9ac0f974c0e268ccf6e20806b3426e1a1f,base_continue,1,36,False,True,accident,
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,exposed:glass_recovery_heldout_0000,35e708cd7d26ed664ae5a16e99ecfa9ac0f974c0e268ccf6e20806b3426e1a1f,detour_complete,1,238,False,True,accident,6
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,exposed:glass_recovery_heldout_0000,35e708cd7d26ed664ae5a16e99ecfa9ac0f974c0e268ccf6e20806b3426e1a1f,retreat_hold,1,80,False,False,unrecorded_cap_or_other,
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,exposed:glass_recovery_heldout_0000,cd22ce18548a3b2c16e9c14cd1375f5d73dff027be4468f65f000a5fb6697cb5,base_continue,1,104,True,False,success,
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,exposed:glass_recovery_heldout_0000,cd22ce18548a3b2c16e9c14cd1375f5d73dff027be4468f65f000a5fb6697cb5,detour_complete,1,447,True,False,success,10
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,exposed:glass_recovery_heldout_0000,cd22ce18548a3b2c16e9c14cd1375f5d73dff027be4468f65f000a5fb6697cb5,retreat_hold,1,80,False,False,unrecorded_cap_or_other,
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,exposed:glass_recovery_heldout_0000,0d9ea39087fb6fd8d5df2651cdcaab4e5da5952e1f0fe0cd6915bc0eb7893a3e,base_continue,1,72,True,False,success,
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,exposed:glass_recovery_heldout_0000,0d9ea39087fb6fd8d5df2651cdcaab4e5da5952e1f0fe0cd6915bc0eb7893a3e,detour_complete,1,341,True,False,success,10
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,exposed:glass_recovery_heldout_0000,0d9ea39087fb6fd8d5df2651cdcaab4e5da5952e1f0fe0cd6915bc0eb7893a3e,retreat_hold,1,80,False,False,unrecorded_cap_or_other,
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,exposed:glass_recovery_heldout_0000,95d1c983ef5278089cbf4a97fd29e63847cf596e6f91a5094e4f13df9cb912aa,base_continue,1,25,False,True,accident,
