parent,offset,available,unavailable_reason,o0_success_220,o0_accident_220,o1_success_220,o1_accident_220,delta_success_220,o0_success_440,o0_accident_440,o1_success_440,o1_accident_440,delta_success_440,absolute_440_R_success,R_success_suffix_steps,R_reasons,R_cap_exits,eef_bowl_xy,eef_glass_xy
e18,0,True,,0.0,0.5,1.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,"[191, 191]","[""success"", ""success""]","[0, 0]",0.1473352138960096,0.028150889695982683
e18,3,True,,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,1.0,"[168, 168]","[""success"", ""success""]","[0, 0]",0.11447747129104918,0.008274337805700227
e18,10,True,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"[179, 179]","[""success"", ""success""]","[0, 0]",0.08875827605539544,0.048629611087525004
e21,0,True,,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,"[418, 418]","[""success"", ""success""]","[2, 2]",0.16418174883105827,0.15254767129565616
e21,3,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"[434, 434]","[""success"", ""success""]","[2, 2]",0.14195798122026113,0.11376151754290773
e21,10,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,"[428, 428]","[""success"", ""success""]","[2, 2]",0.13007364502934488,0.03812540574089705
e27,0,True,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"[null, null]","[""timeout"", ""timeout""]","[2, 2]",0.13981756587648433,0.0330425925880611
e27,3,True,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"[null, null]","[""accident"", ""accident""]","[0, 0]",0.11690725711734665,0.005225742186867181
e27,10,True,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"[null, null]","[""accident"", ""accident""]","[0, 0]",0.11346353773191584,0.08155923293877167
e06,0,True,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"[null, null]","[""timeout"", ""timeout""]","[2, 2]",0.24544016185476691,0.24592813795768073
e06,3,True,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"[null, null]","[""timeout"", ""timeout""]","[2, 2]",0.23920270439039204,0.23977903804497172
e06,10,True,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"[null, null]","[""timeout"", ""timeout""]","[2, 2]",0.18831774972491866,0.1828404790012178
