parent,offset,option,repeat,branch_elapsed_seconds,charged_calls,executed_actions,controller_actions
e18,0,0,0,117.16673097014427,440,440,0
e18,0,0,1,5.619609477929771,22,22,0
e18,0,1,0,5.2283266596496105,1,191,191
e18,0,1,1,5.214524358510971,1,191,191
e18,3,0,0,37.483587083406746,140,140,0
e18,3,0,1,4.817244932986796,19,19,0
e18,3,1,0,4.61382248904556,1,168,168
e18,3,1,1,4.538152737542987,1,168,168
e18,10,0,0,21.474679018370807,81,81,0
e18,10,0,1,29.794966599904,112,112,0
e18,10,1,0,4.846677163615823,1,179,179
e18,10,1,1,4.862186837941408,1,179,179
e21,0,0,0,115.73137863818556,440,440,0
e21,0,0,1,23.984169961884618,92,92,0
e21,0,1,0,11.160422426648438,1,418,418
e21,0,1,1,11.131396456621587,1,418,418
e21,3,0,0,115.6632886910811,440,440,0
e21,3,0,1,116.06018743477762,440,440,0
e21,3,1,0,11.62755442969501,1,434,434
e21,3,1,1,11.808216386474669,1,434,434
e21,10,0,0,83.34678141772747,317,317,0
e21,10,0,1,115.82887019496411,440,440,0
e21,10,1,0,11.507384275086224,1,428,428
e21,10,1,1,11.397189457900822,1,428,428
e27,0,0,0,8.769484438933432,34,34,0
e27,0,0,1,10.158665232360363,39,39,0
e27,0,1,0,11.61909701116383,1,440,440
e27,0,1,1,11.785962585359812,1,440,440
e27,3,0,0,6.16632866114378,24,24,0
e27,3,0,1,7.684944872744381,30,30,0
e27,3,1,0,2.1651085345074534,1,82,82
e27,3,1,1,2.185689514502883,1,82,82
e27,10,0,0,4.333857712335885,17,17,0
e27,10,0,1,5.02609408646822,20,20,0
e27,10,1,0,1.7989006685093045,1,68,68
e27,10,1,1,1.8157331719994545,1,68,68
e06,0,0,0,9.989423736929893,39,39,0
e06,0,0,1,9.934905795380473,39,39,0
e06,0,1,0,11.847993794828653,1,440,440
e06,0,1,1,11.707464640028775,1,440,440
e06,3,0,0,8.682518681511283,34,34,0
e06,3,0,1,8.454534030519426,33,33,0
e06,3,1,0,11.830825353041291,1,440,440
e06,3,1,1,11.76769732311368,1,440,440
e06,10,0,0,6.982471238821745,27,27,0
e06,10,0,1,7.133145774714649,28,28,0
e06,10,1,0,11.719187932088971,1,440,440
e06,10,1,1,11.77007548790425,1,440,440
