parent,offset,repeat,bowl_max_lift_m,bowl_max_xy_motion_m,last_logged_stage,resumed_base_step
e18,0,0,0.3025752497291484,0.1310090478804958,10,
e18,0,1,0.3025752497291484,0.1310090478804958,10,
e18,3,0,0.30469240669595565,0.12846111762135068,10,
e18,3,1,0.30469240669595565,0.12846111762135068,10,
e18,10,0,0.3029280909181792,0.13077322822604084,10,
e18,10,1,0.3029280909181792,0.13077322822604084,10,
e21,0,0,0.29769382234672137,0.18793855391195877,10,
e21,0,1,0.29769382234672137,0.18793855391195877,10,
e21,3,0,0.29901093311147875,0.19024019790416608,10,
e21,3,1,0.29901093311147875,0.19024019790416608,10,
e21,10,0,0.2973245123771304,0.19724397500814186,10,
e21,10,1,0.2973245123771304,0.19724397500814186,10,
e27,0,0,0.0,0.0,6,
e27,0,1,0.0,0.0,6,
e27,3,0,0.0,0.0,6,
e27,3,1,0.0,0.0,6,
e27,10,0,0.0,0.0,6,
e27,10,1,0.0,0.0,6,
e06,0,0,2.4846791291111003e-13,6.031651237387228e-16,6,
e06,0,1,2.4846791291111003e-13,6.031651237387228e-16,6,
e06,3,0,0.0,0.0,6,
e06,3,1,0.0,0.0,6,
e06,10,0,0.0,0.0,6,
e06,10,1,0.0,0.0,6,
