parent,offset,repeat,stage,duration,start,end,cap_exit,min_error,kind
e18,0,0,0,12,12,23,False,0.016822485647400066,move
e18,0,0,1,14,24,37,False,0.017643398298153107,move
e18,0,0,2,16,38,53,False,0.017345122588661836,move
e18,0,0,3,14,54,67,False,0.015830070684317184,move
e18,0,0,4,20,68,87,False,0.017835423310786667,move
e18,0,0,5,1,88,88,False,0.018473055873089336,move
e18,0,0,6,27,89,115,False,0.01767382086680391,move
e18,0,0,7,18,116,133,False,,hold
e18,0,0,8,29,134,162,False,0.01821384872048127,move
e18,0,0,9,13,163,175,False,0.01982158127917673,move
e18,0,0,10,27,176,202,False,0.08283833432330391,move
e18,0,1,0,12,12,23,False,0.016822485647400066,move
e18,0,1,1,14,24,37,False,0.017643398298153107,move
e18,0,1,2,16,38,53,False,0.017345122588661836,move
e18,0,1,3,14,54,67,False,0.015830070684317184,move
e18,0,1,4,20,68,87,False,0.017835423310786667,move
e18,0,1,5,1,88,88,False,0.018473055873089336,move
e18,0,1,6,27,89,115,False,0.01767382086680391,move
e18,0,1,7,18,116,133,False,,hold
e18,0,1,8,29,134,162,False,0.01821384872048127,move
e18,0,1,9,13,163,175,False,0.01982158127917673,move
e18,0,1,10,27,176,202,False,0.08283833432330391,move
e18,3,0,0,6,15,20,False,0.01983651786119699,move
e18,3,0,1,13,21,33,False,0.018888535907154173,move
e18,3,0,2,12,34,45,False,0.017170666711373007,move
e18,3,0,3,6,46,51,False,0.018490820841236034,move
e18,3,0,4,17,52,68,False,0.01593946130062189,move
e18,3,0,5,1,69,69,False,0.019166237298264055,move
e18,3,0,6,27,70,96,False,0.0186542277061098,move
e18,3,0,7,18,97,114,False,,hold
e18,3,0,8,29,115,143,False,0.018192211654864118,move
e18,3,0,9,13,144,156,False,0.01782587173077365,move
e18,3,0,10,26,157,182,False,0.0833601150851735,move
e18,3,1,0,6,15,20,False,0.01983651786119699,move
e18,3,1,1,13,21,33,False,0.018888535907154173,move
e18,3,1,2,12,34,45,False,0.017170666711373007,move
e18,3,1,3,6,46,51,False,0.018490820841236034,move
e18,3,1,4,17,52,68,False,0.01593946130062189,move
e18,3,1,5,1,69,69,False,0.019166237298264055,move
e18,3,1,6,27,70,96,False,0.0186542277061098,move
e18,3,1,7,18,97,114,False,,hold
e18,3,1,8,29,115,143,False,0.018192211654864118,move
e18,3,1,9,13,144,156,False,0.01782587173077365,move
e18,3,1,10,26,157,182,False,0.0833601150851735,move
e18,10,0,0,9,22,30,False,0.018017361755393646,move
e18,10,0,1,19,31,49,False,0.01987605926936359,move
e18,10,0,2,11,50,60,False,0.018272543446839443,move
e18,10,0,3,6,61,66,False,0.01794357307129927,move
e18,10,0,4,18,67,84,False,0.018042169904149287,move
e18,10,0,5,1,85,85,False,0.01861019299676796,move
e18,10,0,6,27,86,112,False,0.01813885187149189,move
e18,10,0,7,18,113,130,False,,hold
e18,10,0,8,29,131,159,False,0.018173231221491996,move
e18,10,0,9,13,160,172,False,0.01976192080691542,move
e18,10,0,10,28,173,200,False,0.06725072718304359,move
e18,10,1,0,9,22,30,False,0.018017361755393646,move
e18,10,1,1,19,31,49,False,0.01987605926936359,move
e18,10,1,2,11,50,60,False,0.018272543446839443,move
e18,10,1,3,6,61,66,False,0.01794357307129927,move
e18,10,1,4,18,67,84,False,0.018042169904149287,move
e18,10,1,5,1,85,85,False,0.01861019299676796,move
e18,10,1,6,27,86,112,False,0.01813885187149189,move
e18,10,1,7,18,113,130,False,,hold
e18,10,1,8,29,131,159,False,0.018173231221491996,move
e18,10,1,9,13,160,172,False,0.01976192080691542,move
e18,10,1,10,28,173,200,False,0.06725072718304359,move
e21,0,0,0,12,15,26,False,0.019417225103991468,move
e21,0,0,1,12,27,38,False,0.019059491993695,move
e21,0,0,2,140,39,178,True,0.023872188350297772,move
e21,0,0,3,4,179,182,False,0.019091007823658374,move
e21,0,0,4,18,183,200,False,0.019149104142642828,move
e21,0,0,5,3,201,203,False,0.015288073681333477,move
e21,0,0,6,27,204,230,False,0.017137378092574686,move
e21,0,0,7,18,231,248,False,,hold
e21,0,0,8,29,249,277,False,0.018308153285055064,move
e21,0,0,9,140,278,417,True,0.05890286642133666,move
e21,0,0,10,15,418,432,False,0.08080905079035551,move
e21,0,1,0,12,15,26,False,0.019417225103991468,move
e21,0,1,1,12,27,38,False,0.019059491993695,move
e21,0,1,2,140,39,178,True,0.023872188350297772,move
e21,0,1,3,4,179,182,False,0.019091007823658374,move
e21,0,1,4,18,183,200,False,0.019149104142642828,move
e21,0,1,5,3,201,203,False,0.015288073681333477,move
e21,0,1,6,27,204,230,False,0.017137378092574686,move
e21,0,1,7,18,231,248,False,,hold
e21,0,1,8,29,249,277,False,0.018308153285055064,move
e21,0,1,9,140,278,417,True,0.05890286642133666,move
e21,0,1,10,15,418,432,False,0.08080905079035551,move
e21,3,0,0,13,18,30,False,0.0168991505108321,move
e21,3,0,1,13,31,43,False,0.01826050679475807,move
e21,3,0,2,140,44,183,True,0.02813343739176902,move
e21,3,0,3,4,184,187,False,0.01934425356046606,move
e21,3,0,4,31,188,218,False,0.017309248589733515,move
e21,3,0,5,2,219,220,False,0.019440320490568565,move
e21,3,0,6,27,221,247,False,0.01652679493969043,move
e21,3,0,7,18,248,265,False,,hold
e21,3,0,8,29,266,294,False,0.01836688606359822,move
e21,3,0,9,140,295,434,True,0.05788303172535258,move
e21,3,0,10,17,435,451,False,0.05512526573690205,move
e21,3,1,0,13,18,30,False,0.0168991505108321,move
e21,3,1,1,13,31,43,False,0.01826050679475807,move
e21,3,1,2,140,44,183,True,0.02813343739176902,move
e21,3,1,3,4,184,187,False,0.01934425356046606,move
e21,3,1,4,31,188,218,False,0.017309248589733515,move
e21,3,1,5,2,219,220,False,0.019440320490568565,move
e21,3,1,6,27,221,247,False,0.01652679493969043,move
e21,3,1,7,18,248,265,False,,hold
e21,3,1,8,29,266,294,False,0.01836688606359822,move
e21,3,1,9,140,295,434,True,0.05788303172535258,move
e21,3,1,10,17,435,451,False,0.05512526573690205,move
e21,10,0,0,13,25,37,False,0.01746681933707031,move
e21,10,0,1,17,38,54,False,0.016240765017837035,move
e21,10,0,2,140,55,194,True,0.036242814285371544,move
e21,10,0,3,9,195,203,False,0.01797592460289595,move
e21,10,0,4,17,204,220,False,0.017203903535380448,move
e21,10,0,5,2,221,222,False,0.018083158548418212,move
e21,10,0,6,26,223,248,False,0.019497921405619532,move
e21,10,0,7,18,249,266,False,,hold
e21,10,0,8,29,267,295,False,0.018261797457328775,move
e21,10,0,9,140,296,435,True,0.042340464622473914,move
e21,10,0,10,17,436,452,False,0.08151484274819407,move
e21,10,1,0,13,25,37,False,0.01746681933707031,move
e21,10,1,1,17,38,54,False,0.016240765017837035,move
e21,10,1,2,140,55,194,True,0.036242814285371544,move
e21,10,1,3,9,195,203,False,0.01797592460289595,move
e21,10,1,4,17,204,220,False,0.017203903535380448,move
e21,10,1,5,2,221,222,False,0.018083158548418212,move
e21,10,1,6,26,223,248,False,0.019497921405619532,move
e21,10,1,7,18,249,266,False,,hold
e21,10,1,8,29,267,295,False,0.018261797457328775,move
e21,10,1,9,140,296,435,True,0.042340464622473914,move
e21,10,1,10,17,436,452,False,0.08151484274819407,move
e27,0,0,0,12,59,70,False,0.019597192879336908,move
e27,0,0,1,12,71,82,False,0.019961832671248014,move
e27,0,0,2,22,83,104,False,0.017137655770099097,move
e27,0,0,3,12,105,116,False,0.016375214872921262,move
e27,0,0,4,140,117,256,True,0.06524749797670938,move
e27,0,0,5,140,257,396,True,0.06145905235039881,move
e27,0,0,6,102,397,498,False,0.10412815788225659,move
e27,0,1,0,12,59,70,False,0.019597192879336908,move
e27,0,1,1,12,71,82,False,0.019961832671248014,move
e27,0,1,2,22,83,104,False,0.017137655770099097,move
e27,0,1,3,12,105,116,False,0.016375214872921262,move
e27,0,1,4,140,117,256,True,0.06524749797670938,move
e27,0,1,5,140,257,396,True,0.06145905235039881,move
e27,0,1,6,102,397,498,False,0.10412815788225659,move
e27,3,0,0,6,62,67,False,0.0183831636629688,move
e27,3,0,1,10,68,77,False,0.01917288100798772,move
e27,3,0,2,13,78,90,False,0.017933348137987973,move
e27,3,0,3,5,91,95,False,0.01947076538044916,move
e27,3,0,4,28,96,123,False,0.011839911081761852,move
e27,3,0,5,1,124,124,False,0.019661943450319845,move
e27,3,0,6,19,125,143,False,0.08171173200954453,move
e27,3,1,0,6,62,67,False,0.0183831636629688,move
e27,3,1,1,10,68,77,False,0.01917288100798772,move
e27,3,1,2,13,78,90,False,0.017933348137987973,move
e27,3,1,3,5,91,95,False,0.01947076538044916,move
e27,3,1,4,28,96,123,False,0.011839911081761852,move
e27,3,1,5,1,124,124,False,0.019661943450319845,move
e27,3,1,6,19,125,143,False,0.08171173200954453,move
e27,10,0,0,7,69,75,False,0.018677535962084543,move
e27,10,0,1,15,76,90,False,0.01845389709441891,move
e27,10,0,2,2,91,92,False,0.01901359781673413,move
e27,10,0,3,5,93,97,False,0.018255678012479837,move
e27,10,0,4,18,98,115,False,0.014972888805729863,move
e27,10,0,5,2,116,117,False,0.019500080322622685,move
e27,10,0,6,19,118,136,False,0.0891864790171717,move
e27,10,1,0,7,69,75,False,0.018677535962084543,move
e27,10,1,1,15,76,90,False,0.01845389709441891,move
e27,10,1,2,2,91,92,False,0.01901359781673413,move
e27,10,1,3,5,93,97,False,0.018255678012479837,move
e27,10,1,4,18,98,115,False,0.014972888805729863,move
e27,10,1,5,2,116,117,False,0.019500080322622685,move
e27,10,1,6,19,118,136,False,0.0891864790171717,move
e06,0,0,0,9,1,9,False,0.018586347625502604,move
e06,0,0,1,11,10,20,False,0.01950753083091311,move
e06,0,0,2,33,21,53,False,0.01830379615151831,move
e06,0,0,3,13,54,66,False,0.01860813524964732,move
e06,0,0,4,140,67,206,True,0.060223053021689274,move
e06,0,0,5,140,207,346,True,0.06552137435841754,move
e06,0,0,6,94,347,440,False,0.13064166580375156,move
e06,0,1,0,9,1,9,False,0.018586347625502604,move
e06,0,1,1,11,10,20,False,0.01950753083091311,move
e06,0,1,2,33,21,53,False,0.01830379615151831,move
e06,0,1,3,13,54,66,False,0.01860813524964732,move
e06,0,1,4,140,67,206,True,0.060223053021689274,move
e06,0,1,5,140,207,346,True,0.06552137435841754,move
e06,0,1,6,94,347,440,False,0.13064166580375156,move
e06,3,0,0,10,4,13,False,0.016067422767213423,move
e06,3,0,1,11,14,24,False,0.019467505028263454,move
e06,3,0,2,32,25,56,False,0.019014770196293006,move
e06,3,0,3,5,57,61,False,0.018947910344682014,move
e06,3,0,4,140,62,201,True,0.06085548606245887,move
e06,3,0,5,140,202,341,True,0.06615199262052324,move
e06,3,0,6,102,342,443,False,0.13129569886958872,move
e06,3,1,0,10,4,13,False,0.016067422767213423,move
