episode_id,parent,offset,repeat,option,suffix_horizon,accident,calls,completion_cost,controller_steps,reason,steps,success,success_step
e18_d00,e18,0,0,0,220,0,220,220,0,timeout,220,0,
e18_d00,e18,0,0,0,440,0,440,440,0,timeout,440,0,
e18_d00,e18,0,0,1,220,0,1,191,191,success,191,1,191
e18_d00,e18,0,0,1,440,0,1,191,191,success,191,1,191
e18_d00,e18,0,1,1,220,0,1,191,191,success,191,1,191
e18_d00,e18,0,1,1,440,0,1,191,191,success,191,1,191
e18_d00,e18,0,1,0,220,1,22,220,0,accident,22,0,
e18_d00,e18,0,1,0,440,1,22,440,0,accident,22,0,
e18_d03,e18,3,0,1,220,0,1,168,168,success,168,1,168
e18_d03,e18,3,0,1,440,0,1,168,168,success,168,1,168
e18_d03,e18,3,0,0,220,0,140,140,0,success,140,1,140
e18_d03,e18,3,0,0,440,0,140,140,0,success,140,1,140
e18_d03,e18,3,1,0,220,1,19,220,0,accident,19,0,
e18_d03,e18,3,1,0,440,1,19,440,0,accident,19,0,
e18_d03,e18,3,1,1,220,0,1,168,168,success,168,1,168
e18_d03,e18,3,1,1,440,0,1,168,168,success,168,1,168
e18_d10,e18,10,0,0,220,0,81,81,0,success,81,1,81
e18_d10,e18,10,0,0,440,0,81,81,0,success,81,1,81
e18_d10,e18,10,0,1,220,0,1,179,179,success,179,1,179
e18_d10,e18,10,0,1,440,0,1,179,179,success,179,1,179
e18_d10,e18,10,1,1,220,0,1,179,179,success,179,1,179
e18_d10,e18,10,1,1,440,0,1,179,179,success,179,1,179
e18_d10,e18,10,1,0,220,0,112,112,0,success,112,1,112
e18_d10,e18,10,1,0,440,0,112,112,0,success,112,1,112
e21_d00,e21,0,0,1,220,0,1,220,220,timeout,220,0,
e21_d00,e21,0,0,1,440,0,1,418,418,success,418,1,418
e21_d00,e21,0,0,0,220,0,220,220,0,timeout,220,0,
e21_d00,e21,0,0,0,440,0,440,440,0,timeout,440,0,
e21_d00,e21,0,1,0,220,1,92,220,0,accident,92,0,
e21_d00,e21,0,1,0,440,1,92,440,0,accident,92,0,
e21_d00,e21,0,1,1,220,0,1,220,220,timeout,220,0,
e21_d00,e21,0,1,1,440,0,1,418,418,success,418,1,418
e21_d03,e21,3,0,0,220,0,220,220,0,timeout,220,0,
