id,source,source_id,condition,horizon,shared,A_Base_success,A_Base_accident,A_Detour_success,A_Detour_accident,A_gain,B_Base_success,B_Base_accident,B_Detour_success,B_Detour_accident,B_gain,C_Base_success,C_Base_accident,C_Detour_success,C_Detour_accident,C_gain
n00,9b7248dace9d27137356340f7a8cda4c7dd1b09dc213478328a6d05f51f22e11,s00,glass,220,False,1.0,0.0,0.0,1.0,-1.0,0.5,0.5,0.0,1.0,-0.5,0.5,0.5,0.0,1.0,-0.5
n00,9b7248dace9d27137356340f7a8cda4c7dd1b09dc213478328a6d05f51f22e11,s00,glass,440,False,1.0,0.0,0.0,1.0,-1.0,0.5,0.5,0.0,1.0,-0.5,0.5,0.5,0.0,1.0,-0.5
n01,9b7248dace9d27137356340f7a8cda4c7dd1b09dc213478328a6d05f51f22e11,s00,offpath,220,True,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n01,9b7248dace9d27137356340f7a8cda4c7dd1b09dc213478328a6d05f51f22e11,s00,offpath,440,True,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n02,9b7248dace9d27137356340f7a8cda4c7dd1b09dc213478328a6d05f51f22e11,s00,noglass,220,False,0.5,0.0,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n02,9b7248dace9d27137356340f7a8cda4c7dd1b09dc213478328a6d05f51f22e11,s00,noglass,440,False,0.5,0.0,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n03,ef8283081686cbd95ae17eda79854c8610e194084eb266e7703c590c41fb076b,s01,glass,220,False,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n03,ef8283081686cbd95ae17eda79854c8610e194084eb266e7703c590c41fb076b,s01,glass,440,False,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n04,ef8283081686cbd95ae17eda79854c8610e194084eb266e7703c590c41fb076b,s01,offpath,220,False,1.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,-0.5
n04,ef8283081686cbd95ae17eda79854c8610e194084eb266e7703c590c41fb076b,s01,offpath,440,False,1.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,-0.5
n05,ef8283081686cbd95ae17eda79854c8610e194084eb266e7703c590c41fb076b,s01,noglass,220,False,0.5,0.0,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n05,ef8283081686cbd95ae17eda79854c8610e194084eb266e7703c590c41fb076b,s01,noglass,440,False,0.5,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
n06,b6582497de00f43f933a2c1c1c4a5b7222983b237fde8a0fc5c3fcd097e18f56,s02,glass,220,False,1.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0
n06,b6582497de00f43f933a2c1c1c4a5b7222983b237fde8a0fc5c3fcd097e18f56,s02,glass,440,False,1.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0
n07,b6582497de00f43f933a2c1c1c4a5b7222983b237fde8a0fc5c3fcd097e18f56,s02,offpath,220,True,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n07,b6582497de00f43f933a2c1c1c4a5b7222983b237fde8a0fc5c3fcd097e18f56,s02,offpath,440,True,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n08,b6582497de00f43f933a2c1c1c4a5b7222983b237fde8a0fc5c3fcd097e18f56,s02,noglass,220,False,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
n08,b6582497de00f43f933a2c1c1c4a5b7222983b237fde8a0fc5c3fcd097e18f56,s02,noglass,440,False,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
n09,3c59cd9c83a88507e14cd630c54833ec485b9500aae6ab55802f0825445d157a,s03,glass,220,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.5
n09,3c59cd9c83a88507e14cd630c54833ec485b9500aae6ab55802f0825445d157a,s03,glass,440,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.5
n10,3c59cd9c83a88507e14cd630c54833ec485b9500aae6ab55802f0825445d157a,s03,offpath,220,False,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n10,3c59cd9c83a88507e14cd630c54833ec485b9500aae6ab55802f0825445d157a,s03,offpath,440,False,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n11,3c59cd9c83a88507e14cd630c54833ec485b9500aae6ab55802f0825445d157a,s03,noglass,220,False,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n11,3c59cd9c83a88507e14cd630c54833ec485b9500aae6ab55802f0825445d157a,s03,noglass,440,False,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n12,12a8f0f235d0bd6a60302217dca9c067046c62b36266b6f73c991e9ff218b09a,s04,glass,220,False,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
n12,12a8f0f235d0bd6a60302217dca9c067046c62b36266b6f73c991e9ff218b09a,s04,glass,440,False,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
n13,12a8f0f235d0bd6a60302217dca9c067046c62b36266b6f73c991e9ff218b09a,s04,offpath,220,True,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n13,12a8f0f235d0bd6a60302217dca9c067046c62b36266b6f73c991e9ff218b09a,s04,offpath,440,True,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n14,12a8f0f235d0bd6a60302217dca9c067046c62b36266b6f73c991e9ff218b09a,s04,noglass,220,False,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
n14,12a8f0f235d0bd6a60302217dca9c067046c62b36266b6f73c991e9ff218b09a,s04,noglass,440,False,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
n15,be38cd0011d882f07955053af1321fbad6346f48f9137aad4edef3eea68ff495,s05,glass,220,False,0.5,0.5,0.0,0.0,-0.5,0.5,0.5,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,-1.0
n15,be38cd0011d882f07955053af1321fbad6346f48f9137aad4edef3eea68ff495,s05,glass,440,False,0.5,0.5,0.0,0.0,-0.5,0.5,0.5,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,-1.0
n16,be38cd0011d882f07955053af1321fbad6346f48f9137aad4edef3eea68ff495,s05,offpath,220,False,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n16,be38cd0011d882f07955053af1321fbad6346f48f9137aad4edef3eea68ff495,s05,offpath,440,False,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n17,be38cd0011d882f07955053af1321fbad6346f48f9137aad4edef3eea68ff495,s05,noglass,220,False,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0
n17,be38cd0011d882f07955053af1321fbad6346f48f9137aad4edef3eea68ff495,s05,noglass,440,False,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
n18,2cab15ddf85106c984a3a70fae7caa20c4c3de7d592eb7c913a2b65f46da4101,s06,glass,220,True,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n18,2cab15ddf85106c984a3a70fae7caa20c4c3de7d592eb7c913a2b65f46da4101,s06,glass,440,True,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
n19,2cab15ddf85106c984a3a70fae7caa20c4c3de7d592eb7c913a2b65f46da4101,s06,offpath,220,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n19,2cab15ddf85106c984a3a70fae7caa20c4c3de7d592eb7c913a2b65f46da4101,s06,offpath,440,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,2cab15ddf85106c984a3a70fae7caa20c4c3de7d592eb7c913a2b65f46da4101,s06,noglass,220,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,2cab15ddf85106c984a3a70fae7caa20c4c3de7d592eb7c913a2b65f46da4101,s06,noglass,440,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n21,7b9d6bca7a304a1d0c1f4950774945ff15e36a23c561032d803e0e3ae2e6bce0,s07,glass,220,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
