id,source,condition,role,method,selection_horizon,evaluation_horizon,shared,choice,A_base_success,A_selected_success,A_gain,A_base_accident,A_selected_accident,A_accident_delta,A_loss,A_new_accident,A_intervention,B_base_success,B_selected_success,B_gain,B_base_accident,B_selected_accident,B_accident_delta,B_loss,B_new_accident,B_intervention,C_base_success,C_selected_success,C_gain,C_base_accident,C_selected_accident,C_accident_delta,C_loss,C_new_accident,C_intervention
n00,9b7248dace9d27137356340f7a8cda4c7dd1b09dc213478328a6d05f51f22e11,glass,fresh_development,real_full,220,220,False,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0
n01,9b7248dace9d27137356340f7a8cda4c7dd1b09dc213478328a6d05f51f22e11,offpath,fresh_development,real_full,220,220,True,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
n02,9b7248dace9d27137356340f7a8cda4c7dd1b09dc213478328a6d05f51f22e11,noglass,fresh_development,real_full,220,220,False,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n03,ef8283081686cbd95ae17eda79854c8610e194084eb266e7703c590c41fb076b,glass,fresh_development,real_full,220,220,False,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
n04,ef8283081686cbd95ae17eda79854c8610e194084eb266e7703c590c41fb076b,offpath,fresh_development,real_full,220,220,False,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n05,ef8283081686cbd95ae17eda79854c8610e194084eb266e7703c590c41fb076b,noglass,fresh_development,real_full,220,220,False,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n06,b6582497de00f43f933a2c1c1c4a5b7222983b237fde8a0fc5c3fcd097e18f56,glass,fresh_development,real_full,220,220,False,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n07,b6582497de00f43f933a2c1c1c4a5b7222983b237fde8a0fc5c3fcd097e18f56,offpath,fresh_development,real_full,220,220,True,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
n08,b6582497de00f43f933a2c1c1c4a5b7222983b237fde8a0fc5c3fcd097e18f56,noglass,fresh_development,real_full,220,220,False,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n09,3c59cd9c83a88507e14cd630c54833ec485b9500aae6ab55802f0825445d157a,glass,fresh_development,real_full,220,220,False,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0
