panel,method,selection_horizon,evaluation_horizon,subset,n_sources,n_cells,C_positive_sources,C_negative_sources,A_gain,B_gain,C_gain,A_source_rmse,B_source_rmse,A_minus_C,A_minus_C_lo,A_minus_C_hi,B_minus_C,B_minus_C_lo,B_minus_C_hi,error_improvement,error_improvement_lo,error_improvement_hi,C_gain_lo,C_gain_hi,A_base_success,A_selected_success,A_base_accident,A_selected_accident,A_accident_delta,A_loss,A_new_accident,A_intervention,B_base_success,B_selected_success,B_base_accident,B_selected_accident,B_accident_delta,B_loss,B_new_accident,B_intervention,C_base_success,C_selected_success,C_base_accident,C_selected_accident,C_accident_delta,C_loss,C_new_accident,C_intervention
candidate_refresh,real_full,100,100,all,8,18,1,2,0.0703125,0.0546875,0.0234375,0.15934435979977452,0.2072890493972125,0.046875,-0.0625,0.140625,0.03125,-0.109375,0.171875,-0.017578125,-0.048828125,0.013671875,-0.046875,0.1328125,0.8671875,0.9375,0.0078125,0.0078125,0.0,0.0,0.0078125,0.25,0.8515625,0.90625,0.0,0.0,0.0,0.0234375,0.0,0.25,0.8203125,0.84375,0.0,0.0078125,0.0078125,0.0390625,0.0078125,0.25
candidate_refresh,real_full,100,100,condition:matched_buffer_control,8,9,0,0,0.015625,0.0,0.0,0.04419417382415922,0.0,0.015625,0.0,0.046875,0.0,0.0,0.0,0.001953125,0.0,0.005859375,0.0,0.0,0.984375,1.0,0.015625,0.0,-0.015625,0.0,0.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625
candidate_refresh,real_full,100,100,condition:stale,8,9,1,2,0.125,0.109375,0.046875,0.29646353064078557,0.414578098794425,0.078125,-0.125,0.265625,0.0625,-0.21875,0.34375,-0.083984375,-0.1953125,0.013671875,-0.09375,0.265625,0.75,0.875,0.0,0.015625,0.015625,0.0,0.015625,0.4375,0.703125,0.8125,0.0,0.0,0.0,0.046875,0.0,0.4375,0.640625,0.6875,0.0,0.015625,0.015625,0.078125,0.015625,0.4375
candidate_refresh,real_full,100,100,controls,8,9,0,0,0.015625,0.0,0.0,0.04419417382415922,0.0,0.015625,0.0,0.046875,0.0,0.0,0.0,0.001953125,0.0,0.005859375,0.0,0.0,0.984375,1.0,0.015625,0.0,-0.015625,0.0,0.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625
candidate_refresh,real_full,100,100,role:train,8,18,1,2,0.0703125,0.0546875,0.0234375,0.15934435979977452,0.2072890493972125,0.046875,-0.0625,0.140625,0.03125,-0.109375,0.171875,-0.017578125,-0.048828125,0.013671875,-0.046875,0.1328125,0.8671875,0.9375,0.0078125,0.0078125,0.0,0.0,0.0078125,0.25,0.8515625,0.90625,0.0,0.0,0.0,0.0234375,0.0,0.25,0.8203125,0.84375,0.0,0.0078125,0.0078125,0.0390625,0.0078125,0.25
candidate_refresh,real_full,100,200,all,8,18,0,1,0.015625,0.0,-0.0078125,0.06629126073623882,0.02209708691207961,0.0234375,0.0,0.0703125,0.0078125,0.0,0.0234375,0.00390625,0.0,0.01171875,-0.0234375,0.0,0.9375,0.953125,0.03125,0.0234375,-0.0078125,0.0,0.0,0.25,0.9765625,0.9765625,0.0078125,0.015625,0.0078125,0.0078125,0.0078125,0.25,0.953125,0.9453125,0.0234375,0.0234375,0.0,0.0078125,0.0078125,0.25
candidate_refresh,real_full,100,200,condition:matched_buffer_control,8,9,0,0,0.015625,0.0,0.0,0.04419417382415922,0.0,0.015625,0.0,0.046875,0.0,0.0,0.0,0.001953125,0.0,0.005859375,0.0,0.0,0.984375,1.0,0.015625,0.0,-0.015625,0.0,0.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625
candidate_refresh,real_full,100,200,condition:stale,8,9,0,1,0.015625,0.0,-0.015625,0.08838834764831845,0.04419417382415922,0.03125,0.0,0.09375,0.015625,0.0,0.046875,0.005859375,0.0,0.017578125,-0.046875,0.0,0.890625,0.90625,0.046875,0.046875,0.0,0.0,0.0,0.4375,0.953125,0.953125,0.015625,0.03125,0.015625,0.015625,0.015625,0.4375,0.90625,0.890625,0.046875,0.046875,0.0,0.015625,0.015625,0.4375
candidate_refresh,real_full,100,200,controls,8,9,0,0,0.015625,0.0,0.0,0.04419417382415922,0.0,0.015625,0.0,0.046875,0.0,0.0,0.0,0.001953125,0.0,0.005859375,0.0,0.0,0.984375,1.0,0.015625,0.0,-0.015625,0.0,0.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625
candidate_refresh,real_full,100,200,role:train,8,18,0,1,0.015625,0.0,-0.0078125,0.06629126073623882,0.02209708691207961,0.0234375,0.0,0.0703125,0.0078125,0.0,0.0234375,0.00390625,0.0,0.01171875,-0.0234375,0.0,0.9375,0.953125,0.03125,0.0234375,-0.0078125,0.0,0.0,0.25,0.9765625,0.9765625,0.0078125,0.015625,0.0078125,0.0078125,0.0078125,0.25,0.953125,0.9453125,0.0234375,0.0234375,0.0,0.0078125,0.0078125,0.25
