panel,method,selection_horizon,evaluation_horizon,subset,source,A_base_success,A_selected_success,A_gain,A_base_accident,A_selected_accident,A_accident_delta,A_loss,A_new_accident,A_intervention,B_base_success,B_selected_success,B_gain,B_base_accident,B_selected_accident,B_accident_delta,B_loss,B_new_accident,B_intervention,C_base_success,C_selected_success,C_gain,C_base_accident,C_selected_accident,C_accident_delta,C_loss,C_new_accident,C_intervention
candidate_refresh,real_full,100,100,all,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,all,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,all,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,all,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,0.75,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.625,0.875,0.25,0.0,0.0,0.0,0.125,0.0,0.5,0.875,0.875,0.0,0.0,0.0,0.0,0.125,0.0,0.5
candidate_refresh,real_full,100,100,all,7c37bc461026a4c0baa8f078d0044e9be9dbac54215649145889b00de22372bc,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,all,bf2eb93d154d15c866b7220cb75da05186d637f439b488cb72df5d6e0ca225c6,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.625,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.5
candidate_refresh,real_full,100,100,all,cd8d51cb68d0b6263d1dfeb23031fde3f9fef779ac358a807df9ff3f2ed67a41,0.4375,0.625,0.1875,0.0625,0.0625,0.0,0.0,0.0625,0.5,0.5625,0.5,-0.0625,0.0,0.0,0.0,0.0625,0.0,0.5,0.5625,0.5,-0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.5
candidate_refresh,real_full,100,100,all,e0e6b8a3d1c85c80ca9a0ebb4640c98bc543a40a920203184457bc8a240aea78,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.625,0.875,0.25,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.875,-0.125,0.0,0.0,0.0,0.125,0.0,0.5
candidate_refresh,real_full,100,100,condition:matched_buffer_control,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,condition:matched_buffer_control,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,condition:matched_buffer_control,39ae394166b56ca17d0a9267497f5e6db270595394b437bc40b499c95bc78744,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,condition:matched_buffer_control,55a791e7d4187ccc4fa8d76e3f770d102f8cbf6c00a014e2db05334ba0d8018a,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,condition:matched_buffer_control,7c37bc461026a4c0baa8f078d0044e9be9dbac54215649145889b00de22372bc,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,condition:matched_buffer_control,bf2eb93d154d15c866b7220cb75da05186d637f439b488cb72df5d6e0ca225c6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,condition:matched_buffer_control,cd8d51cb68d0b6263d1dfeb23031fde3f9fef779ac358a807df9ff3f2ed67a41,0.875,1.0,0.125,0.125,0.0,-0.125,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
candidate_refresh,real_full,100,100,condition:matched_buffer_control,e0e6b8a3d1c85c80ca9a0ebb4640c98bc543a40a920203184457bc8a240aea78,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,condition:stale,0e8f3f1b4ee6e7e6f48069659fd0fd1a08fe0c9b19a5082f707d47315f8551f8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_refresh,real_full,100,100,condition:stale,27efbd6bc5dd9e1b629628ddc1ebcd9a29aed2df4deec4e313d91ec273654991,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
