regime,feature,target,scope,bin_lower,bin_upper,n,sources,mean_score,observed_rate
pooled_loso,hidden,base_crash,all,0.0,0.2,61,16,0.10822242971291535,0.19557195571955713
pooled_loso,hidden,base_crash,all,0.2,0.4,142,19,0.2893635909804009,0.32834994462901435
pooled_loso,hidden,base_crash,all,0.4,0.6,30,13,0.49392064987425316,0.5105263157894738
pooled_loso,hidden,base_crash,all,0.6,0.8,28,13,0.7032759351042459,0.7010309278350515
pooled_loso,hidden,base_crash,all,0.8,1.0,12,8,0.8645613606830607,0.8591549295774649
pooled_loso,hidden,base_crash,glass,0.0,0.2,9,6,0.16013766585301692,1.0
pooled_loso,hidden,base_crash,glass,0.2,0.4,47,19,0.3089501297665519,0.8707360861759426
pooled_loso,hidden,base_crash,glass,0.4,0.6,15,10,0.5088189886686546,0.8588235294117645
pooled_loso,hidden,base_crash,glass,0.6,0.8,19,12,0.6996454502295066,0.9433962264150944
pooled_loso,hidden,base_crash,glass,0.8,1.0,11,8,0.8750036831828483,0.9000000000000001
pooled_loso,hidden,detour_success,all,0.0,0.2,12,4,0.10930985296133473,0.0
pooled_loso,hidden,detour_success,all,0.2,0.4,81,18,0.31745589241024413,0.47204399633363897
pooled_loso,hidden,detour_success,all,0.4,0.6,142,17,0.491501261194184,0.4472882388787324
pooled_loso,hidden,detour_success,all,0.6,0.8,30,16,0.6758282361754161,0.6108108108108109
pooled_loso,hidden,detour_success,all,0.8,1.0,8,6,0.86147856286086,0.75
pooled_loso,hidden,detour_success,glass,0.0,0.2,11,3,0.10957987944109732,0.0
pooled_loso,hidden,detour_success,glass,0.2,0.4,34,15,0.3153513468655572,0.2957746478873239
pooled_loso,hidden,detour_success,glass,0.4,0.6,50,16,0.4938548706658534,0.2590673575129534
pooled_loso,hidden,detour_success,glass,0.6,0.8,6,5,0.6644789065076047,0.21739130434782608
pooled_loso,hidden,detour_success,glass,0.8,1.0,0,0,,
pooled_loso,hidden,base_success,all,0.0,0.2,21,13,0.1395628984627297,0.08788598574821854
pooled_loso,hidden,base_success,all,0.2,0.4,39,14,0.2933868807920367,0.2821100917431193
pooled_loso,hidden,base_success,all,0.4,0.6,78,18,0.5036845339235388,0.443062200956938
pooled_loso,hidden,base_success,all,0.6,0.8,107,17,0.6825988547348184,0.6976744186046512
pooled_loso,hidden,base_success,all,0.8,1.0,28,12,0.8741473149766275,0.8529411764705883
pooled_loso,hidden,base_success,glass,0.0,0.2,18,11,0.12712067755308948,0.0
pooled_loso,hidden,base_success,glass,0.2,0.4,22,13,0.2853881711772042,0.0
pooled_loso,hidden,base_success,glass,0.4,0.6,33,13,0.49462319888192624,0.031578947368421054
pooled_loso,hidden,base_success,glass,0.6,0.8,26,14,0.6927490991771162,0.047619047619047616
pooled_loso,hidden,base_success,glass,0.8,1.0,2,2,0.8203393148561028,0.0
pooled_loso,robot_action,base_crash,all,0.0,0.2,26,6,0.14846891145874425,0.2571428571428572
pooled_loso,robot_action,base_crash,all,0.2,0.4,203,17,0.3126759136523997,0.29776674937965264
pooled_loso,robot_action,base_crash,all,0.4,0.6,27,10,0.44554240062834444,0.3960396039603961
pooled_loso,robot_action,base_crash,all,0.6,0.8,6,3,0.7439645072502289,0.75
