regime,feature,target,scope,threshold,total_n,flagged_n,flagged_sources,detour_success_n,base_success_n,either_success_n
pooled_loso,hidden,detour_success,all,0.1,273,7,2,0,0,0
pooled_loso,hidden,detour_success,all,0.2,273,12,4,0,1,1
pooled_loso,hidden,detour_success,all,0.5,273,169,20,77,88,109
pooled_loso,hidden,detour_success,glass,0.1,101,7,2,0,0,0
pooled_loso,hidden,detour_success,glass,0.2,101,11,3,0,0,0
pooled_loso,hidden,detour_success,glass,0.5,101,71,20,17,0,17
pooled_loso,hidden,detour_success,controls,0.1,172,0,0,0,0,0
pooled_loso,hidden,detour_success,controls,0.2,172,1,1,0,1,1
pooled_loso,hidden,detour_success,controls,0.5,172,98,16,60,88,92
pooled_loso,hidden,detour_success,base_failure,0.1,116,7,2,0,0,0
pooled_loso,hidden,detour_success,base_failure,0.2,116,11,3,0,0,0
pooled_loso,hidden,detour_success,base_failure,0.5,116,81,20,21,0,21
pooled_loso,hidden,detour_success,glass_base_failure,0.1,99,7,2,0,0,0
pooled_loso,hidden,detour_success,glass_base_failure,0.2,99,11,3,0,0,0
pooled_loso,hidden,detour_success,glass_base_failure,0.5,99,71,20,17,0,17
pooled_loso,hidden,detour_success,glass_base_crash,0.1,91,5,2,0,0,0
pooled_loso,hidden,detour_success,glass_base_crash,0.2,91,9,3,0,0,0
pooled_loso,hidden,detour_success,glass_base_crash,0.5,91,65,20,17,0,17
glass_loso,hidden,detour_success,all,0.1,101,29,12,3,0,3
glass_loso,hidden,detour_success,all,0.2,101,53,18,10,1,11
glass_loso,hidden,detour_success,all,0.5,101,97,20,21,2,22
glass_loso,hidden,detour_success,glass,0.1,101,29,12,3,0,3
glass_loso,hidden,detour_success,glass,0.2,101,53,18,10,1,11
glass_loso,hidden,detour_success,glass,0.5,101,97,20,21,2,22
glass_loso,hidden,detour_success,base_failure,0.1,99,29,12,3,0,3
glass_loso,hidden,detour_success,base_failure,0.2,99,52,17,10,0,10
glass_loso,hidden,detour_success,base_failure,0.5,99,95,20,20,0,20
glass_loso,hidden,detour_success,glass_base_failure,0.1,99,29,12,3,0,3
glass_loso,hidden,detour_success,glass_base_failure,0.2,99,52,17,10,0,10
glass_loso,hidden,detour_success,glass_base_failure,0.5,99,95,20,20,0,20
glass_loso,hidden,detour_success,glass_base_crash,0.1,91,27,12,3,0,3
glass_loso,hidden,detour_success,glass_base_crash,0.2,91,48,17,10,0,10
glass_loso,hidden,detour_success,glass_base_crash,0.5,91,87,20,20,0,20
historical_train_to_development,hidden,detour_success,all,0.1,106,3,1,0,0,0
historical_train_to_development,hidden,detour_success,all,0.2,106,6,3,0,1,1
historical_train_to_development,hidden,detour_success,all,0.5,106,45,8,23,29,33
historical_train_to_development,hidden,detour_success,glass,0.1,42,3,1,0,0,0
historical_train_to_development,hidden,detour_success,glass,0.2,42,5,2,0,0,0
historical_train_to_development,hidden,detour_success,glass,0.5,42,13,4,2,0,2
historical_train_to_development,hidden,detour_success,controls,0.1,64,0,0,0,0,0
historical_train_to_development,hidden,detour_success,controls,0.2,64,1,1,0,1,1
historical_train_to_development,hidden,detour_success,controls,0.5,64,32,6,21,29,31
historical_train_to_development,hidden,detour_success,base_failure,0.1,46,3,1,0,0,0
historical_train_to_development,hidden,detour_success,base_failure,0.2,46,5,2,0,0,0
historical_train_to_development,hidden,detour_success,base_failure,0.5,46,16,7,4,0,4
historical_train_to_development,hidden,detour_success,glass_base_failure,0.1,42,3,1,0,0,0
historical_train_to_development,hidden,detour_success,glass_base_failure,0.2,42,5,2,0,0,0
historical_train_to_development,hidden,detour_success,glass_base_failure,0.5,42,13,4,2,0,2
historical_train_to_development,hidden,detour_success,glass_base_crash,0.1,40,2,1,0,0,0
historical_train_to_development,hidden,detour_success,glass_base_crash,0.2,40,4,2,0,0,0
historical_train_to_development,hidden,detour_success,glass_base_crash,0.5,40,12,4,2,0,2
