regime,feature,target,scope,weighting,n,sources,positive_n,positive_sources,negative_sources,within_source_auc,within_source_identifiable_n,auc,ap,brier,balanced_accuracy,prevalence
pooled_loso,hidden,base_crash,all,decision,273,20,92,20,19,0.7760849506244243,19,0.7390703819361018,0.6198838916218634,0.1849149181736002,0.6459284170069661,0.336996336996337
pooled_loso,hidden,base_crash,all,source,273,20,92,20,19,0.7760849506244243,19,0.7448480085847858,0.6777472971178999,0.19415388733771757,0.6591165149040883,0.38916666666666666
pooled_loso,hidden,base_crash,glass,decision,101,20,91,20,8,0.7708333333333333,8,0.5560439560439562,0.9200068690001835,0.3273423390457956,0.5978021978021979,0.9009900990099009
pooled_loso,hidden,base_crash,glass,source,101,20,91,20,8,0.7708333333333333,8,0.5451457300088322,0.9136267803830408,0.3270121659550034,0.5921937631632584,0.8975000000000001
pooled_loso,hidden,base_crash,controls,decision,172,17,1,1,17,0.44444444444444453,1,0.6491228070175447,0.016393442622950803,0.10128021173120638,0.45321637426900585,0.005813953488372093
pooled_loso,hidden,base_crash,controls,source,172,17,1,1,17,0.44444444444444453,1,0.6923076923076911,0.0188679245283019,0.09321515140427342,0.46104536489151876,0.005882352941176471
pooled_loso,hidden,base_crash,base_failure,decision,116,20,92,20,13,0.7952991452991452,13,0.6471920289855075,0.8730644724417238,0.30270731680554064,0.5914855072463769,0.7931034482758619
pooled_loso,hidden,base_crash,base_failure,source,116,20,92,20,13,0.7952991452991452,13,0.6398825485286656,0.8874650039254856,0.3129190267909361,0.5920120224613726,0.826989676989677
pooled_loso,hidden,base_crash,glass_base_failure,decision,99,20,91,20,6,0.7916666666666666,6,0.5041208791208794,0.9248193041782422,0.3324596343170029,0.5728021978021979,0.919191919191919
pooled_loso,hidden,base_crash,glass_base_failure,source,99,20,91,20,6,0.7916666666666666,6,0.48661118659420294,0.9217094066754677,0.33309237453884494,0.5613677536231885,0.9199999999999999
pooled_loso,hidden,base_crash,glass_base_crash,decision,91,20,91,20,0,,0,,1.0000000000000002,0.33972976942804417,,0.9999999999999997
pooled_loso,hidden,base_crash,glass_base_crash,source,91,20,91,20,0,,0,,1.0000000000000004,0.3325630339071893,,1.0
pooled_loso,hidden,base_crash,T-5,decision,63,20,22,19,17,0.8515625,16,0.7616407982261642,0.646028674875315,0.19308166886660624,0.6962305986696233,0.3492063492063492
pooled_loso,hidden,base_crash,T-5,source,63,20,22,19,17,0.8515625,16,0.7697142857142855,0.7026854285490183,0.19948020785634618,0.727142857142857,0.41666666666666674
pooled_loso,hidden,base_crash,glass_T-5,decision,23,20,22,19,1,,0,0.09090909090909093,0.9135928101021135,0.3045055749083038,0.31818181818181823,0.9565217391304346
pooled_loso,hidden,base_crash,glass_T-5,source,23,20,22,19,1,,0,0.07894736842105261,0.8986085165692463,0.3085880795996886,0.31578947368421045,0.95
pooled_loso,hidden,base_crash,T-10,decision,63,20,22,19,17,0.9296875,16,0.8592017738359201,0.7806601890208558,0.1464686175547168,0.734478935698448,0.3492063492063492
pooled_loso,hidden,base_crash,T-10,source,63,20,22,19,17,0.9296875,16,0.8654285714285715,0.835140471485816,0.14811148494594303,0.745714285714286,0.41666666666666646
pooled_loso,hidden,base_crash,glass_T-10,decision,23,20,22,19,1,,0,0.6363636363636366,0.9810880673700981,0.21529438585365726,0.7954545454545454,0.9565217391304346
pooled_loso,hidden,base_crash,glass_T-10,source,23,20,22,19,1,,0,0.6315789473684209,0.9779738332838377,0.21011654662587553,0.8026315789473684,0.95
pooled_loso,hidden,base_crash,T-20,decision,63,20,21,18,18,0.6953125,16,0.7256235827664399,0.6088392210166131,0.18982326886191694,0.6190476190476191,0.3333333333333333
pooled_loso,hidden,base_crash,T-20,source,63,20,21,18,18,0.6953125,16,0.6997607655502394,0.5395105956488904,0.21322526984580778,0.5610047846889954,0.3666666666666666
pooled_loso,hidden,base_crash,glass_T-20,decision,23,20,21,18,2,,0,0.4047619047619049,0.8634184863770176,0.36973252911200655,0.3928571428571429,0.9130434782608694
pooled_loso,hidden,base_crash,glass_T-20,source,23,20,21,18,2,,0,0.3888888888888889,0.842239471876325,0.3748788928682395,0.38888888888888884,0.8999999999999999
pooled_loso,hidden,base_crash,T-30,decision,57,19,17,16,16,0.6923076923076923,13,0.6676470588235293,0.4944906250293395,0.1938183335578398,0.5463235294117647,0.2982456140350877
pooled_loso,hidden,base_crash,T-30,source,57,19,17,16,16,0.6923076923076923,13,0.6501801506714707,0.6064705620477782,0.21824103320573987,0.5789387487717002,0.3771929824561403
pooled_loso,hidden,base_crash,glass_T-30,decision,21,19,17,16,4,1.0,1,0.5882352941176469,0.8618302631119057,0.38817042997913515,0.5588235294117647,0.8095238095238095
pooled_loso,hidden,base_crash,glass_T-30,source,21,19,17,16,4,1.0,1,0.5806451612903226,0.8627841512678724,0.3902255997108386,0.564516129032258,0.8157894736842108
pooled_loso,hidden,base_crash,T-40,decision,27,9,10,7,7,0.575,5,0.5411764705882354,0.5686134445190174,0.22531828391673578,0.55,0.37037037037037035
pooled_loso,hidden,base_crash,T-40,source,27,9,10,7,7,0.575,5,0.4819444444444445,0.6175450597552047,0.23832545089117557,0.625,0.4444444444444444
pooled_loso,hidden,base_crash,glass_T-40,decision,11,9,9,7,2,,0,0.33333333333333326,0.8363235529902195,0.40461363154202373,0.5555555555555556,0.8181818181818183
pooled_loso,hidden,base_crash,glass_T-40,source,11,9,9,7,2,,0,0.28571428571428564,0.7837868480725622,0.3945143835252744,0.5714285714285714,0.7777777777777779
pooled_loso,hidden,detour_success,all,decision,273,20,128,18,19,0.5661601816100087,17,0.5702047413793092,0.5617772893955968,0.24445399530221767,0.5164601293103448,0.46886446886446886
pooled_loso,hidden,detour_success,all,source,273,20,128,18,19,0.5661601816100087,17,0.6256928668430265,0.5666850988819139,0.2283874174457027,0.5386958262357624,0.4347222222222222
pooled_loso,hidden,detour_success,glass,decision,101,20,23,7,19,0.3680555555555556,6,0.5133779264214049,0.27888230861964425,0.22160056856902885,0.4765886287625418,0.22772277227722776
pooled_loso,hidden,detour_success,glass,source,101,20,23,7,19,0.3680555555555556,6,0.5276785410499815,0.30418019592418255,0.21908416287980298,0.4834473138035453,0.24250000000000005
pooled_loso,hidden,detour_success,controls,decision,172,17,105,17,15,0.5828792735042734,15,0.5377398720682306,0.6673951931315851,0.2578737400699623,0.49786780383795304,0.6104651162790699
pooled_loso,hidden,detour_success,controls,source,172,17,105,17,15,0.5828792735042734,15,0.5335012084604255,0.66033215057171,0.25620227235993037,0.4890837745650145,0.6009803921568626
pooled_loso,hidden,detour_success,base_failure,decision,116,20,31,11,19,0.4609523809523809,10,0.5707779886148008,0.35705078297935117,0.21939010818868024,0.5142314990512333,0.2672413793103448
pooled_loso,hidden,detour_success,base_failure,source,116,20,31,11,19,0.4609523809523809,10,0.5745209872449596,0.36150369390917986,0.21450233244207936,0.5189012554135732,0.263455710955711
pooled_loso,hidden,detour_success,glass_base_failure,decision,99,20,22,7,19,0.3680555555555556,6,0.497638724911452,0.26142550855354946,0.22184001088026803,0.46428571428571436,0.22222222222222227
pooled_loso,hidden,detour_success,glass_base_failure,source,99,20,22,7,19,0.3680555555555556,6,0.5239743238304094,0.2935745517877338,0.21835455828160805,0.48300438596491235,0.24000000000000002
pooled_loso,hidden,detour_success,glass_base_crash,decision,91,20,22,7,18,0.4416666666666667,5,0.49802371541501994,0.28428735268123667,0.22500641232076668,0.4614624505928855,0.24175824175824173
pooled_loso,hidden,detour_success,glass_base_crash,source,91,20,22,7,18,0.4416666666666667,5,0.5450008768992843,0.32194356039952293,0.21499437235877025,0.49583135571082193,0.25250000000000006
pooled_loso,hidden,detour_success,T-5,decision,63,20,25,12,18,0.7,10,0.5694736842105266,0.4960576168007872,0.24163328927373234,0.4694736842105265,0.3968253968253968
pooled_loso,hidden,detour_success,T-5,source,63,20,25,12,18,0.7,10,0.66375,0.5133596926225436,0.20889109891637203,0.5187499999999998,0.33333333333333337
pooled_loso,hidden,detour_success,glass_T-5,decision,23,20,4,4,17,1.0,1,0.4736842105263157,0.19027777777777782,0.22220544530810143,0.31578947368421056,0.17391304347826086
pooled_loso,hidden,detour_success,glass_T-5,source,23,20,4,4,17,1.0,1,0.5324675324675323,0.21521600093028662,0.20259171039733884,0.3484848484848484,0.17499999999999996
pooled_loso,hidden,detour_success,T-10,decision,63,20,33,15,17,0.7458333333333332,12,0.7191919191919193,0.7182290514559933,0.21324174212378882,0.7030303030303031,0.5238095238095237
