regime,feature,target,scope,source,n,positive_n,mean_score,auc,ap,brier,balanced_accuracy,prevalence
pooled_loso,hidden,base_crash,all,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,12,4,0.20720891170721809,0.75,0.7321428571428572,0.18590301192518535,0.625,0.3333333333333333
pooled_loso,hidden,base_crash,all,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,4,0.4347681671310205,0.75,0.95,0.2739157617201893,0.75,0.8
pooled_loso,hidden,base_crash,all,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,6,0.3884185449834782,0.7916666666666666,0.6648148148148146,0.18105012934307357,0.6666666666666666,0.33333333333333337
pooled_loso,hidden,base_crash,all,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,4,0.7761159228404397,1.0,1.0,0.13065237588830242,0.5,0.8
pooled_loso,hidden,base_crash,all,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,4,0.3581122431175679,0.90625,0.8928571428571429,0.12641409731726058,0.75,0.3333333333333333
pooled_loso,hidden,base_crash,all,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,4,0.2907906110861947,0.90625,0.8928571428571429,0.11400647935974247,0.75,0.3333333333333333
pooled_loso,hidden,base_crash,all,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,12,4,0.25709930868956105,0.78125,0.7875,0.1785604183081985,0.625,0.3333333333333333
pooled_loso,hidden,base_crash,all,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,12,4,0.3101902039868439,0.90625,0.8928571428571429,0.0908567292437852,0.875,0.3333333333333333
pooled_loso,hidden,base_crash,all,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,30,10,0.4413931770379482,0.615,0.6069006740386051,0.22098773784068032,0.575,0.3333333333333333
pooled_loso,hidden,base_crash,all,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,12,3,0.3174962508105698,0.5925925925925926,0.5444444444444444,0.20194352874626795,0.611111111111111,0.25
pooled_loso,hidden,base_crash,all,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,15,5,0.32358839378856735,0.7200000000000001,0.5635897435897437,0.189846615925325,0.55,0.3333333333333333
pooled_loso,hidden,base_crash,all,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,15,5,0.3829565454301399,0.6,0.42146464646464654,0.24136312646983282,0.6000000000000001,0.3333333333333333
pooled_loso,hidden,base_crash,all,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,12,4,0.32388491232271327,0.5937499999999999,0.573051948051948,0.21470768623188433,0.625,0.3333333333333333
pooled_loso,hidden,base_crash,all,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,12,3,0.26168919976431615,0.8888888888888888,0.8333333333333333,0.12115142088201622,0.6666666666666666,0.25
pooled_loso,hidden,base_crash,all,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,12,4,0.4530397442582934,0.75,0.6666666666666666,0.19406403838357683,0.625,0.3333333333333333
pooled_loso,hidden,base_crash,all,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,30,9,0.2784288956378545,0.7142857142857142,0.625854700854701,0.18082236474058108,0.5873015873015873,0.3
pooled_loso,hidden,base_crash,all,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,15,5,0.2592127730220181,0.78,0.6676190476190477,0.1880018004240297,0.6,0.3333333333333333
pooled_loso,hidden,base_crash,all,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,5,5,0.25981205238016597,,1.0000000000000002,0.565269249100355,,1.0
pooled_loso,hidden,base_crash,all,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,15,2,0.4060577510376753,0.8846153846153847,0.5,0.16572805210795097,0.8846153846153846,0.13333333333333333
pooled_loso,hidden,base_crash,all,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,12,3,0.2435583924416347,0.8148148148148149,0.7916666666666666,0.11783312279611405,0.6666666666666666,0.25
pooled_loso,hidden,base_crash,glass,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,4,4,0.31989620275944286,,1.0,0.493241631715761,,1.0
pooled_loso,hidden,base_crash,glass,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,4,0.4347681671310205,0.75,0.95,0.2739157617201893,0.75,0.8
pooled_loso,hidden,base_crash,glass,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,6,6,0.5180606000066023,,1.0000000000000002,0.26383705729657625,,0.9999999999999999
pooled_loso,hidden,base_crash,glass,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,4,0.7761159228404397,1.0,1.0,0.13065237588830242,0.5,0.8
pooled_loso,hidden,base_crash,glass,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,4,4,0.5705848201467056,,1.0,0.23268964986416546,,1.0
pooled_loso,hidden,base_crash,glass,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,4,4,0.5558976543982571,,1.0,0.2605270075235149,,1.0
pooled_loso,hidden,base_crash,glass,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,4,4,0.3602910592460303,,1.0,0.42833435461618585,,1.0
pooled_loso,hidden,base_crash,glass,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,4,4,0.6244789577681394,,1.0,0.2032035110516615,,1.0
pooled_loso,hidden,base_crash,glass,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,10,10,0.504783019928039,,1.0000000000000002,0.29128549057021946,,0.9999999999999999
pooled_loso,hidden,base_crash,glass,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,4,3,0.5505616251821943,0.3333333333333333,0.8055555555555556,0.5128948199336536,0.16666666666666666,0.75
pooled_loso,hidden,base_crash,glass,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,5,5,0.3943700178906208,,1.0000000000000002,0.3779262909949521,,1.0
pooled_loso,hidden,base_crash,glass,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,5,4,0.41881559981959426,0.75,0.95,0.2770301240527867,0.75,0.8
pooled_loso,hidden,base_crash,glass,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,4,4,0.3622141550208444,,1.0,0.4362997800591999,,1.0
pooled_loso,hidden,base_crash,glass,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,4,3,0.40741196939130464,1.0,1.0,0.2644441160159826,0.6666666666666666,0.75
pooled_loso,hidden,base_crash,glass,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,4,4,0.611441065703893,,1.0,0.21681071648640726,,1.0
pooled_loso,hidden,base_crash,glass,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,10,9,0.3595707474513857,0.6666666666666669,0.9626543209876545,0.39541027815501084,0.6111111111111112,0.8999999999999999
pooled_loso,hidden,base_crash,glass,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,5,5,0.3409324357913671,,1.0000000000000002,0.4495713696409149,,1.0
pooled_loso,hidden,base_crash,glass,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,5,5,0.25981205238016597,,1.0000000000000002,0.565269249100355,,1.0
pooled_loso,hidden,base_crash,glass,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,5,2,0.46544840433204915,1.0,1.0,0.1783890688830566,1.0,0.4
pooled_loso,hidden,base_crash,glass,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,4,3,0.43013084263537454,0.6666666666666666,0.9166666666666666,0.28851066553117094,0.6666666666666666,0.75
