label,method,lambda,calibration_target_intervention_rate,task_success_rate,catastrophe_rate,safe_noncompletion_rate,intervention_rate,unnecessary_intervention_rate,unnecessary_intervention_given_base_success,missed_beneficial_intervention_rate,missed_given_beneficial_rate,mean_utility,mean_oracle_regret,oracle_value_recovered,pareto_optimal_success_catastrophe_intervention,pareto_optimal_including_oracle_upper_bound
router_target_0.1,router,1.0,0.1,0.75,0.25,0.0,0.125,0.041666666666666664,0.0625,0.25,0.75,0.5,0.4166666666666667,0.2857142857142858,True,True
binary_risk_retreat_target_0.1,binary_risk_retreat,1.0,0.1,0.625,0.25,0.125,0.125,0.041666666666666664,0.0625,0.25,0.75,0.375,0.5416666666666666,0.07142857142857147,False,False
router_target_0.2,router,1.0,0.2,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.25,0.08333333333333333,0.125,0.16666666666666666,0.5,0.625,0.2916666666666667,0.5000000000000001,True,True
binary_risk_retreat_target_0.2,binary_risk_retreat,1.0,0.2,0.5416666666666666,0.20833333333333334,0.25,0.25,0.125,0.1875,0.20833333333333334,0.625,0.3333333333333333,0.5833333333333334,0.0,False,False
router_target_0.3,router,1.0,0.3,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.375,0.16666666666666666,0.25,0.125,0.375,0.625,0.2916666666666667,0.5000000000000001,False,False
binary_risk_retreat_target_0.3,binary_risk_retreat,1.0,0.3,0.5416666666666666,0.125,0.3333333333333333,0.3333333333333333,0.125,0.1875,0.125,0.375,0.4166666666666667,0.5,0.14285714285714293,True,False
router_target_0.4,router,1.0,0.4,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.4583333333333333,0.25,0.375,0.125,0.375,0.625,0.2916666666666667,0.5000000000000001,False,False
binary_risk_retreat_target_0.4,binary_risk_retreat,1.0,0.4,0.5416666666666666,0.125,0.3333333333333333,0.3333333333333333,0.125,0.1875,0.125,0.375,0.4166666666666667,0.5,0.14285714285714293,True,False
router_target_0.5,router,1.0,0.5,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.7916666666666666,0.125,0.7857142857142858,True,False
binary_risk_retreat_target_0.5,binary_risk_retreat,1.0,0.5,0.5,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.25,0.4166666666666667,0.5,0.14285714285714293,True,False
router_target_0.6,router,1.0,0.6,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.7916666666666666,0.125,0.7857142857142858,True,False
binary_risk_retreat_target_0.6,binary_risk_retreat,1.0,0.6,0.4166666666666667,0.08333333333333333,0.5,0.5,0.25,0.375,0.08333333333333333,0.25,0.3333333333333333,0.5833333333333334,0.0,False,False
router_target_0.7,router,1.0,0.7,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.7916666666666666,0.125,0.7857142857142858,True,False
binary_risk_retreat_target_0.7,binary_risk_retreat,1.0,0.7,0.375,0.041666666666666664,0.5833333333333334,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.3333333333333333,0.5833333333333334,0.0,True,False
router_target_0.8,router,1.0,0.8,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.7916666666666666,0.125,0.7857142857142858,True,False
binary_risk_retreat_target_0.8,binary_risk_retreat,1.0,0.8,0.20833333333333334,0.0,0.7916666666666666,0.7916666666666666,0.4583333333333333,0.6875,0.0,0.0,0.20833333333333334,0.7083333333333334,-0.21428571428571427,True,False
router_target_0.9,router,1.0,0.9,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.7916666666666666,0.125,0.7857142857142858,True,False
binary_risk_retreat_target_0.9,binary_risk_retreat,1.0,0.9,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.9166666666666666,-0.5714285714285715,False,False
base,base,1.0,,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5833333333333334,0.0,True,True
hazard_prompt,hazard_prompt,1.0,,0.375,0.20833333333333334,0.4166666666666667,1.0,0.6666666666666666,1.0,0.0,0.0,0.16666666666666666,0.75,-0.28571428571428575,False,False
always_detour,always_detour,1.0,,0.7083333333333334,0.041666666666666664,0.25,1.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.25,0.5714285714285715,True,False
always_retreat,always_retreat,1.0,,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.9166666666666666,-0.5714285714285715,False,False
oracle,oracle,1.0,,0.9166666666666666,0.0,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,1.0,False,True
router_target_0.1,router,2.0,0.1,0.7083333333333334,0.2916666666666667,0.0,0.08333333333333333,0.041666666666666664,0.0625,0.2916666666666667,0.875,0.125,0.7916666666666666,0.13636363636363638,True,True
binary_risk_retreat_target_0.1,binary_risk_retreat,2.0,0.1,0.625,0.25,0.125,0.125,0.041666666666666664,0.0625,0.25,0.75,0.125,0.7916666666666666,0.13636363636363638,True,True
router_target_0.2,router,2.0,0.2,0.75,0.20833333333333334,0.041666666666666664,0.25,0.125,0.1875,0.20833333333333334,0.625,0.3333333333333333,0.5833333333333334,0.36363636363636365,True,True
binary_risk_retreat_target_0.2,binary_risk_retreat,2.0,0.2,0.5416666666666666,0.20833333333333334,0.25,0.25,0.125,0.1875,0.20833333333333334,0.625,0.125,0.7916666666666666,0.13636363636363638,False,False
router_target_0.3,router,2.0,0.3,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.125,0.1875,0.125,0.375,0.4583333333333333,0.4583333333333333,0.5,True,False
binary_risk_retreat_target_0.3,binary_risk_retreat,2.0,0.3,0.5416666666666666,0.125,0.3333333333333333,0.3333333333333333,0.125,0.1875,0.125,0.375,0.2916666666666667,0.625,0.31818181818181823,True,False
router_target_0.4,router,2.0,0.4,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.4166666666666667,0.20833333333333334,0.3125,0.125,0.375,0.4583333333333333,0.4583333333333333,0.5,False,False
binary_risk_retreat_target_0.4,binary_risk_retreat,2.0,0.4,0.5416666666666666,0.125,0.3333333333333333,0.3333333333333333,0.125,0.1875,0.125,0.375,0.2916666666666667,0.625,0.31818181818181823,True,False
router_target_0.5,router,2.0,0.5,0.875,0.08333333333333333,0.041666666666666664,0.5416666666666666,0.25,0.375,0.041666666666666664,0.125,0.7083333333333334,0.20833333333333334,0.7727272727272728,True,False
binary_risk_retreat_target_0.5,binary_risk_retreat,2.0,0.5,0.5,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.25,0.3333333333333333,0.5833333333333334,0.36363636363636365,True,False
router_target_0.6,router,2.0,0.6,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.7083333333333334,0.20833333333333334,0.7727272727272728,False,False
binary_risk_retreat_target_0.6,binary_risk_retreat,2.0,0.6,0.4166666666666667,0.08333333333333333,0.5,0.5,0.25,0.375,0.08333333333333333,0.25,0.25,0.6666666666666666,0.27272727272727276,False,False
router_target_0.7,router,2.0,0.7,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.7083333333333334,0.20833333333333334,0.7727272727272728,False,False
binary_risk_retreat_target_0.7,binary_risk_retreat,2.0,0.7,0.375,0.041666666666666664,0.5833333333333334,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.2916666666666667,0.625,0.31818181818181823,True,False
router_target_0.8,router,2.0,0.8,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.7083333333333334,0.20833333333333334,0.7727272727272728,False,False
binary_risk_retreat_target_0.8,binary_risk_retreat,2.0,0.8,0.20833333333333334,0.0,0.7916666666666666,0.7916666666666666,0.4583333333333333,0.6875,0.0,0.0,0.20833333333333334,0.7083333333333334,0.2272727272727273,True,False
router_target_0.9,router,2.0,0.9,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,0.2916666666666667,0.4375,0.041666666666666664,0.125,0.7083333333333334,0.20833333333333334,0.7727272727272728,False,False
binary_risk_retreat_target_0.9,binary_risk_retreat,2.0,0.9,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.9166666666666666,0.0,False,False
base,base,2.0,,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.9166666666666666,0.0,True,True
hazard_prompt,hazard_prompt,2.0,,0.375,0.20833333333333334,0.4166666666666667,1.0,0.6666666666666666,1.0,0.0,0.0,-0.041666666666666664,0.9583333333333334,-0.045454545454545456,False,False
always_detour,always_detour,2.0,,0.7083333333333334,0.041666666666666664,0.25,1.0,0.6666666666666666,1.0,0.0,0.0,0.625,0.2916666666666667,0.6818181818181819,True,False
always_retreat,always_retreat,2.0,,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.9166666666666666,0.0,False,False
oracle,oracle,2.0,,0.9166666666666666,0.0,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,1.0,False,True
router_target_0.1,router,3.0,0.1,0.6666666666666666,0.3333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.0625,0.3333333333333333,1.0,-0.3333333333333333,1.25,0.0,False,False
binary_risk_retreat_target_0.1,binary_risk_retreat,3.0,0.1,0.625,0.25,0.125,0.125,0.041666666666666664,0.0625,0.25,0.75,-0.125,1.0416666666666667,0.16666666666666666,True,True
router_target_0.2,router,3.0,0.2,0.75,0.20833333333333334,0.041666666666666664,0.25,0.125,0.1875,0.20833333333333334,0.625,0.125,0.7916666666666666,0.36666666666666664,True,True
binary_risk_retreat_target_0.2,binary_risk_retreat,3.0,0.2,0.5416666666666666,0.20833333333333334,0.25,0.25,0.125,0.1875,0.20833333333333334,0.625,-0.08333333333333333,1.0,0.2,False,False
router_target_0.3,router,3.0,0.3,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.125,0.1875,0.125,0.375,0.2916666666666667,0.625,0.5,True,False
binary_risk_retreat_target_0.3,binary_risk_retreat,3.0,0.3,0.5416666666666666,0.125,0.3333333333333333,0.3333333333333333,0.125,0.1875,0.125,0.375,0.16666666666666666,0.75,0.4,True,False
router_target_0.4,router,3.0,0.4,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.125,0.1875,0.125,0.375,0.2916666666666667,0.625,0.5,True,False
binary_risk_retreat_target_0.4,binary_risk_retreat,3.0,0.4,0.5416666666666666,0.125,0.3333333333333333,0.3333333333333333,0.125,0.1875,0.125,0.375,0.16666666666666666,0.75,0.4,True,False
router_target_0.5,router,3.0,0.5,0.8333333333333334,0.125,0.041666666666666664,0.5,0.25,0.375,0.08333333333333333,0.25,0.4583333333333333,0.4583333333333333,0.6333333333333333,True,False
