method,subset,balanced_accuracy,macro_f1,detour_recall,retreat_recall,raw_decisions,raw_target_detour_pred_detour,raw_target_detour_pred_retreat,raw_target_retreat_pred_detour,raw_target_retreat_pred_retreat,weighted_confusion_matrix,balanced_accuracy_delta_vs_fixed_detour,macro_f1_delta_vs_fixed_detour,balanced_accuracy_delta_vs_condition_only_choice,macro_f1_delta_vs_condition_only_choice,balanced_accuracy_delta_vs_horizon_only_choice,macro_f1_delta_vs_horizon_only_choice
ADR-linear-full,strict_dr,0.5579424517146236,0.553901219925449,0.742130750605327,0.37375415282392027,60,26,11,15,8,"[[7.2976190476190474, 2.5357142857142856], [4.488095238095237, 2.6785714285714284]]",0.057942451714623644,0.18744159259625653,0.18358297201419005,0.20776498484047046,0.057942451714623644,0.18744159259625653
ADR-linear-full,oracle_gap_selected,0.5579424517146236,0.553901219925449,0.742130750605327,0.37375415282392027,60,26,11,15,8,"[[7.2976190476190474, 2.5357142857142856], [4.488095238095237, 2.6785714285714284]]",,,,,,
ADR-linear-split,strict_dr,0.6369446477842221,0.6356413386818596,0.8353510895883778,0.4385382059800665,60,30,7,15,8,"[[8.214285714285714, 1.6190476190476188], [4.023809523809524, 3.142857142857143]]",0.1369446477842221,0.26918171135266705,0.2625851680837885,0.289505103596881,0.1369446477842221,0.26918171135266705
ADR-linear-split,oracle_gap_selected,0.6369446477842221,0.6356413386818596,0.8353510895883778,0.4385382059800665,60,30,7,15,8,"[[8.214285714285714, 1.6190476190476188], [4.023809523809524, 3.142857142857143]]",,,,,,
ADR-tiny-nonlinear-choice,strict_dr,0.7253082943859451,0.7296502576689163,0.8559322033898306,0.5946843853820597,60,32,5,10,13,"[[8.416666666666666, 1.4166666666666665], [2.9047619047619047, 4.261904761904761]]",0.22530829438594513,0.3631906303397238,0.35094881468551153,0.38351402258393774,0.22530829438594513,0.3631906303397238
ADR-tiny-nonlinear-choice,oracle_gap_selected,0.7253082943859451,0.7296502576689163,0.8559322033898306,0.5946843853820597,60,32,5,10,13,"[[8.416666666666666, 1.4166666666666665], [2.9047619047619047, 4.261904761904761]]",,,,,,
Fixed-Detour diagnostic,strict_dr,0.5,0.3664596273291925,1.0,0.0,60,37,0,23,0,"[[9.833333333333332, 0.0], [7.166666666666666, 0.0]]",,,,,,
Fixed-Detour diagnostic,oracle_gap_selected,0.5,0.3664596273291925,1.0,0.0,60,37,0,23,0,"[[9.833333333333332, 0.0], [7.166666666666666, 0.0]]",,,,,,
Condition-only choice diagnostic,strict_dr,0.3743594797004336,0.3461362350849786,0.6440677966101696,0.10465116279069768,60,24,13,20,3,"[[6.333333333333334, 3.5], [6.416666666666666, 0.75]]",,,,,,
Condition-only choice diagnostic,oracle_gap_selected,0.3743594797004336,0.3461362350849786,0.6440677966101696,0.10465116279069768,60,24,13,20,3,"[[6.333333333333334, 3.5], [6.416666666666666, 0.75]]",,,,,,
Horizon-only choice diagnostic,strict_dr,0.5,0.3664596273291925,1.0,0.0,60,37,0,23,0,"[[9.833333333333332, 0.0], [7.166666666666666, 0.0]]",,,,,,
Horizon-only choice diagnostic,oracle_gap_selected,0.5,0.3664596273291925,1.0,0.0,60,37,0,23,0,"[[9.833333333333332, 0.0], [7.166666666666666, 0.0]]",,,,,,
