method,margin_subset,lower_q25,median_q50,upper_q75,balanced_accuracy,macro_f1,detour_recall,retreat_recall,raw_decisions,raw_target_detour_pred_detour,raw_target_detour_pred_retreat,raw_target_retreat_pred_detour,raw_target_retreat_pred_retreat,weighted_confusion_matrix
ADR-linear-full,Q1,1.0,1.0,1.0,0.5409932991722507,0.537855365357062,0.7082324455205811,0.37375415282392027,57,23,11,15,8,"[[6.964285714285714, 2.869047619047619], [4.488095238095237, 2.6785714285714284]]"
ADR-linear-full,Q2,1.0,1.0,1.0,,,,,0,,,,,
ADR-linear-full,Q3,1.0,1.0,1.0,,,,,0,,,,,
ADR-linear-full,Q4,1.0,1.0,1.0,1.0,0.5,1.0,,3,3,0,0,0,"[[2.0, 0.0], [0.0, 0.0]]"
ADR-linear-full,upper_half,1.0,1.0,1.0,0.5579424517146236,0.553901219925449,0.742130750605327,0.37375415282392027,60,26,11,15,8,"[[7.2976190476190474, 2.5357142857142856], [4.488095238095237, 2.6785714285714284]]"
ADR-linear-split,Q1,1.0,1.0,1.0,0.6284700715130357,0.6272338240328654,0.818401937046005,0.4385382059800665,57,27,7,15,8,"[[8.047619047619047, 1.7857142857142856], [4.023809523809524, 3.142857142857143]]"
ADR-linear-split,Q2,1.0,1.0,1.0,,,,,0,,,,,
ADR-linear-split,Q3,1.0,1.0,1.0,,,,,0,,,,,
ADR-linear-split,Q4,1.0,1.0,1.0,1.0,0.5,1.0,,3,3,0,0,0,"[[2.0, 0.0], [0.0, 0.0]]"
ADR-linear-split,upper_half,1.0,1.0,1.0,0.6369446477842221,0.6356413386818596,0.8353510895883778,0.4385382059800665,60,30,7,15,8,"[[8.214285714285714, 1.6190476190476188], [4.023809523809524, 3.142857142857143]]"
ADR-tiny-nonlinear-choice,Q1,1.0,1.0,1.0,0.7380201587927249,0.7432686181453453,0.8813559322033899,0.5946843853820597,57,30,4,10,13,"[[8.666666666666668, 1.1666666666666665], [2.9047619047619047, 4.261904761904761]]"
ADR-tiny-nonlinear-choice,Q2,1.0,1.0,1.0,,,,,0,,,,,
ADR-tiny-nonlinear-choice,Q3,1.0,1.0,1.0,,,,,0,,,,,
ADR-tiny-nonlinear-choice,Q4,1.0,1.0,1.0,0.75,0.42857142857142855,0.75,,3,2,1,0,0,"[[1.5, 0.5], [0.0, 0.0]]"
ADR-tiny-nonlinear-choice,upper_half,1.0,1.0,1.0,0.7253082943859451,0.7296502576689163,0.8559322033898306,0.5946843853820597,60,32,5,10,13,"[[8.416666666666666, 1.4166666666666665], [2.9047619047619047, 4.261904761904761]]"
Fixed-Detour diagnostic,Q1,1.0,1.0,1.0,0.5,0.3664596273291925,1.0,0.0,57,34,0,23,0,"[[9.833333333333332, 0.0], [7.166666666666666, 0.0]]"
Fixed-Detour diagnostic,Q2,1.0,1.0,1.0,,,,,0,,,,,
Fixed-Detour diagnostic,Q3,1.0,1.0,1.0,,,,,0,,,,,
Fixed-Detour diagnostic,Q4,1.0,1.0,1.0,1.0,0.5,1.0,,3,3,0,0,0,"[[2.0, 0.0], [0.0, 0.0]]"
Fixed-Detour diagnostic,upper_half,1.0,1.0,1.0,0.5,0.3664596273291925,1.0,0.0,60,37,0,23,0,"[[9.833333333333332, 0.0], [7.166666666666666, 0.0]]"
Condition-only choice diagnostic,Q1,1.0,1.0,1.0,0.3743594797004336,0.3461362350849786,0.6440677966101696,0.10465116279069768,57,23,11,20,3,"[[6.333333333333333, 3.5], [6.416666666666666, 0.75]]"
Condition-only choice diagnostic,Q2,1.0,1.0,1.0,,,,,0,,,,,
Condition-only choice diagnostic,Q3,1.0,1.0,1.0,,,,,0,,,,,
Condition-only choice diagnostic,Q4,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,,3,1,2,0,0,"[[1.0, 1.0], [0.0, 0.0]]"
Condition-only choice diagnostic,upper_half,1.0,1.0,1.0,0.3743594797004336,0.3461362350849786,0.6440677966101696,0.10465116279069768,60,24,13,20,3,"[[6.333333333333334, 3.5], [6.416666666666666, 0.75]]"
Horizon-only choice diagnostic,Q1,1.0,1.0,1.0,0.5,0.3664596273291925,1.0,0.0,57,34,0,23,0,"[[9.833333333333332, 0.0], [7.166666666666666, 0.0]]"
Horizon-only choice diagnostic,Q2,1.0,1.0,1.0,,,,,0,,,,,
Horizon-only choice diagnostic,Q3,1.0,1.0,1.0,,,,,0,,,,,
Horizon-only choice diagnostic,Q4,1.0,1.0,1.0,1.0,0.5,1.0,,3,3,0,0,0,"[[2.0, 0.0], [0.0, 0.0]]"
Horizon-only choice diagnostic,upper_half,1.0,1.0,1.0,0.5,0.3664596273291925,1.0,0.0,60,37,0,23,0,"[[9.833333333333332, 0.0], [7.166666666666666, 0.0]]"
