method,role,deployable,scalar_utility,task_success_rate,catastrophe_rate,intervention_rate,raw_decisions,strict_base_recall,raw_strict_base_states,strict_detour_recall,raw_strict_detour_states,strict_retreat_recall,raw_strict_retreat_states,detour_retreat_balanced_accuracy,strict_choice_macro_f1,utility_gain_vs_Risk->BestFixed
Base,reused_phase_2_5b,True,0.13055555555555554,0.5197222222222222,0.38916666666666666,0.0,273,1.0,61,0.0,37,0.0,23,0.0,0.22559444108972845,-0.12388888888888888
Always Detour,reused_phase_2_5b,True,0.2547222222222222,0.43472222222222223,0.18,1.0,273,0.0,61,1.0,37,0.0,23,0.5,0.16642845799587108,0.0002777777777777657
Always Retreat,reused_phase_2_5b,True,-0.18583333333333335,0.0,0.18583333333333335,1.0,273,0.0,61,0.0,37,1.0,23,0.5,0.08988223984619083,-0.44027777777777777
Risk->Retreat,reused_phase_2_5b,True,0.1297222222222222,0.4394444444444444,0.30972222222222223,0.35055555555555556,273,0.7775297619047619,61,0.0,37,0.5370370370370368,23,0.2685185185185184,0.32494601106974264,-0.1247222222222222
Risk->Detour,reused_phase_2_5b,True,0.2477777777777778,0.4988888888888889,0.2511111111111111,0.49805555555555553,273,0.5438988095238095,61,0.5705128205128205,37,0.0,23,0.28525641025641024,0.3449059597678064,-0.006666666666666626
Risk->BestFixed,reused_phase_2_5b,True,0.2544444444444444,0.5022222222222222,0.24777777777777774,0.4947222222222222,273,0.5595238095238095,61,0.5705128205128205,37,0.055555555555555546,23,0.31303418803418803,0.3805280085963671,0.0
Risk+TwoStage,reused_phase_2_5b,True,0.20777777777777776,0.4763888888888889,0.2686111111111111,0.46638888888888885,273,0.5949404761904762,61,0.30128205128205127,37,0.3703703703703703,23,0.3358262108262108,0.42550166681753526,-0.04666666666666666
SB-Risk+TwoStage,reused_phase_2_5b,True,0.20777777777777776,0.4763888888888889,0.2686111111111111,0.46638888888888885,273,0.5949404761904762,61,0.30128205128205127,37,0.3703703703703703,23,0.3358262108262108,0.42550166681753526,-0.04666666666666666
DirectChoice,reused_phase_2_5b,True,0.24166666666666664,0.48722222222222217,0.24555555555555558,0.4352777777777777,273,0.6419642857142857,61,0.34615384615384615,37,0.2962962962962962,23,0.32122507122507116,0.4244710645456873,-0.012777777777777777
DirectQ,reused_phase_2_5b,True,0.19694444444444442,0.4686111111111111,0.27166666666666667,0.41305555555555556,273,0.6260416666666666,61,0.3141025641025641,37,0.3703703703703703,23,0.34223646723646717,0.3835623578890553,-0.057499999999999996
SB-DirectQ,reused_phase_2_5b,True,0.19277777777777777,0.4636111111111111,0.2708333333333333,0.38472222222222224,273,0.6031249999999999,61,0.22435897435897434,37,0.5185185185185185,23,0.3714387464387464,0.4087579459126533,-0.06166666666666665
PairwiseAdvantage,reused_phase_2_5b,True,0.19694444444444442,0.4686111111111111,0.27166666666666667,0.41305555555555556,273,0.6260416666666666,61,0.3141025641025641,37,0.3703703703703703,23,0.34223646723646717,0.3835623578890553,-0.057499999999999996
OutcomeRouter,reused_phase_2_5b,True,0.2722222222222222,0.5008333333333332,0.22861111111111115,0.48305555555555557,273,0.5925595238095238,61,0.3269230769230769,37,0.3703703703703703,23,0.3486467236467236,0.4254905238674634,0.01777777777777778
SB-OutcomeRouter,reused_phase_2_5b,True,0.26722222222222214,0.5066666666666666,0.2394444444444445,0.45138888888888895,273,0.653422619047619,61,0.3012820512820512,37,0.48148148148148145,23,0.39138176638176636,0.47114352097050277,0.012777777777777721
SB-COR,reused_phase_2_5b,True,0.2427777777777777,0.48749999999999993,0.24472222222222223,0.42361111111111105,273,0.6061011904761904,61,0.25,37,0.48148148148148145,23,0.3657407407407407,0.4451789803599952,-0.011666666666666714
OutcomeRouter-hidden-only,reused_phase_2_5b,True,0.26444444444444437,0.4833333333333333,0.2188888888888889,0.5222222222222221,273,0.4880952380952381,61,0.43589743589743585,37,0.5185185185185185,23,0.47720797720797714,0.47801271525160943,0.009999999999999953
OutcomeRouter-state-action-only,reused_phase_2_5b,True,0.17277777777777775,0.48999999999999994,0.31722222222222224,0.40388888888888885,273,0.6075892857142857,61,0.34615384615384615,37,0.0,23,0.17307692307692307,0.2706122565214217,-0.08166666666666667
Condition-only diagnostic,diagnostic_only,False,0.3238888888888889,0.5547222222222221,0.23083333333333336,0.4333333333333333,273,0.9270833333333333,61,0.3076923076923077,37,0.22222222222222218,23,0.26495726495726496,0.44531294409239547,0.06944444444444448
Horizon-only diagnostic,diagnostic_only,False,0.18666666666666668,0.4811111111111111,0.29444444444444445,0.46416666666666667,273,0.5610119047619047,61,0.37820512820512814,37,0.0,23,0.18910256410256407,0.28673039313170395,-0.06777777777777774
ADR-linear-full,advantage_router,True,0.2097222222222222,0.4636111111111111,0.25388888888888894,0.4608333333333333,273,0.5873511904761904,61,0.391025641025641,37,0.25925925925925924,23,0.32514245014245013,0.3878684571402034,-0.04472222222222222
ADR-linear-split,advantage_router,True,0.22222222222222218,0.45277777777777767,0.23055555555555554,0.5225,273,0.4998511904761904,61,0.4487179487179486,37,0.3703703703703703,23,0.40954415954415946,0.42526830505800933,-0.032222222222222235
ADR-tiny-nonlinear-choice,advantage_router,True,0.2311111111111111,0.4733333333333333,0.24222222222222226,0.45666666666666667,273,0.5748511904761904,61,0.45512820512820507,37,0.44444444444444436,23,0.44978632478632474,0.5011026431821768,-0.023333333333333317
Oracle upper bound diagnostic,diagnostic_only,False,0.5641666666666666,0.6383333333333333,0.07416666666666667,0.3427777777777778,273,1.0,61,1.0,37,1.0,23,1.0,1.0,0.3097222222222222
