component,source,method,scalar_utility,task_success_rate,catastrophe_rate,intervention_rate,raw_decisions,strict_base_recall,raw_strict_base_states,strict_detour_recall,raw_strict_detour_states,strict_retreat_recall,raw_strict_retreat_states,detour_retreat_balanced_accuracy,strict_choice_macro_f1,balanced_accuracy,macro_f1,detour_recall,retreat_recall,raw_target_detour_pred_detour,raw_target_detour_pred_retreat,raw_target_retreat_pred_detour,raw_target_retreat_pred_retreat,weighted_confusion_matrix,base_recall,intervention_recall,auroc,auprc,raw_base_states,raw_intervention_states
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Base,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,12,1.0,4,0.0,3,,0,0.0,0.24242424242424243,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Always Detour,0.5833333333333333,0.5833333333333333,0.0,1.0,12,0.0,4,1.0,3,,0,1.0,0.20000000000000004,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Always Retreat,0.0,0.0,0.0,1.0,12,0.0,4,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Risk->Retreat,0.3333333333333333,0.41666666666666663,0.08333333333333333,0.49999999999999994,12,0.5,4,0.0,3,,0,0.0,0.1904761904761905,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Risk->Detour,0.49999999999999994,0.5833333333333333,0.08333333333333333,0.5833333333333334,12,0.25,4,0.6666666666666666,3,,0,0.6666666666666666,0.27777777777777773,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Risk->BestFixed,0.49999999999999994,0.5833333333333333,0.08333333333333333,0.5833333333333334,12,0.25,4,0.6666666666666666,3,,0,0.6666666666666666,0.27777777777777773,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Risk+TwoStage,0.5833333333333333,0.6666666666666666,0.08333333333333333,0.49999999999999994,12,0.5,4,0.6666666666666666,3,,0,0.6666666666666666,0.41269841269841273,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,SB-Risk+TwoStage,0.5833333333333333,0.6666666666666666,0.08333333333333333,0.49999999999999994,12,0.5,4,0.6666666666666666,3,,0,0.6666666666666666,0.41269841269841273,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,DirectChoice,0.6666666666666666,0.6666666666666666,0.0,0.8333333333333334,12,0.25,4,1.0,3,,0,1.0,0.3555555555555556,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,DirectQ,0.5833333333333333,0.5833333333333333,0.0,1.0,12,0.0,4,1.0,3,,0,1.0,0.20000000000000004,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,SB-DirectQ,0.5833333333333333,0.5833333333333333,0.0,1.0,12,0.0,4,1.0,3,,0,1.0,0.20000000000000004,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,PairwiseAdvantage,0.5833333333333333,0.5833333333333333,0.0,1.0,12,0.0,4,1.0,3,,0,1.0,0.20000000000000004,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,OutcomeRouter,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,12,0.25,4,1.0,3,,0,1.0,0.3555555555555556,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,SB-OutcomeRouter,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,12,0.25,4,1.0,3,,0,1.0,0.3555555555555556,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,SB-COR,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,12,0.25,4,1.0,3,,0,1.0,0.3555555555555556,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,OutcomeRouter-hidden-only,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,12,0.25,4,1.0,3,,0,1.0,0.3555555555555556,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,OutcomeRouter-state-action-only,0.5833333333333333,0.5833333333333333,0.0,1.0,12,0.0,4,1.0,3,,0,1.0,0.20000000000000004,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Condition-only diagnostic,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,12,1.0,4,0.0,3,,0,0.0,0.3333333333333333,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Horizon-only diagnostic,0.49999999999999994,0.6666666666666666,0.16666666666666666,0.49999999999999994,12,0.5,4,0.6666666666666666,3,,0,0.6666666666666666,0.38095238095238093,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ADR-linear-full,0.5833333333333333,0.5833333333333333,0.0,1.0,12,0.0,4,1.0,3,,0,1.0,0.20000000000000004,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ADR-linear-split,0.5833333333333333,0.5833333333333333,0.0,1.0,12,0.0,4,1.0,3,,0,1.0,0.20000000000000004,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ADR-tiny-nonlinear-choice,0.49999999999999994,0.49999999999999994,0.0,1.0,12,0.0,4,0.6666666666666666,3,,0,0.6666666666666666,0.14814814814814817,,,,,,,,,,,,,,,
composed_router,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Oracle upper bound diagnostic,0.9166666666666667,0.9166666666666667,0.0,0.3333333333333333,12,1.0,4,1.0,3,,0,1.0,0.6666666666666666,,,,,,,,,,,,,,,
conditional_choice,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ADR-linear-full,,,,,3,,,,,,,,,1.0,0.5,1.0,,3,0,0,0,"[[1.0, 0.0], [0.0, 0.0]]",,,,,,
conditional_choice,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ADR-linear-split,,,,,3,,,,,,,,,1.0,0.5,1.0,,3,0,0,0,"[[1.0, 0.0], [0.0, 0.0]]",,,,,,
conditional_choice,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ADR-tiny-nonlinear-choice,,,,,3,,,,,,,,,0.6666666666666666,0.4,0.6666666666666666,,2,1,0,0,"[[0.6666666666666666, 0.3333333333333333], [0.0, 0.0]]",,,,,,
conditional_choice,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Fixed-Detour diagnostic,,,,,3,,,,,,,,,1.0,0.5,1.0,,3,0,0,0,"[[1.0, 0.0], [0.0, 0.0]]",,,,,,
conditional_choice,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Condition-only choice diagnostic,,,,,3,,,,,,,,,0.0,0.0,0.0,,0,3,0,0,"[[0.0, 1.0], [0.0, 0.0]]",,,,,,
conditional_choice,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,Horizon-only choice diagnostic,,,,,3,,,,,,,,,1.0,0.5,1.0,,3,0,0,0,"[[1.0, 0.0], [0.0, 0.0]]",,,,,,
benefit_gate,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ADR-linear-full,,,,1.0,12,,,,,,,,,0.5,,,,,,,,,0.0,1.0,0.6875000000000001,0.7048611111111112,8,4
benefit_gate,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ADR-linear-split,,,,1.0,12,,,,,,,,,0.5,,,,,,,,,0.0,1.0,0.6875000000000001,0.7048611111111112,8,4
benefit_gate,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ADR-tiny-nonlinear-choice,,,,1.0,12,,,,,,,,,0.5,,,,,,,,,0.0,1.0,0.6875000000000001,0.7048611111111112,8,4
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,Base,-0.8,0.0,0.8,0.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,Always Detour,-0.2,0.0,0.2,1.0,5,,0,1.0,3,,0,1.0,0.3333333333333333,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,Always Retreat,-1.0,0.0,1.0,1.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,Risk->Retreat,-1.0,0.0,1.0,1.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,Risk->Detour,-0.2,0.0,0.2,1.0,5,,0,1.0,3,,0,1.0,0.3333333333333333,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,Risk->BestFixed,-0.2,0.0,0.2,1.0,5,,0,1.0,3,,0,1.0,0.3333333333333333,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,Risk+TwoStage,-1.0,0.0,1.0,1.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,SB-Risk+TwoStage,-1.0,0.0,1.0,1.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,DirectChoice,-0.8,0.0,0.8,0.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,DirectQ,-0.8,0.0,0.8,0.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,SB-DirectQ,-0.8,0.0,0.8,0.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,PairwiseAdvantage,-0.8,0.0,0.8,0.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,OutcomeRouter,-0.8,0.0,0.8,0.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,SB-OutcomeRouter,-0.8,0.0,0.8,0.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
composed_router,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,SB-COR,-0.8,0.0,0.8,0.0,5,,0,0.0,3,,0,0.0,0.0,,,,,,,,,,,,,,,
