method,n_decisions,n_sources,task_success_count,task_success_numerator,task_success_denominator,task_success_rate,catastrophe_count,catastrophe_numerator,catastrophe_denominator,catastrophe_rate,safe_noncompletion_count,safe_noncompletion_numerator,safe_noncompletion_denominator,safe_noncompletion_rate,intervention_count,intervention_numerator,intervention_denominator,intervention_rate,unnecessary_intervention_count,unnecessary_intervention_numerator,unnecessary_intervention_denominator,unnecessary_intervention_rate,harmful_intervention_count,harmful_intervention_numerator,harmful_intervention_denominator,harmful_intervention_rate,beneficial_intervention_count,beneficial_intervention_numerator,beneficial_intervention_denominator,beneficial_intervention_rate,missed_beneficial_intervention_count,missed_beneficial_intervention_numerator,missed_beneficial_intervention_denominator,missed_beneficial_intervention_rate,unnecessary_given_base_success_count,unnecessary_given_base_success_denominator,unnecessary_given_base_success_rate,missed_given_beneficial_opportunity_count,missed_given_beneficial_opportunity_denominator,missed_given_beneficial_opportunity_rate,utility_sum,utility_denominator,mean_utility,oracle_regret_sum,oracle_regret_denominator,mean_oracle_regret,value_gain_over_base_sum,oracle_value_available_sum,oracle_value_recovered,success_rate,source_macro_mean_utility,mean_utility_source_bootstrap_ci_low,mean_utility_source_bootstrap_ci_high,source_macro_task_success_rate,task_success_rate_source_bootstrap_ci_low,task_success_rate_source_bootstrap_ci_high,source_macro_catastrophe_rate,catastrophe_rate_source_bootstrap_ci_low,catastrophe_rate_source_bootstrap_ci_high,source_macro_intervention_rate,intervention_rate_source_bootstrap_ci_low,intervention_rate_source_bootstrap_ci_high,source_macro_harmful_intervention_rate,harmful_intervention_rate_source_bootstrap_ci_low,harmful_intervention_rate_source_bootstrap_ci_high,source_macro_missed_beneficial_intervention_rate,missed_beneficial_intervention_rate_source_bootstrap_ci_low,missed_beneficial_intervention_rate_source_bootstrap_ci_high,source_macro_mean_oracle_regret,mean_oracle_regret_source_bootstrap_ci_low,mean_oracle_regret_source_bootstrap_ci_high,parameter_count,latency_us_per_decision,is_primary_method,method_family,feature_contract,is_utility_intervention_frontier,is_success_catastrophe_frontier
Base,106,8,60,60,106,0.5660377358490566,40,40,106,0.37735849056603776,6,6,106,0.05660377358490566,0,0,106,0.0,0,0,106,0.0,0,0,106,0.0,0,0,106,0.0,38,38,106,0.3584905660377358,0,60,0.0,38,38,1.0,20.0,106,0.18867924528301888,44.0,106,0.41509433962264153,0.0,44.0,0.0,0.5660377358490566,-0.0027777777777778095,-0.42500000000000004,0.3055555555555556,0.46805555555555556,0.24305555555555552,0.6340277777777777,0.4708333333333333,0.32499999999999996,0.6667708333333318,0.0,0.0,0.0,0.0,0.0,0.0,0.3673611111111111,0.22916666666666666,0.51875,0.45902777777777776,0.2638020833333334,0.7069444444444444,0.0,0.0,False,fixed,,True,False
Always Detour,106,8,51,51,106,0.4811320754716981,19,19,106,0.1792452830188679,36,36,106,0.33962264150943394,106,106,106,1.0,60,60,106,0.5660377358490566,19,19,106,0.1792452830188679,25,25,106,0.2358490566037736,0,0,106,0.0,60,60,1.0,0,38,0.0,32.0,106,0.3018867924528302,32.0,106,0.3018867924528302,12.0,44.0,0.2727272727272727,0.4811320754716981,0.20347222222222222,-0.20069444444444445,0.5395833333333333,0.45138888888888895,0.2763541666666667,0.6513888888888889,0.24791666666666665,0.0875,0.47708333333333336,1.0,1.0,1.0,0.15486111111111112,0.07913194444444445,0.22777777777777777,0.0,0.0,0.0,0.25277777777777777,0.13194444444444445,0.36944444444444446,0.0,0.0,False,fixed,,False,False
Always Retreat,106,8,0,0,106,0.0,11,11,106,0.10377358490566038,95,95,106,0.8962264150943396,106,106,106,1.0,60,60,106,0.5660377358490566,61,61,106,0.5754716981132075,31,31,106,0.29245283018867924,0,0,106,0.0,60,60,1.0,0,38,0.0,-11.0,106,-0.10377358490566038,75.0,106,0.7075471698113207,-31.0,44.0,-0.7045454545454546,0.0,-0.25416666666666665,-0.625,0.0,0.0,0.0,0.0,0.25416666666666665,0.0,0.625,1.0,1.0,1.0,0.4930555555555555,0.3124826388888889,0.6340277777777777,0.0,0.0,0.0,0.7104166666666667,0.5270833333333333,0.8916666666666666,0.0,0.0,False,fixed,,False,True
Risk->Retreat,106,8,43,43,106,0.4056603773584906,23,23,106,0.2169811320754717,40,40,106,0.37735849056603776,48,48,106,0.4528301886792453,17,17,106,0.16037735849056603,18,18,106,0.16981132075471697,19,19,106,0.1792452830188679,14,14,106,0.1320754716981132,17,60,0.2833333333333333,14,38,0.3684210526315789,20.0,106,0.18867924528301888,44.0,106,0.41509433962264153,0.0,44.0,0.0,0.4056603773584906,0.0111111111111111,-0.45842013888888883,0.38541666666666663,0.3576388888888889,0.18749999999999997,0.5243055555555556,0.34652777777777777,0.11319444444444444,0.6625,0.5284722222222222,0.32291666666666663,0.7479166666666666,0.13541666666666669,0.0375,0.2458854166666659,0.10972222222222222,0.04583333333333334,0.18055555555555555,0.44513888888888886,0.21458333333333335,0.7146006944444442,64.0,0.3418919332525472,False,scalar_risk,,False,False
Risk->Detour,106,8,63,63,106,0.5943396226415094,30,30,106,0.2830188679245283,13,13,106,0.12264150943396226,48,48,106,0.4528301886792453,17,17,106,0.16037735849056603,4,4,106,0.03773584905660377,12,12,106,0.11320754716981132,14,14,106,0.1320754716981132,17,60,0.2833333333333333,14,38,0.3684210526315789,33.0,106,0.3113207547169811,31.0,106,0.29245283018867924,13.0,44.0,0.29545454545454547,0.5943396226415094,0.2111111111111111,-0.1763888888888889,0.5007291666666662,0.5409722222222222,0.36180555555555555,0.7020833333333334,0.3298611111111111,0.19583333333333333,0.5375,0.5284722222222222,0.32291666666666663,0.7479166666666666,0.037500000000000006,0.0,0.08750000000000001,0.10972222222222222,0.04583333333333334,0.18055555555555555,0.2451388888888889,0.15625,0.3284722222222223,64.0,0.3418919332525472,False,scalar_risk,,False,False
Risk->BestFixed,106,8,63,63,106,0.5943396226415094,30,30,106,0.2830188679245283,13,13,106,0.12264150943396226,48,48,106,0.4528301886792453,17,17,106,0.16037735849056603,4,4,106,0.03773584905660377,12,12,106,0.11320754716981132,14,14,106,0.1320754716981132,17,60,0.2833333333333333,14,38,0.3684210526315789,33.0,106,0.3113207547169811,31.0,106,0.29245283018867924,13.0,44.0,0.29545454545454547,0.5943396226415094,0.2111111111111111,-0.1763888888888889,0.5007291666666662,0.5409722222222222,0.36180555555555555,0.7020833333333334,0.3298611111111111,0.19583333333333333,0.5375,0.5284722222222222,0.32291666666666663,0.7479166666666666,0.037500000000000006,0.0,0.08750000000000001,0.10972222222222222,0.04583333333333334,0.18055555555555555,0.2451388888888889,0.15625,0.3284722222222223,64.0,0.3418919332525472,False,scalar_risk,,False,False
Risk+TwoStage,106,8,59,59,106,0.5566037735849056,28,28,106,0.2641509433962264,19,19,106,0.1792452830188679,48,48,106,0.4528301886792453,17,17,106,0.16037735849056603,7,7,106,0.0660377358490566,14,14,106,0.1320754716981132,14,14,106,0.1320754716981132,17,60,0.2833333333333333,14,38,0.3684210526315789,31.0,106,0.29245283018867924,33.0,106,0.3113207547169811,11.0,44.0,0.25,0.5566037735849056,0.20277777777777775,-0.17222222222222222,0.4597222222222222,0.5118055555555556,0.34513888888888894,0.6402777777777777,0.3090277777777778,0.17569444444444443,0.5180555555555556,0.5284722222222222,0.32291666666666663,0.7479166666666666,0.05625,0.010416666666666666,0.1125,0.10972222222222222,0.04583333333333334,0.18055555555555555,0.2534722222222222,0.16039930555555554,0.34305555555555556,128.0,0.6808871350529334,False,two_stage,,False,False
DirectChoice,106,8,45,45,106,0.42452830188679247,23,23,106,0.2169811320754717,38,38,106,0.3584905660377358,69,69,106,0.6509433962264151,33,33,106,0.3113207547169811,21,21,106,0.19811320754716982,19,19,106,0.1792452830188679,10,10,106,0.09433962264150944,33,60,0.55,10,38,0.2631578947368421,22.0,106,0.20754716981132076,42.0,106,0.39622641509433965,2.0,44.0,0.045454545454545456,0.42452830188679247,0.11666666666666665,-0.23125,0.375,0.3895833333333334,0.25416666666666665,0.5062500000000001,0.2729166666666667,0.12291666666666666,0.4979166666666667,0.7020833333333333,0.5249999999999999,0.8791666666666667,0.1784722222222222,0.10208333333333333,0.25,0.07777777777777778,0.016666666666666666,0.15069444444444444,0.33958333333333335,0.20416666666666666,0.4604166666666667,96.0,0.45618118149163855,False,direct_choice,,False,False
DirectQ,106,8,53,53,106,0.5,27,27,106,0.25471698113207547,26,26,106,0.24528301886792453,59,59,106,0.5566037735849056,26,26,106,0.24528301886792453,13,13,106,0.12264150943396226,16,16,106,0.1509433962264151,11,11,106,0.10377358490566038,26,60,0.43333333333333335,11,38,0.2894736842105263,26.0,106,0.24528301886792453,38.0,106,0.3584905660377358,6.0,44.0,0.13636363636363635,0.5,0.1451388888888889,-0.20625,0.3833506944444442,0.45625,0.3125,0.5625,0.3111111111111111,0.16388888888888886,0.5229166666666667,0.6027777777777779,0.40133680555555556,0.8090277777777777,0.11180555555555555,0.05546875000000002,0.17083333333333334,0.09097222222222222,0.029166666666666664,0.16319444444444445,0.3111111111111111,0.17916666666666667,0.43546874999999924,96.0,0.2861916559047231,False,direct_q,,False,False
DirectQ-lambda2,106,8,53,53,106,0.5,24,24,106,0.22641509433962265,29,29,106,0.27358490566037735,56,56,106,0.5283018867924528,23,23,106,0.2169811320754717,13,13,106,0.12264150943396226,19,19,106,0.1792452830188679,11,11,106,0.10377358490566038,23,60,0.38333333333333336,11,38,0.2894736842105263,29.0,106,0.27358490566037735,35.0,106,0.330188679245283,9.0,44.0,0.20454545454545456,0.5,0.16388888888888892,-0.18750000000000003,0.38958333333333334,0.45,0.31036458333333333,0.5583333333333333,0.2861111111111111,0.14791666666666667,0.5006944444444444,0.5840277777777778,0.3895833333333333,0.7895833333333333,0.11805555555555555,0.05208333333333333,0.19513888888888886,0.09097222222222222,0.029166666666666664,0.16319444444444445,0.29236111111111107,0.16319444444444445,0.4340277777777778,96.0,0.5457330179397517,False,direct_q,,False,False
