method,condition,n_decisions,n_sources,task_success_count,task_success_numerator,task_success_denominator,task_success_rate,catastrophe_count,catastrophe_numerator,catastrophe_denominator,catastrophe_rate,safe_noncompletion_count,safe_noncompletion_numerator,safe_noncompletion_denominator,safe_noncompletion_rate,intervention_count,intervention_numerator,intervention_denominator,intervention_rate,unnecessary_intervention_count,unnecessary_intervention_numerator,unnecessary_intervention_denominator,unnecessary_intervention_rate,harmful_intervention_count,harmful_intervention_numerator,harmful_intervention_denominator,harmful_intervention_rate,beneficial_intervention_count,beneficial_intervention_numerator,beneficial_intervention_denominator,beneficial_intervention_rate,missed_beneficial_intervention_count,missed_beneficial_intervention_numerator,missed_beneficial_intervention_denominator,missed_beneficial_intervention_rate,unnecessary_given_base_success_count,unnecessary_given_base_success_denominator,unnecessary_given_base_success_rate,missed_given_beneficial_opportunity_count,missed_given_beneficial_opportunity_denominator,missed_given_beneficial_opportunity_rate,utility_sum,utility_denominator,mean_utility,oracle_regret_sum,oracle_regret_denominator,mean_oracle_regret,value_gain_over_base_sum,oracle_value_available_sum,oracle_value_recovered,success_rate
Base,glass,42,8,0,0,42,0.0,40,40,42,0.9523809523809523,2,2,42,0.047619047619047616,0,0,42,0.0,0,0,42,0.0,0,0,42,0.0,0,0,42,0.0,35,35,42,0.8333333333333334,0,0,,35,35,1.0,-40.0,42,-0.9523809523809523,41.0,42,0.9761904761904762,0.0,41.0,0.0,0.0
Always Detour,glass,42,8,6,6,42,0.14285714285714285,19,19,42,0.4523809523809524,17,17,42,0.40476190476190477,42,42,42,1.0,0,0,42,0.0,1,1,42,0.023809523809523808,22,22,42,0.5238095238095238,0,0,42,0.0,0,0,,0,35,0.0,-13.0,42,-0.30952380952380953,14.0,42,0.3333333333333333,27.0,41.0,0.6585365853658537,0.14285714285714285
Always Retreat,glass,42,8,0,0,42,0.0,10,10,42,0.23809523809523808,32,32,42,0.7619047619047619,42,42,42,1.0,0,0,42,0.0,1,1,42,0.023809523809523808,31,31,42,0.7380952380952381,0,0,42,0.0,0,0,,0,35,0.0,-10.0,42,-0.23809523809523808,11.0,42,0.2619047619047619,30.0,41.0,0.7317073170731707,0.0
Risk->Retreat,glass,42,8,0,0,42,0.0,22,22,42,0.5238095238095238,20,20,42,0.47619047619047616,29,29,42,0.6904761904761905,0,0,42,0.0,1,1,42,0.023809523809523808,19,19,42,0.4523809523809524,12,12,42,0.2857142857142857,0,0,,12,35,0.34285714285714286,-22.0,42,-0.5238095238095238,23.0,42,0.5476190476190477,18.0,41.0,0.43902439024390244,0.0
Risk->Detour,glass,42,8,5,5,42,0.11904761904761904,30,30,42,0.7142857142857143,7,7,42,0.16666666666666666,29,29,42,0.6904761904761905,0,0,42,0.0,1,1,42,0.023809523809523808,11,11,42,0.2619047619047619,12,12,42,0.2857142857142857,0,0,,12,35,0.34285714285714286,-25.0,42,-0.5952380952380952,26.0,42,0.6190476190476191,15.0,41.0,0.36585365853658536,0.11904761904761904
Risk->BestFixed,glass,42,8,5,5,42,0.11904761904761904,30,30,42,0.7142857142857143,7,7,42,0.16666666666666666,29,29,42,0.6904761904761905,0,0,42,0.0,1,1,42,0.023809523809523808,11,11,42,0.2619047619047619,12,12,42,0.2857142857142857,0,0,,12,35,0.34285714285714286,-25.0,42,-0.5952380952380952,26.0,42,0.6190476190476191,15.0,41.0,0.36585365853658536,0.11904761904761904
Risk+TwoStage,glass,42,8,4,4,42,0.09523809523809523,28,28,42,0.6666666666666666,10,10,42,0.23809523809523808,29,29,42,0.6904761904761905,0,0,42,0.0,1,1,42,0.023809523809523808,13,13,42,0.30952380952380953,12,12,42,0.2857142857142857,0,0,,12,35,0.34285714285714286,-24.0,42,-0.5714285714285714,25.0,42,0.5952380952380952,16.0,41.0,0.3902439024390244,0.09523809523809523
DirectChoice,glass,42,8,4,4,42,0.09523809523809523,23,23,42,0.5476190476190477,15,15,42,0.35714285714285715,34,34,42,0.8095238095238095,0,0,42,0.0,1,1,42,0.023809523809523808,18,18,42,0.42857142857142855,8,8,42,0.19047619047619047,0,0,,8,35,0.22857142857142856,-19.0,42,-0.4523809523809524,20.0,42,0.47619047619047616,21.0,41.0,0.5121951219512195,0.09523809523809523
DirectQ,glass,42,8,3,3,42,0.07142857142857142,27,27,42,0.6428571428571429,12,12,42,0.2857142857142857,31,31,42,0.7380952380952381,0,0,42,0.0,1,1,42,0.023809523809523808,14,14,42,0.3333333333333333,10,10,42,0.23809523809523808,0,0,,10,35,0.2857142857142857,-24.0,42,-0.5714285714285714,25.0,42,0.5952380952380952,16.0,41.0,0.3902439024390244,0.07142857142857142
DirectQ-lambda2,glass,42,8,3,3,42,0.07142857142857142,24,24,42,0.5714285714285714,15,15,42,0.35714285714285715,31,31,42,0.7380952380952381,0,0,42,0.0,1,1,42,0.023809523809523808,17,17,42,0.40476190476190477,10,10,42,0.23809523809523808,0,0,,10,35,0.2857142857142857,-21.0,42,-0.5,22.0,42,0.5238095238095238,19.0,41.0,0.4634146341463415,0.07142857142857142
