method,horizon,n_decisions,n_sources,task_success_count,task_success_numerator,task_success_denominator,task_success_rate,catastrophe_count,catastrophe_numerator,catastrophe_denominator,catastrophe_rate,safe_noncompletion_count,safe_noncompletion_numerator,safe_noncompletion_denominator,safe_noncompletion_rate,intervention_count,intervention_numerator,intervention_denominator,intervention_rate,unnecessary_intervention_count,unnecessary_intervention_numerator,unnecessary_intervention_denominator,unnecessary_intervention_rate,harmful_intervention_count,harmful_intervention_numerator,harmful_intervention_denominator,harmful_intervention_rate,beneficial_intervention_count,beneficial_intervention_numerator,beneficial_intervention_denominator,beneficial_intervention_rate,missed_beneficial_intervention_count,missed_beneficial_intervention_numerator,missed_beneficial_intervention_denominator,missed_beneficial_intervention_rate,unnecessary_given_base_success_count,unnecessary_given_base_success_denominator,unnecessary_given_base_success_rate,missed_given_beneficial_opportunity_count,missed_given_beneficial_opportunity_denominator,missed_given_beneficial_opportunity_rate,utility_sum,utility_denominator,mean_utility,oracle_regret_sum,oracle_regret_denominator,mean_oracle_regret,value_gain_over_base_sum,oracle_value_available_sum,oracle_value_recovered,success_rate
Base,10,26,8,15,15,26,0.5769230769230769,10,10,26,0.38461538461538464,1,1,26,0.038461538461538464,0,0,26,0.0,0,0,26,0.0,0,0,26,0.0,0,0,26,0.0,10,10,26,0.38461538461538464,0,15,0.0,10,10,1.0,5.0,26,0.19230769230769232,11.0,26,0.4230769230769231,0.0,11.0,0.0,0.5769230769230769
Always Detour,10,26,8,14,14,26,0.5384615384615384,6,6,26,0.23076923076923078,6,6,26,0.23076923076923078,26,26,26,1.0,15,15,26,0.5769230769230769,3,3,26,0.11538461538461539,5,5,26,0.19230769230769232,0,0,26,0.0,15,15,1.0,0,10,0.0,8.0,26,0.3076923076923077,8.0,26,0.3076923076923077,3.0,11.0,0.2727272727272727,0.5384615384615384
Always Retreat,10,26,8,0,0,26,0.0,2,2,26,0.07692307692307693,24,24,26,0.9230769230769231,26,26,26,1.0,15,15,26,0.5769230769230769,15,15,26,0.5769230769230769,8,8,26,0.3076923076923077,0,0,26,0.0,15,15,1.0,0,10,0.0,-2.0,26,-0.07692307692307693,18.0,26,0.6923076923076923,-7.0,11.0,-0.6363636363636364,0.0
Risk->Retreat,10,26,8,10,10,26,0.38461538461538464,4,4,26,0.15384615384615385,12,12,26,0.46153846153846156,13,13,26,0.5,5,5,26,0.19230769230769232,5,5,26,0.19230769230769232,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,5,15,0.3333333333333333,3,10,0.3,6.0,26,0.23076923076923078,10.0,26,0.38461538461538464,1.0,11.0,0.09090909090909091,0.38461538461538464
Risk->Detour,10,26,8,16,16,26,0.6153846153846154,8,8,26,0.3076923076923077,2,2,26,0.07692307692307693,13,13,26,0.5,5,5,26,0.19230769230769232,0,0,26,0.0,2,2,26,0.07692307692307693,3,3,26,0.11538461538461539,5,15,0.3333333333333333,3,10,0.3,8.0,26,0.3076923076923077,8.0,26,0.3076923076923077,3.0,11.0,0.2727272727272727,0.6153846153846154
Risk->BestFixed,10,26,8,16,16,26,0.6153846153846154,8,8,26,0.3076923076923077,2,2,26,0.07692307692307693,13,13,26,0.5,5,5,26,0.19230769230769232,0,0,26,0.0,2,2,26,0.07692307692307693,3,3,26,0.11538461538461539,5,15,0.3333333333333333,3,10,0.3,8.0,26,0.3076923076923077,8.0,26,0.3076923076923077,3.0,11.0,0.2727272727272727,0.6153846153846154
Risk+TwoStage,10,26,8,14,14,26,0.5384615384615384,7,7,26,0.2692307692307692,5,5,26,0.19230769230769232,13,13,26,0.5,5,5,26,0.19230769230769232,2,2,26,0.07692307692307693,3,3,26,0.11538461538461539,3,3,26,0.11538461538461539,5,15,0.3333333333333333,3,10,0.3,7.0,26,0.2692307692307692,9.0,26,0.34615384615384615,2.0,11.0,0.18181818181818182,0.5384615384615384
DirectChoice,10,26,8,8,8,26,0.3076923076923077,7,7,26,0.2692307692307692,11,11,26,0.4230769230769231,17,17,26,0.6538461538461539,9,9,26,0.34615384615384615,7,7,26,0.2692307692307692,3,3,26,0.11538461538461539,3,3,26,0.11538461538461539,9,15,0.6,3,10,0.3,1.0,26,0.038461538461538464,15.0,26,0.5769230769230769,-4.0,11.0,-0.36363636363636365,0.3076923076923077
DirectQ,10,26,8,12,12,26,0.46153846153846156,8,8,26,0.3076923076923077,6,6,26,0.23076923076923078,14,14,26,0.5384615384615384,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,2,2,26,0.07692307692307693,3,3,26,0.11538461538461539,6,15,0.4,3,10,0.3,4.0,26,0.15384615384615385,12.0,26,0.46153846153846156,-1.0,11.0,-0.09090909090909091,0.46153846153846156
DirectQ-lambda2,10,26,8,12,12,26,0.46153846153846156,6,6,26,0.23076923076923078,8,8,26,0.3076923076923077,14,14,26,0.5384615384615384,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,4,4,26,0.15384615384615385,3,3,26,0.11538461538461539,6,15,0.4,3,10,0.3,6.0,26,0.23076923076923078,10.0,26,0.38461538461538464,1.0,11.0,0.09090909090909091,0.46153846153846156
