method,source,n_decisions,n_sources,task_success_count,task_success_numerator,task_success_denominator,task_success_rate,catastrophe_count,catastrophe_numerator,catastrophe_denominator,catastrophe_rate,safe_noncompletion_count,safe_noncompletion_numerator,safe_noncompletion_denominator,safe_noncompletion_rate,intervention_count,intervention_numerator,intervention_denominator,intervention_rate,unnecessary_intervention_count,unnecessary_intervention_numerator,unnecessary_intervention_denominator,unnecessary_intervention_rate,harmful_intervention_count,harmful_intervention_numerator,harmful_intervention_denominator,harmful_intervention_rate,beneficial_intervention_count,beneficial_intervention_numerator,beneficial_intervention_denominator,beneficial_intervention_rate,missed_beneficial_intervention_count,missed_beneficial_intervention_numerator,missed_beneficial_intervention_denominator,missed_beneficial_intervention_rate,unnecessary_given_base_success_count,unnecessary_given_base_success_denominator,unnecessary_given_base_success_rate,missed_given_beneficial_opportunity_count,missed_given_beneficial_opportunity_denominator,missed_given_beneficial_opportunity_rate,utility_sum,utility_denominator,mean_utility,oracle_regret_sum,oracle_regret_denominator,mean_oracle_regret,value_gain_over_base_sum,oracle_value_available_sum,oracle_value_recovered,success_rate
Base,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,11,11,18,0.6111111111111112,6,6,18,0.3333333333333333,1,1,18,0.05555555555555555,0,0,18,0.0,0,0,18,0.0,0,0,18,0.0,0,0,18,0.0,7,7,18,0.3888888888888889,0,11,0.0,7,7,1.0,5.0,18,0.2777777777777778,7.0,18,0.3888888888888889,0.0,7.0,0.0,0.6111111111111112
Always Detour,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,8,8,18,0.4444444444444444,0,0,18,0.0,10,10,18,0.5555555555555556,18,18,18,1.0,11,11,18,0.6111111111111112,4,4,18,0.2222222222222222,7,7,18,0.3888888888888889,0,0,18,0.0,11,11,1.0,0,7,0.0,8.0,18,0.4444444444444444,4.0,18,0.2222222222222222,3.0,7.0,0.42857142857142855,0.4444444444444444
Always Retreat,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,0,0,18,0.0,0,0,18,0.0,18,18,18,1.0,18,18,18,1.0,11,11,18,0.6111111111111112,11,11,18,0.6111111111111112,6,6,18,0.3333333333333333,0,0,18,0.0,11,11,1.0,0,7,0.0,0.0,18,0.0,12.0,18,0.6666666666666666,-5.0,7.0,-0.7142857142857143,0.0
Risk->Retreat,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,8,8,18,0.4444444444444444,4,4,18,0.2222222222222222,6,6,18,0.3333333333333333,5,5,18,0.2777777777777778,3,3,18,0.16666666666666666,3,3,18,0.16666666666666666,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,3,11,0.2727272727272727,5,7,0.7142857142857143,4.0,18,0.2222222222222222,8.0,18,0.4444444444444444,-1.0,7.0,-0.14285714285714285,0.4444444444444444
Risk->Detour,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,11,11,18,0.6111111111111112,4,4,18,0.2222222222222222,3,3,18,0.16666666666666666,5,5,18,0.2777777777777778,3,3,18,0.16666666666666666,0,0,18,0.0,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,3,11,0.2727272727272727,5,7,0.7142857142857143,7.0,18,0.3888888888888889,5.0,18,0.2777777777777778,2.0,7.0,0.2857142857142857,0.6111111111111112
Risk->BestFixed,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,11,11,18,0.6111111111111112,4,4,18,0.2222222222222222,3,3,18,0.16666666666666666,5,5,18,0.2777777777777778,3,3,18,0.16666666666666666,0,0,18,0.0,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,3,11,0.2727272727272727,5,7,0.7142857142857143,7.0,18,0.3888888888888889,5.0,18,0.2777777777777778,2.0,7.0,0.2857142857142857,0.6111111111111112
Risk+TwoStage,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,11,11,18,0.6111111111111112,4,4,18,0.2222222222222222,3,3,18,0.16666666666666666,5,5,18,0.2777777777777778,3,3,18,0.16666666666666666,0,0,18,0.0,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,3,11,0.2727272727272727,5,7,0.7142857142857143,7.0,18,0.3888888888888889,5.0,18,0.2777777777777778,2.0,7.0,0.2857142857142857,0.6111111111111112
DirectChoice,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,6,6,18,0.3333333333333333,3,3,18,0.16666666666666666,9,9,18,0.5,9,9,18,0.5,6,6,18,0.3333333333333333,5,5,18,0.2777777777777778,3,3,18,0.16666666666666666,4,4,18,0.2222222222222222,6,11,0.5454545454545454,4,7,0.5714285714285714,3.0,18,0.16666666666666666,9.0,18,0.5,-2.0,7.0,-0.2857142857142857,0.3333333333333333
DirectQ,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,9,9,18,0.5,4,4,18,0.2222222222222222,5,5,18,0.2777777777777778,4,4,18,0.2222222222222222,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,2,11,0.18181818181818182,5,7,0.7142857142857143,5.0,18,0.2777777777777778,7.0,18,0.3888888888888889,0.0,7.0,0.0,0.5
DirectQ-lambda2,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,9,9,18,0.5,4,4,18,0.2222222222222222,5,5,18,0.2777777777777778,4,4,18,0.2222222222222222,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,2,11,0.18181818181818182,5,7,0.7142857142857143,5.0,18,0.2777777777777778,7.0,18,0.3888888888888889,0.0,7.0,0.0,0.5
DirectQ-lambda3,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,9,9,18,0.5,4,4,18,0.2222222222222222,5,5,18,0.2777777777777778,4,4,18,0.2222222222222222,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,2,11,0.18181818181818182,5,7,0.7142857142857143,5.0,18,0.2777777777777778,7.0,18,0.3888888888888889,0.0,7.0,0.0,0.5
DirectQ-lambda5,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,9,9,18,0.5,4,4,18,0.2222222222222222,5,5,18,0.2777777777777778,4,4,18,0.2222222222222222,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,2,11,0.18181818181818182,5,7,0.7142857142857143,5.0,18,0.2777777777777778,7.0,18,0.3888888888888889,0.0,7.0,0.0,0.5
DirectQ-lambda8,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,9,9,18,0.5,4,4,18,0.2222222222222222,5,5,18,0.2777777777777778,4,4,18,0.2222222222222222,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,2,11,0.18181818181818182,5,7,0.7142857142857143,5.0,18,0.2777777777777778,7.0,18,0.3888888888888889,0.0,7.0,0.0,0.5
PairwiseAdvantage,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,9,9,18,0.5,4,4,18,0.2222222222222222,5,5,18,0.2777777777777778,4,4,18,0.2222222222222222,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,2,2,18,0.1111111111111111,5,5,18,0.2777777777777778,2,11,0.18181818181818182,5,7,0.7142857142857143,5.0,18,0.2777777777777778,7.0,18,0.3888888888888889,0.0,7.0,0.0,0.5
OutcomeRouter,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,9,9,18,0.5,2,2,18,0.1111111111111111,7,7,18,0.3888888888888889,8,8,18,0.4444444444444444,4,4,18,0.2222222222222222,2,2,18,0.1111111111111111,4,4,18,0.2222222222222222,3,3,18,0.16666666666666666,4,11,0.36363636363636365,3,7,0.42857142857142855,7.0,18,0.3888888888888889,5.0,18,0.2777777777777778,2.0,7.0,0.2857142857142857,0.5
OutcomeRouter-hidden-only,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,9,9,18,0.5,2,2,18,0.1111111111111111,7,7,18,0.3888888888888889,10,10,18,0.5555555555555556,6,6,18,0.3333333333333333,2,2,18,0.1111111111111111,4,4,18,0.2222222222222222,3,3,18,0.16666666666666666,6,11,0.5454545454545454,3,7,0.42857142857142855,7.0,18,0.3888888888888889,5.0,18,0.2777777777777778,2.0,7.0,0.2857142857142857,0.5
OutcomeRouter-state-action-only,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,9,9,18,0.5,2,2,18,0.1111111111111111,7,7,18,0.3888888888888889,10,10,18,0.5555555555555556,6,6,18,0.3333333333333333,2,2,18,0.1111111111111111,4,4,18,0.2222222222222222,3,3,18,0.16666666666666666,6,11,0.5454545454545454,3,7,0.42857142857142855,7.0,18,0.3888888888888889,5.0,18,0.2777777777777778,2.0,7.0,0.2857142857142857,0.5
GeometryOracle-condition,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,1,11,11,18,0.6111111111111112,0,0,18,0.0,7,7,18,0.3888888888888889,6,6,18,0.3333333333333333,0,0,18,0.0,0,0,18,0.0,6,6,18,0.3333333333333333,1,1,18,0.05555555555555555,0,11,0.0,1,7,0.14285714285714285,11.0,18,0.6111111111111112,1.0,18,0.05555555555555555,6.0,7.0,0.8571428571428571,0.6111111111111112
Base,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,4,4,5,0.8,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,5,0.0,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-4.0,5,-0.8,0.0,5,0.0,0.0,0.0,,0.0
Always Detour,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
Always Retreat,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
Risk->Retreat,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
Risk->Detour,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
Risk->BestFixed,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
Risk+TwoStage,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
DirectChoice,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
DirectQ,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
DirectQ-lambda2,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
DirectQ-lambda3,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
DirectQ-lambda5,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
DirectQ-lambda8,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
PairwiseAdvantage,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
OutcomeRouter,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
OutcomeRouter-hidden-only,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
OutcomeRouter-state-action-only,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
GeometryOracle-condition,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,1,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,5,5,5,1.0,0,0,5,0.0,1,1,5,0.2,0,0,5,0.0,0,0,5,0.0,0,0,,0,0,,-5.0,5,-1.0,1.0,5,0.2,-1.0,0.0,,0.0
Base,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,0,0,12,0.0,0,0,12,0.0,0,0,12,0.0,0,0,12,0.0,5,5,12,0.4166666666666667,0,7,0.0,5,5,1.0,3.0,12,0.25,5.0,12,0.4166666666666667,0.0,5.0,0.0,0.5833333333333334
Always Detour,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,3,3,12,0.25,2,2,12,0.16666666666666666,12,12,12,1.0,7,7,12,0.5833333333333334,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,0,0,12,0.0,7,7,1.0,0,5,0.0,4.0,12,0.3333333333333333,4.0,12,0.3333333333333333,1.0,5.0,0.2,0.5833333333333334
Always Retreat,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,0,0,12,0.0,0,0,12,0.0,12,12,12,1.0,12,12,12,1.0,7,7,12,0.5833333333333334,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,0,0,12,0.0,7,7,1.0,0,5,0.0,0.0,12,0.0,8.0,12,0.6666666666666666,-3.0,5.0,-0.6,0.0
Risk->Retreat,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,2,2,12,0.16666666666666666,3,3,12,0.25,2,2,12,0.16666666666666666,0,0,12,0.0,0,0,12,0.0,2,2,12,0.16666666666666666,3,3,12,0.25,0,7,0.0,3,5,0.6,5.0,12,0.4166666666666667,3.0,12,0.25,2.0,5.0,0.4,0.5833333333333334
Risk->Detour,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,0,0,12,0.0,0,0,12,0.0,0,0,12,0.0,3,3,12,0.25,0,7,0.0,3,5,0.6,3.0,12,0.25,5.0,12,0.4166666666666667,0.0,5.0,0.0,0.5833333333333334
Risk->BestFixed,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,4,4,12,0.3333333333333333,1,1,12,0.08333333333333333,2,2,12,0.16666666666666666,0,0,12,0.0,0,0,12,0.0,0,0,12,0.0,3,3,12,0.25,0,7,0.0,3,5,0.6,3.0,12,0.25,5.0,12,0.4166666666666667,0.0,5.0,0.0,0.5833333333333334
Risk+TwoStage,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,7,7,12,0.5833333333333334,3,3,12,0.25,2,2,12,0.16666666666666666,2,2,12,0.16666666666666666,0,0,12,0.0,0,0,12,0.0,1,1,12,0.08333333333333333,3,3,12,0.25,0,7,0.0,3,5,0.6,4.0,12,0.3333333333333333,4.0,12,0.3333333333333333,1.0,5.0,0.2,0.5833333333333334
DirectChoice,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,1,6,6,12,0.5,3,3,12,0.25,3,3,12,0.25,4,4,12,0.3333333333333333,2,2,12,0.16666666666666666,1,1,12,0.08333333333333333,1,1,12,0.08333333333333333,3,3,12,0.25,2,7,0.2857142857142857,3,5,0.6,3.0,12,0.25,5.0,12,0.4166666666666667,0.0,5.0,0.0,0.5
