split,condition,horizon,strict_label,decision_count,distinct_source_count
calibration,glass,40,strict_base,0,0
calibration,glass,40,strict_detour,1,1
calibration,glass,40,strict_retreat,1,1
calibration,glass,40,detour_retreat_tie,1,1
calibration,glass,40,base_tie,1,1
calibration,glass,40,no_good_option,0,0
calibration,glass,30,strict_base,0,0
calibration,glass,30,strict_detour,2,2
calibration,glass,30,strict_retreat,0,0
calibration,glass,30,detour_retreat_tie,4,4
calibration,glass,30,base_tie,1,1
calibration,glass,30,no_good_option,0,0
calibration,glass,20,strict_base,0,0
calibration,glass,20,strict_detour,1,1
calibration,glass,20,strict_retreat,3,3
calibration,glass,20,detour_retreat_tie,2,2
calibration,glass,20,base_tie,1,1
calibration,glass,20,no_good_option,0,0
calibration,glass,10,strict_base,0,0
calibration,glass,10,strict_detour,2,2
calibration,glass,10,strict_retreat,3,3
calibration,glass,10,detour_retreat_tie,1,1
calibration,glass,10,base_tie,1,1
calibration,glass,10,no_good_option,0,0
calibration,glass,5,strict_base,0,0
calibration,glass,5,strict_detour,1,1
calibration,glass,5,strict_retreat,0,0
calibration,glass,5,detour_retreat_tie,2,2
calibration,glass,5,base_tie,1,1
calibration,glass,5,no_good_option,3,3
calibration,noglass,40,strict_base,1,1
calibration,noglass,40,strict_detour,0,0
calibration,noglass,40,strict_retreat,0,0
calibration,noglass,40,detour_retreat_tie,0,0
calibration,noglass,40,base_tie,3,3
calibration,noglass,40,no_good_option,0,0
calibration,noglass,30,strict_base,4,4
calibration,noglass,30,strict_detour,0,0
calibration,noglass,30,strict_retreat,0,0
calibration,noglass,30,detour_retreat_tie,0,0
calibration,noglass,30,base_tie,3,3
calibration,noglass,30,no_good_option,0,0
calibration,noglass,20,strict_base,2,2
calibration,noglass,20,strict_detour,0,0
calibration,noglass,20,strict_retreat,0,0
calibration,noglass,20,detour_retreat_tie,0,0
calibration,noglass,20,base_tie,5,5
calibration,noglass,20,no_good_option,0,0
calibration,noglass,10,strict_base,4,4
calibration,noglass,10,strict_detour,0,0
calibration,noglass,10,strict_retreat,0,0
calibration,noglass,10,detour_retreat_tie,0,0
calibration,noglass,10,base_tie,3,3
calibration,noglass,10,no_good_option,0,0
calibration,noglass,5,strict_base,3,3
calibration,noglass,5,strict_detour,0,0
calibration,noglass,5,strict_retreat,0,0
calibration,noglass,5,detour_retreat_tie,0,0
calibration,noglass,5,base_tie,4,4
calibration,noglass,5,no_good_option,0,0
calibration,offpath,40,strict_base,1,1
calibration,offpath,40,strict_detour,0,0
calibration,offpath,40,strict_retreat,0,0
calibration,offpath,40,detour_retreat_tie,0,0
calibration,offpath,40,base_tie,2,2
calibration,offpath,40,no_good_option,1,1
calibration,offpath,30,strict_base,3,3
calibration,offpath,30,strict_detour,0,0
calibration,offpath,30,strict_retreat,0,0
calibration,offpath,30,detour_retreat_tie,0,0
calibration,offpath,30,base_tie,4,4
calibration,offpath,30,no_good_option,0,0
calibration,offpath,20,strict_base,4,4
calibration,offpath,20,strict_detour,0,0
calibration,offpath,20,strict_retreat,0,0
calibration,offpath,20,detour_retreat_tie,0,0
calibration,offpath,20,base_tie,3,3
calibration,offpath,20,no_good_option,0,0
calibration,offpath,10,strict_base,3,3
calibration,offpath,10,strict_detour,0,0
calibration,offpath,10,strict_retreat,0,0
calibration,offpath,10,detour_retreat_tie,0,0
calibration,offpath,10,base_tie,4,4
calibration,offpath,10,no_good_option,0,0
calibration,offpath,5,strict_base,4,4
calibration,offpath,5,strict_detour,1,1
calibration,offpath,5,strict_retreat,0,0
calibration,offpath,5,detour_retreat_tie,0,0
calibration,offpath,5,base_tie,2,2
calibration,offpath,5,no_good_option,0,0
development,glass,40,strict_base,0,0
development,glass,40,strict_detour,1,1
development,glass,40,strict_retreat,0,0
development,glass,40,detour_retreat_tie,2,1
development,glass,40,base_tie,0,0
development,glass,40,no_good_option,1,1
development,glass,30,strict_base,0,0
development,glass,30,strict_detour,2,2
development,glass,30,strict_retreat,1,1
development,glass,30,detour_retreat_tie,3,3
development,glass,30,base_tie,1,1
development,glass,30,no_good_option,1,1
development,glass,20,strict_base,1,1
development,glass,20,strict_detour,2,2
development,glass,20,strict_retreat,2,1
development,glass,20,detour_retreat_tie,5,4
development,glass,20,base_tie,0,0
development,glass,20,no_good_option,0,0
development,glass,10,strict_base,0,0
development,glass,10,strict_detour,2,2
development,glass,10,strict_retreat,5,4
development,glass,10,detour_retreat_tie,2,1
development,glass,10,base_tie,0,0
development,glass,10,no_good_option,1,1
development,glass,5,strict_base,0,0
development,glass,5,strict_detour,1,1
development,glass,5,strict_retreat,5,4
development,glass,5,detour_retreat_tie,2,1
development,glass,5,base_tie,0,0
development,glass,5,no_good_option,2,2
development,noglass,40,strict_base,2,1
development,noglass,40,strict_detour,0,0
development,noglass,40,strict_retreat,0,0
development,noglass,40,detour_retreat_tie,0,0
development,noglass,40,base_tie,0,0
development,noglass,40,no_good_option,0,0
development,noglass,30,strict_base,4,3
development,noglass,30,strict_detour,0,0
development,noglass,30,strict_retreat,0,0
development,noglass,30,detour_retreat_tie,0,0
development,noglass,30,base_tie,2,2
development,noglass,30,no_good_option,0,0
development,noglass,20,strict_base,4,3
development,noglass,20,strict_detour,1,1
development,noglass,20,strict_retreat,0,0
development,noglass,20,detour_retreat_tie,0,0
development,noglass,20,base_tie,3,3
development,noglass,20,no_good_option,0,0
development,noglass,10,strict_base,2,1
development,noglass,10,strict_detour,0,0
development,noglass,10,strict_retreat,0,0
development,noglass,10,detour_retreat_tie,0,0
development,noglass,10,base_tie,6,5
development,noglass,10,no_good_option,0,0
development,noglass,5,strict_base,2,2
development,noglass,5,strict_detour,1,1
development,noglass,5,strict_retreat,0,0
development,noglass,5,detour_retreat_tie,0,0
development,noglass,5,base_tie,5,4
development,noglass,5,no_good_option,0,0
development,offpath,40,strict_base,0,0
development,offpath,40,strict_detour,0,0
development,offpath,40,strict_retreat,0,0
development,offpath,40,detour_retreat_tie,0,0
development,offpath,40,base_tie,2,1
development,offpath,40,no_good_option,0,0
development,offpath,30,strict_base,0,0
development,offpath,30,strict_detour,0,0
development,offpath,30,strict_retreat,0,0
development,offpath,30,detour_retreat_tie,0,0
development,offpath,30,base_tie,6,5
development,offpath,30,no_good_option,0,0
development,offpath,20,strict_base,1,1
development,offpath,20,strict_detour,0,0
development,offpath,20,strict_retreat,0,0
development,offpath,20,detour_retreat_tie,0,0
development,offpath,20,base_tie,7,5
development,offpath,20,no_good_option,0,0
development,offpath,10,strict_base,1,1
development,offpath,10,strict_detour,1,1
development,offpath,10,strict_retreat,0,0
development,offpath,10,detour_retreat_tie,0,0
development,offpath,10,base_tie,6,5
development,offpath,10,no_good_option,0,0
development,offpath,5,strict_base,2,2
development,offpath,5,strict_detour,0,0
development,offpath,5,strict_retreat,0,0
development,offpath,5,detour_retreat_tie,0,0
development,offpath,5,base_tie,6,5
development,offpath,5,no_good_option,0,0
train,glass,40,strict_base,0,0
train,glass,40,strict_detour,0,0
train,glass,40,strict_retreat,0,0
train,glass,40,detour_retreat_tie,2,1
train,glass,40,base_tie,1,1
train,glass,40,no_good_option,0,0
train,glass,30,strict_base,1,1
train,glass,30,strict_detour,1,1
train,glass,30,strict_retreat,0,0
train,glass,30,detour_retreat_tie,3,2
train,glass,30,base_tie,1,1
train,glass,30,no_good_option,0,0
train,glass,20,strict_base,0,0
train,glass,20,strict_detour,4,4
train,glass,20,strict_retreat,0,0
train,glass,20,detour_retreat_tie,2,2
train,glass,20,base_tie,0,0
train,glass,20,no_good_option,0,0
train,glass,10,strict_base,0,0
train,glass,10,strict_detour,5,4
train,glass,10,strict_retreat,1,1
train,glass,10,detour_retreat_tie,0,0
train,glass,10,base_tie,0,0
train,glass,10,no_good_option,0,0
train,glass,5,strict_base,0,0
train,glass,5,strict_detour,3,3
train,glass,5,strict_retreat,2,2
train,glass,5,detour_retreat_tie,0,0
