pair_id,absolute_risk_difference,detour_decision_id,detour_source,detour_split,detour_condition,detour_horizon,detour_base_risk,retreat_decision_id,retreat_source,retreat_split,retreat_condition,retreat_horizon,retreat_base_risk,same_source,same_condition,same_horizon
risk_pair_001,0.00011480255518780957,e0e7d3b00eafdf2acad0dd657f869fc566712dc12ea561892905158b8b84baa6,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,offpath,30,0.0005064447409103279,e7264922b1681771f81bfbe7b6d0ce3c28e7ad71bfbdc292ec50bc86de439cfd,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,glass,30,0.0006212472960981374,False,False,True
risk_pair_002,0.0007487934319763134,d09a5073901f11a5289cc361ef7e0432793bf00b1522a967e455148841fb74fa,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,glass,30,0.44319439066337263,4b8a554da0093a3ec951c15cfaddef82c5ff3bc10066c9992c01a050a711c5d5,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,development,glass,5,0.4424455972313963,False,True,False
risk_pair_003,0.0007532228742870295,3e2c25325d8f5927c7c4c7b9ec591fdf00c82961d42af74add458520f5f510ca,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,10,0.9999896531729964,b8a84988fb8bb42a81c6e988b8ac8ffd368df04599ae18041f30b924605c6d4a,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,train,glass,10,0.9992364302987093,False,True,True
risk_pair_004,0.0020117700843327313,2ccd971e77ce745c2eb16199826277fcd3c3072243e5e2d9b5214fb4b1d0b89c,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,noglass,5,0.33909711081020655,1540bf924d13468823c587804375e4b1b0877f46bea2853d701ce925f72a4f54,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,development,glass,10,0.3411088808945393,False,False,False
risk_pair_005,0.0041411004964680975,d7a83459cf8aa26ed9fb64db5f2fee6516ff0efd5181aab296ce9e56131d34eb,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,5,0.19612410374763056,f3149150b547fe6bf8f1cdd5c78dbc33109dbb4ee95ffe2807dce34ded9aa7b3,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,5,0.19198300325116247,False,True,True
risk_pair_006,0.010013969381598375,33e471e6525f09bc12523d8cfbd7783d07363c487bb2ab155cc45ff11119f30b,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,glass,10,0.9115701523355223,4237f493165f93661c61663c67e2aad7c986f4293d3b1b1520c190fded0f68cf,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,20,0.9015561829539239,False,True,False
risk_pair_007,0.01248538684420153,ffe18941bba4a481b2e394aea53d81513dc7d59f5fbf0901e78e76a5675aa9a1,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,glass,5,0.3730029978986811,3ddbe1e12c62eb0146f616ceb9ce6e48e60a8813c0c5512d2c54fc22b5e949bc,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,glass,20,0.36051761105447955,False,True,False
risk_pair_008,0.014450583541734341,b7a14e6e6fd6276353435635880e99a146734364afdbea8bf4d5cd2f6ee4a730,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,glass,10,0.9351961643212192,60207f9b74682e726d30d7e19721031daf6a765f561ba4467a7f2a46fde54d0b,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,glass,10,0.9207455807794849,False,True,True
risk_pair_009,0.020222903629515177,fa03a23fda55c3ea33661d3260f8d0dc60162f2748f3f5a17ea92d65562aa4ea,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,glass,5,0.9897322742960286,fba1b6546de0831ce1b7a92f2b9e94fc329d8004763917946681424617da557f,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,development,glass,10,0.9695093706665134,False,True,False
risk_pair_010,0.021741835070007376,985cbb95962a4a4693652b917048f4efaa1e748f2b8100847bc5151c1172ef92,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,glass,30,0.032170923531973705,934ab253c7fd1fe941ee81c193820b2134914aeede1773bc31a10d61a4afba06,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,10,0.05391275860198108,False,True,False
risk_pair_011,0.022824456916451852,7ca83a44e99d367d2e95daed5356b7f69806fa6d35b7dfdc4c906de79fb6c46b,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,glass,10,0.26507352588106803,1fd95ecb17a7648382c5c8fcc6a59f299f99ea9f6981f577828d8bb3174af1a6,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,5,0.24224906896461618,False,True,False
risk_pair_012,0.026002693243354358,5b708e46a05036fdd5aa4b920bcc63d26b0db31225bcd5dd629028e675a3f8d1,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,noglass,5,0.04645904301899262,35e708cd7d26ed664ae5a16e99ecfa9ac0f974c0e268ccf6e20806b3426e1a1f,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,40,0.07246173626234698,False,False,False
risk_pair_013,0.02984193243746114,43347d99e35479cdc3d3197e5c6127d8bb063ec834656eecdd505a39f52d7167,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,5,0.9768084829655009,f3f67f57bc6a517b90da02d8e03095ad4e9976149edd877a51220c85950d088b,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,20,0.9469665505280398,False,True,False
risk_pair_014,0.031773274574196986,b7bea5e726eba075249d5da9a36eebee5d4e1ea1c274da7f53055ccaccde9102,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,glass,10,0.9935755477934859,43f2bbbbfa3e37282a9cc7605f87507e77eb0045f02bb19b4811696d22618c3b,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,glass,10,0.9618022732192889,False,True,True
risk_pair_015,0.039659050373125226,186a916dbe71449fe65154f08c6e55355feff1d4a5d3ce5a4394889efcdc8edd,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,glass,20,0.3344391019008892,72a1ebf3e52a6671263202e9672070a7013b2dde26219c45b247bf795a50aa76,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,glass,20,0.294780051527764,False,True,True
risk_pair_016,0.04064825522674165,a3ea97e477fd5670df15a323acbe3fc8e49b58f82c84831b3054ad639e7abaa3,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,glass,20,0.9982517124499175,9bdd0920927a26b060cf70ca4890716f3f989358374c2e492c17ee4cc3816caf,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,glass,10,0.9576034572231759,False,True,False
risk_pair_017,0.0448695759208283,b88d87eac8925355e1cf433be849ef691a9e60ef8b84f944f2ef83bce0ab7631,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,glass,5,0.8251252344803456,f83d0199d1f4fdc40ae28dc3a5c02514dc5ae737d391602dea012bb750f98642,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,glass,5,0.8699948104011739,False,True,True
