source,historical_split,decision_count,strict_base_count,strict_detour_count,strict_retreat_count,detour_retreat_tie_count,base_tie_count,no_good_option_count,supports_strict_base,supports_strict_detour,supports_strict_retreat,has_detour_retreat_strict_flip,has_base_intervention_strict_flip,qualifies_gate_flip
0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,12,4,3,0,1,4,0,True,True,False,False,True,True
28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,5,0,3,0,0,1,1,False,True,False,False,False,False
2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,development,18,4,1,0,6,7,0,True,True,False,False,True,True
3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,development,5,1,0,0,0,0,4,True,False,False,False,False,False
5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,12,1,1,3,1,6,0,True,True,True,True,True,True
61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,development,12,2,0,2,2,6,0,True,False,True,False,True,True
6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,12,0,4,0,0,8,0,False,True,False,False,False,False
655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,development,12,4,0,2,2,4,0,True,False,True,False,True,True
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,30,3,6,1,5,15,0,True,True,True,True,True,True
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,12,5,0,2,1,4,0,True,False,True,False,True,True
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,15,5,1,3,2,4,0,True,True,True,True,True,True
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,15,7,3,0,0,3,2,True,True,False,False,True,True
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,12,2,3,0,0,6,1,True,True,False,False,True,True
a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,12,0,6,0,0,6,0,False,True,False,False,False,False
a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,calibration,12,3,0,0,4,5,0,True,False,False,False,False,False
b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,30,7,1,6,3,13,0,True,True,True,True,True,True
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,15,4,1,2,2,6,0,True,True,True,True,True,True
d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,5,0,4,0,0,0,1,False,True,False,False,False,False
ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,calibration,15,3,0,0,1,10,1,True,False,False,False,False,False
f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,train,12,6,0,2,1,3,0,True,False,True,False,True,True
