transition_axis,from_label,to_label,transition_count,distinct_source_count
matched_condition_pair,strict_base,strict_base,9,6
matched_condition_pair,strict_base,strict_detour,0,0
matched_condition_pair,strict_base,strict_retreat,0,0
matched_condition_pair,strict_detour,strict_base,10,5
matched_condition_pair,strict_detour,strict_detour,5,2
matched_condition_pair,strict_detour,strict_retreat,0,0
matched_condition_pair,strict_retreat,strict_base,17,8
matched_condition_pair,strict_retreat,strict_detour,1,1
matched_condition_pair,strict_retreat,strict_retreat,0,0
timing_earlier_to_later,strict_base,strict_base,23,12
timing_earlier_to_later,strict_base,strict_detour,1,1
timing_earlier_to_later,strict_base,strict_retreat,0,0
timing_earlier_to_later,strict_detour,strict_base,0,0
timing_earlier_to_later,strict_detour,strict_detour,18,8
timing_earlier_to_later,strict_detour,strict_retreat,1,1
timing_earlier_to_later,strict_retreat,strict_base,0,0
timing_earlier_to_later,strict_retreat,strict_detour,1,1
timing_earlier_to_later,strict_retreat,strict_retreat,11,8
