transition_axis,source,placement_id,context,from_decision_id,to_decision_id,from_horizon,to_horizon,from_label,to_label,label_changed
timing_earlier_to_later,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass_recovery_train_0009,glass,c4972e15a7574f2338d02cf8e2e50c88afef08380a8ebd81a4c444629494ec11,b7a14e6e6fd6276353435635880e99a146734364afdbea8bf4d5cd2f6ee4a730,20,10,strict_detour,strict_detour,False
timing_earlier_to_later,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass_recovery_train_0009,glass,b7a14e6e6fd6276353435635880e99a146734364afdbea8bf4d5cd2f6ee4a730,fa03a23fda55c3ea33661d3260f8d0dc60162f2748f3f5a17ea92d65562aa4ea,10,5,strict_detour,strict_detour,False
timing_earlier_to_later,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,glass_recovery_train_0009,noglass,f457e3419dd27406549cf2ec68e1f439408ffb635c888c54e315993bd3cace03,31aa7fddada0973f5e75f938afb6a0a8456f86ad83881fcf67ff0c93ea8d9791,30,20,strict_base,strict_base,False
timing_earlier_to_later,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,glass_recovery_train_0005,glass,b4c95a86ebe631a751e37aa907188a416e5ec4e12de5bcb493e939ae69141176,36d490af5d53eb69fdc0f1fc870d8e34cc1776a36147749b2576483b9e2b49ba,30,20,strict_detour,strict_detour,False
timing_earlier_to_later,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,glass_recovery_train_0005,glass,36d490af5d53eb69fdc0f1fc870d8e34cc1776a36147749b2576483b9e2b49ba,0fc5ee97f4043a167745105b004222b079b1b40a2eae7757b01f628fc8cf2fdc,20,10,strict_detour,strict_detour,False
timing_earlier_to_later,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,glass_recovery_train_0002,noglass,2da3ff4accb1314decf6f703bb4f1345ab6dcdf3ffccc9f988da08a08ac45f61,d569f3a1821a58ef5623cbc5eb42a01202ae976efb27c8472e5009ce2a469dc7,20,10,strict_base,strict_base,False
timing_earlier_to_later,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,glass_recovery_train_0003,noglass,cf498b2822b525713410b44823e1175d7dd082ebcfcbb4f174a499cf35bc203e,ab211aef83445d1b7703fc3b3a620cee25a1f9862ab33a99b04a8695a80c5729,20,10,strict_base,strict_base,False
timing_earlier_to_later,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,glass_recovery_validation_0000,glass,60207f9b74682e726d30d7e19721031daf6a765f561ba4467a7f2a46fde54d0b,97376df45024d23f451f0cc9e7f16122c8ca877dd224d0c4fe25c5f3ec19d55b,10,5,strict_retreat,strict_retreat,False
timing_earlier_to_later,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,glass_recovery_train_0004,glass,fba1b6546de0831ce1b7a92f2b9e94fc329d8004763917946681424617da557f,05310bf4778fd61d5fb16ba6ff81057d91a23b5b7e3c97c55542a25ba546a91d,10,5,strict_retreat,strict_retreat,False
timing_earlier_to_later,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,glass_recovery_train_0004,noglass,d60a3783c2fe92d6647633cf262d37aef5fd208d38b7e73a73c1101e5be5a26d,43f440c35f7fae6e5d2cf43fc17d86ebe44888d8f46117633c222c4c00c73037,30,20,strict_base,strict_base,False
