breakdown,value,decisions,independent_sources,r0_b0_count,r0_b0_source_macro_rate,r0_b1_count,r0_b1_source_macro_rate,r1_b0_count,r1_b0_source_macro_rate,r1_b1_count,r1_b1_source_macro_rate,disagreement_count,disagreement_sources,risk_positive_no_benefit_count,risk_negative_positive_benefit_count,strict_base_count,strict_base_sources,strict_detour_count,strict_detour_sources,strict_retreat_count,strict_retreat_sources
condition,glass,101,20,10,0.10250000000000001,0,0.0,9,0.0925,82,0.805,9,6,9,0,2,2,28,9,23,9
condition,noglass,86,17,81,0.9441176470588236,5,0.055882352941176466,0,0.0,0,0.0,5,4,0,5,35,12,5,4,0,0
condition,offpath,86,17,81,0.9460784313725492,4,0.04215686274509804,1,0.011764705882352941,0,0.0,5,5,1,4,24,12,4,4,0,0
mechanical_family,glass_recovery,273,20,172,0.5830555555555554,9,0.02777777777777778,10,0.07416666666666666,82,0.31499999999999995,19,12,10,9,61,16,37,13,23,9
condition_scope,glass_treatment,101,20,10,0.10250000000000001,0,0.0,9,0.0925,82,0.805,9,6,9,0,2,2,28,9,23,9
condition_scope,non_glass_controls,172,17,162,0.9450980392156862,9,0.049019607843137254,1,0.0058823529411764705,0,0.0,10,7,1,9,59,15,9,6,0,0
horizon,40,27,9,17,0.5555555555555556,0,0.0,2,0.14814814814814814,8,0.2962962962962963,2,2,2,0,4,3,2,2,1,1
horizon,30,57,19,39,0.6052631578947368,1,0.017543859649122806,1,0.05263157894736842,16,0.3245614035087719,2,2,1,1,15,12,6,6,1,1
horizon,20,63,20,41,0.6166666666666665,1,0.016666666666666666,0,0.0,21,0.3666666666666666,1,1,0,1,16,14,8,8,5,4
horizon,10,63,20,39,0.5583333333333332,2,0.025,1,0.05,21,0.3666666666666666,3,3,1,2,11,8,11,9,9,8
horizon,5,63,20,36,0.5249999999999999,5,0.05833333333333333,6,0.2,16,0.21666666666666665,11,10,6,5,15,11,10,7,7,6
