source,historical_split,decisions,family_labels,horizons,benefit_0_count,benefit_1_count,has_both_benefit_labels,risk_positive_no_benefit_count,risk_negative_positive_benefit_count,has_risk_benefit_disagreement,strict_base_count,strict_detour_count,strict_retreat_count,has_strict_base_detour_flip,has_strict_detour_retreat_flip,has_exact_same_risk_option_flip,mechanical_family
0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,train,12,glass|noglass|offpath,30|20|10|5,8,4,True,0,0,False,4,3,0,True,False,False,glass_recovery
28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,train,5,glass,40|30|20|10|5,2,3,True,1,0,True,0,3,0,False,False,False,glass_recovery
2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,development,18,glass|noglass|offpath,20|10|5,11,7,True,0,1,True,4,1,0,True,False,False,glass_recovery
3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,development,5,glass,40|30|20|10|5,5,0,False,4,0,True,1,0,0,False,False,False,glass_recovery
5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,development,12,glass|noglass|offpath,30|20|10|5,7,5,True,0,1,True,1,1,3,True,True,False,glass_recovery
61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,development,12,glass|noglass|offpath,30|20|10|5,8,4,True,0,0,False,2,0,2,False,False,False,glass_recovery
6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,development,12,glass|noglass|offpath,30|20|10|5,8,4,True,0,0,False,0,4,0,False,False,False,glass_recovery
655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,development,12,glass|noglass|offpath,30|20|10|5,8,4,True,0,0,False,4,0,2,False,False,False,glass_recovery
69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,train,30,glass|noglass|offpath,40|30|20|10|5,18,12,True,0,2,True,3,6,1,True,True,True,glass_recovery
76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,calibration,12,glass|noglass|offpath,30|20|10|5,9,3,True,0,0,False,5,0,2,False,False,False,glass_recovery
821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,15,glass|noglass|offpath,40|30|20|10|5,9,6,True,0,1,True,5,1,3,True,True,False,glass_recovery
9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,calibration,15,glass|noglass|offpath,40|30|20|10|5,12,3,True,2,0,True,7,3,0,True,False,False,glass_recovery
986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,12,glass|noglass|offpath,30|20|10|5,9,3,True,1,0,True,2,3,0,True,False,False,glass_recovery
a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,train,12,glass|noglass|offpath,30|20|10|5,6,6,True,0,3,True,0,6,0,False,False,False,glass_recovery
a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,calibration,12,glass|noglass|offpath,30|20|10|5,8,4,True,0,0,False,3,0,0,False,False,False,glass_recovery
b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,development,30,glass|noglass|offpath,40|30|20|10|5,20,10,True,0,1,True,7,1,6,True,True,True,glass_recovery
c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,calibration,15,glass|noglass|offpath,40|30|20|10|5,10,5,True,0,0,False,4,1,2,True,True,False,glass_recovery
d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,development,5,glass,40|30|20|10|5,1,4,True,1,0,True,0,4,0,False,False,False,glass_recovery
ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,calibration,15,glass|noglass|offpath,40|30|20|10|5,14,1,True,1,0,True,3,0,0,False,False,False,glass_recovery
f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,train,12,glass|noglass|offpath,30|20|10|5,9,3,True,0,0,False,6,0,2,False,False,False,glass_recovery
