outer_fold,held_source,strict_label,fit_source_support,minimum_required,support_valid
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,strict_base,12,1,True
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,strict_detour,8,1,True
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,strict_retreat,8,1,True
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,strict_base,13,1,True
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,strict_detour,9,1,True
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,strict_retreat,8,1,True
2,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,strict_base,11,1,True
2,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,strict_detour,8,1,True
2,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,strict_retreat,8,1,True
3,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,strict_base,10,1,True
3,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,strict_detour,10,1,True
3,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,strict_retreat,7,1,True
4,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,strict_base,12,1,True
4,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,strict_detour,9,1,True
4,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,strict_retreat,7,1,True
5,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,strict_base,11,1,True
5,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,strict_detour,10,1,True
5,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,strict_retreat,5,1,True
6,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,strict_base,12,1,True
6,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,strict_detour,9,1,True
6,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,strict_retreat,7,1,True
7,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,strict_base,11,1,True
7,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,strict_detour,9,1,True
7,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,strict_retreat,6,1,True
8,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,strict_base,12,1,True
8,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,strict_detour,9,1,True
8,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,strict_retreat,7,1,True
9,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,strict_base,12,1,True
9,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,strict_detour,10,1,True
9,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,strict_retreat,7,1,True
10,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,strict_base,12,1,True
10,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,strict_detour,8,1,True
10,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,strict_retreat,7,1,True
11,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,strict_base,10,1,True
11,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,strict_detour,8,1,True
11,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,strict_retreat,7,1,True
12,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,strict_base,12,1,True
12,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,strict_detour,9,1,True
12,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,strict_retreat,7,1,True
13,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,strict_base,13,1,True
13,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,strict_detour,8,1,True
13,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,strict_retreat,8,1,True
14,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,strict_base,11,1,True
14,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,strict_detour,10,1,True
14,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,strict_retreat,8,1,True
15,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,strict_base,12,1,True
15,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,strict_detour,10,1,True
15,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,strict_retreat,7,1,True
16,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,strict_base,10,1,True
16,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,strict_detour,9,1,True
16,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,strict_retreat,5,1,True
17,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,strict_base,12,1,True
17,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,strict_detour,9,1,True
17,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,strict_retreat,6,1,True
18,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,strict_base,11,1,True
18,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,strict_detour,9,1,True
18,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,strict_retreat,8,1,True
19,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,strict_base,11,1,True
19,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,strict_detour,9,1,True
19,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,strict_retreat,6,1,True
