method,source_macro_utility,task_success_rate,catastrophe_rate,intervention_rate,harmful_intervention_rate,oracle_value_recovered,strict_base_recall,strict_detour_recall,strict_retreat_recall,detour_retreat_balanced_accuracy,strict_choice_macro_f1,wrong_intervention_catastrophe_rate,intervention_choice_regret,control_task_success_rate,unnecessary_intervention_rate,base_success_overridden_rate,raw_decisions,raw_task_successes,raw_catastrophes,raw_interventions,raw_harmful_interventions,raw_strict_base_correct,raw_strict_base_total,raw_strict_detour_correct,raw_strict_detour_total,raw_strict_retreat_correct,raw_strict_retreat_total
Base,0.1305555555555555,0.5197222222222222,0.3891666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22559444108972845,0.0,1.3277310924369745,0.9039215686274511,0.0,0.0,273,157,92,0,0,61,61,0,37,0,23
Always Detour,0.2547222222222222,0.43472222222222223,0.18,1.0,0.22194444444444444,0.28635490070467645,0.0,1.0,0.0,0.5,0.1664284579958711,0.4215686274509804,0.4215686274509804,0.6009803921568628,1.0,1.0,273,128,40,273,63,0,61,37,37,0,23
Always Retreat,-0.18583333333333335,0.0,0.18583333333333335,1.0,0.5397222222222222,-0.7296604740550927,0.0,0.0,1.0,0.5,0.08988223984619083,0.1568627450980392,0.6274509803921567,0.0,1.0,1.0,273,0,26,273,159,0,61,0,37,23,23
Risk->Retreat,0.12972222222222218,0.43944444444444447,0.30972222222222223,0.3505555555555556,0.10027777777777777,-0.0019218449711723056,0.7775297619047618,0.0,0.5370370370370369,0.26851851851851843,0.32494601106974264,0.11764705882352941,0.957983193277311,0.7754901960784313,0.2844660894660895,0.15189287836346654,273,136,68,68,23,50,61,0,37,12,23
Risk->Detour,0.2477777777777777,0.4988888888888889,0.2511111111111111,0.49805555555555564,0.11416666666666667,0.270339525944907,0.5438988095238095,0.5705128205128204,0.0,0.2852564102564102,0.34490595976780636,0.2948179271708683,0.7787114845938375,0.7656862745098039,0.43387445887445897,0.33472790185592943,273,150,64,111,28,35,61,23,37,0,23
Risk->BestFixed,0.2544444444444444,0.5022222222222222,0.24777777777777782,0.49472222222222223,0.11083333333333334,0.2857142857142857,0.5595238095238095,0.5705128205128204,0.05555555555555555,0.313034188034188,0.3805280085963671,0.27521008403361347,0.7591036414565825,0.7715686274509804,0.4288744588744589,0.32819195414351116,273,151,63,110,27,36,61,23,37,1,23
Risk+TwoStage,0.20777777777777776,0.4763888888888889,0.26861111111111113,0.46638888888888896,0.12,0.17809096732863552,0.5949404761904762,0.3012820512820514,0.37037037037037035,0.3358262108262109,0.42550166681753526,0.15196078431372548,0.7668067226890756,0.7627450980392156,0.4054022366522367,0.3008467023172905,273,142,64,98,28,39,61,12,37,8,23
SB-Risk+TwoStage,0.20777777777777776,0.4763888888888889,0.26861111111111113,0.46638888888888896,0.12,0.17809096732863552,0.5949404761904762,0.3012820512820514,0.37037037037037035,0.3358262108262109,0.42550166681753526,0.15196078431372548,0.7668067226890756,0.7627450980392156,0.4054022366522367,0.3008467023172905,273,142,64,98,28,39,61,12,37,8,23
DirectChoice,0.24166666666666664,0.48722222222222217,0.24555555555555558,0.43527777777777776,0.09916666666666665,0.25624599615631005,0.6419642857142857,0.3461538461538462,0.2962962962962963,0.32122507122507127,0.4244710645456873,0.19047619047619044,0.7079831932773109,0.7715686274509803,0.3463203463203463,0.3730666907911489,273,145,55,113,27,38,61,14,37,7,23
DirectQ,0.1969444444444444,0.4686111111111111,0.27166666666666667,0.41305555555555556,0.08944444444444442,0.15310698270339523,0.6260416666666666,0.31410256410256415,0.3703703703703703,0.3422364672364672,0.3835623578890554,0.17507002801120444,0.8648459383753502,0.784313725490196,0.3529112554112554,0.37141288263123984,273,144,56,110,24,41,61,10,37,7,23
SB-DirectQ,0.19277777777777774,0.4636111111111111,0.27083333333333337,0.3847222222222223,0.09194444444444444,0.14349775784753363,0.603125,0.2243589743589744,0.5185185185185184,0.3714387464387464,0.4087579459126533,0.1015406162464986,0.8158263305322129,0.7754901960784313,0.3215620490620491,0.3336049834137614,273,142,55,103,24,40,61,8,37,10,23
PairwiseAdvantage,0.1969444444444444,0.4686111111111111,0.27166666666666667,0.41305555555555556,0.08944444444444442,0.15310698270339523,0.6260416666666666,0.31410256410256415,0.3703703703703703,0.3422364672364672,0.3835623578890554,0.17507002801120444,0.8648459383753502,0.784313725490196,0.3529112554112554,0.37141288263123984,273,144,56,110,24,41,61,10,37,7,23
OutcomeRouter,0.2722222222222222,0.5008333333333335,0.22861111111111115,0.48305555555555557,0.0938888888888889,0.32671364509929535,0.5925595238095239,0.326923076923077,0.3703703703703703,0.34864672364672367,0.42549052386746333,0.1799719887955182,0.6589635854341737,0.7867647058823529,0.4000703463203464,0.35074697859254395,273,148,48,128,25,39,61,16,37,7,23
SB-OutcomeRouter,0.2672222222222222,0.5066666666666666,0.23944444444444446,0.4513888888888889,0.08222222222222222,0.3151825752722614,0.653422619047619,0.3012820512820513,0.48148148148148134,0.39138176638176636,0.47114352097050277,0.1211484593837535,0.634453781512605,0.8147058823529412,0.37737193362193366,0.3174486231306482,273,151,48,124,22,42,61,15,37,9,23
SB-COR,0.24277777777777773,0.48750000000000004,0.24472222222222223,0.42361111111111116,0.09472222222222222,0.2588084561178731,0.6061011904761905,0.25,0.48148148148148134,0.3657407407407407,0.4451789803599952,0.1211484593837535,0.6932773109243696,0.7926470588235293,0.35362193362193367,0.3216922194339786,273,146,49,117,25,39,61,13,37,9,23
OutcomeRouter-hidden-only,0.2644444444444444,0.4833333333333333,0.2188888888888889,0.5222222222222224,0.11555555555555555,0.30877642536835365,0.48809523809523814,0.43589743589743596,0.5185185185185184,0.47720797720797714,0.4780127152516096,0.11204481792717086,0.5637254901960784,0.7588235294117646,0.43117784992784997,0.3966583452970267,273,144,43,144,32,31,61,19,37,10,23
OutcomeRouter-state-action-only,0.17277777777777772,0.49000000000000005,0.3172222222222222,0.4038888888888889,0.08972222222222223,0.09737347853939779,0.6075892857142857,0.34615384615384626,0.0,0.17307692307692313,0.2706122565214217,0.19957983193277312,1.049719887955182,0.7955882352941175,0.41599927849927854,0.36551539275997474,273,145,77,97,23,39,61,11,37,0,23
Condition-only diagnostic,0.32388888888888884,0.5547222222222222,0.2308333333333334,0.43333333333333335,0.02833333333333334,0.44586803331197944,0.9270833333333333,0.3076923076923077,0.2222222222222222,0.26495726495726496,0.44531294409239536,0.48669467787114845,0.780812324929972,0.9039215686274511,0.20011904761904764,0.012418300653594769,273,166,39,101,4,59,61,11,37,4,23
Horizon-only diagnostic,0.18666666666666665,0.4811111111111111,0.2944444444444445,0.4641666666666667,0.10305555555555557,0.12940422805893662,0.5610119047619048,0.37820512820512825,0.0,0.18910256410256412,0.28673039313170395,0.18067226890756302,0.880252100840336,0.7666666666666667,0.45022366522366525,0.48159290172584635,273,144,68,128,28,34,61,16,37,0,23
