method,source,decisions,utility,task_success_rate,catastrophe_rate,intervention_rate,strict_base_recall,strict_detour_recall,strict_retreat_recall
Base,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,12,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,
Base,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5,-0.8,0.0,0.8,0.0,,0.0,
Base,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,18,0.2777777777777778,0.6111111111111112,0.3333333333333333,0.0,1.0,0.0,
Base,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,5,-0.8,0.0,0.8,0.0,1.0,,
Base,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,12,0.25,0.5833333333333334,0.3333333333333333,0.0,1.0,0.0,0.0
Base,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,12,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,,0.0
Base,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,12,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,,0.0,
Base,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,12,0.25,0.5833333333333334,0.3333333333333333,0.0,1.0,,0.0
Base,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,30,0.23333333333333334,0.5666666666666667,0.3333333333333333,0.0,1.0,0.0,0.0
Base,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,12,0.4166666666666667,0.6666666666666666,0.25,0.0,1.0,,0.0
Base,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,15,0.26666666666666666,0.6,0.3333333333333333,0.0,1.0,0.0,0.0
Base,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,15,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,
Base,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,12,0.25,0.5833333333333334,0.3333333333333333,0.0,1.0,0.0,
Base,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,12,0.16666666666666666,0.4166666666666667,0.25,0.0,,0.0,
