method,task_success_rate,catastrophe_rate,safe_noncompletion_rate,intervention_rate,base_choices,detour_choices,retreat_choices,mean_oracle_regret
Base,0.6666666666666666,0.3333333333333333,0.0,0.0,24,0,0,0.5833333333333334
Always Detour,0.7083333333333334,0.041666666666666664,0.25,1.0,0,24,0,0.25
Always Retreat,0.0,0.0,1.0,1.0,0,0,24,0.9166666666666666
Risk -> Retreat (rate-matched),0.4166666666666667,0.08333333333333333,0.5,0.5,12,0,12,0.5833333333333334
Risk -> Detour (rate-matched),0.8333333333333334,0.125,0.041666666666666664,0.5,12,12,0,0.20833333333333334
Risk -> best fixed option,0.6666666666666666,0.3333333333333333,0.0,0.0,24,0,0,0.5833333333333334
Two-threshold Risk,0.6666666666666666,0.3333333333333333,0.0,0.0,24,0,0,0.5833333333333334
Geometry Gate,0.9166666666666666,0.041666666666666664,0.041666666666666664,0.3333333333333333,16,8,0,0.041666666666666664
Counterfactual Router,0.875,0.08333333333333333,0.041666666666666664,0.5833333333333334,10,14,0,0.125
Counterfactual Oracle,0.9166666666666666,0.0,0.08333333333333333,0.3333333333333333,16,7,1,0.0
