comparison,method_a,method_b,source_state_sha256,task_success_count_difference,task_success_rate_difference,catastrophe_count_difference,catastrophe_rate_difference,safe_noncompletion_count_difference,safe_noncompletion_rate_difference,intervention_count_difference,intervention_rate_difference
Direct_minus_P2,DirectRecoveryRouter,P2SequentialRouter,207db297165dc796946e7d0297e0e026bc7ce1b43f0bb4073a21dec988ba03f2,-1.0,-0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,-1.0,-0.3333333333333333
Direct_minus_P2,DirectRecoveryRouter,P2SequentialRouter,245d58ac0733deec6e2ae3927433e9fc5f959fbe0701062136ab6685ec0724b6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_P2,DirectRecoveryRouter,P2SequentialRouter,2a9d837e0cc37be1ce1279e86fec638b7a9583e60089163870fdc3cfee55b4f0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.3333333333333333
Direct_minus_P2,DirectRecoveryRouter,P2SequentialRouter,7370c49d07722ff7f6ccae200bc560c06a5ab54b9ee6eec193c40b44a47524d5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_P2,DirectRecoveryRouter,P2SequentialRouter,992c7e2dc3409022b51b2aee43b6ae58f94a78f02071670fdd581c18d59e4c9b,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.3333333333333333
Direct_minus_P2,DirectRecoveryRouter,P2SequentialRouter,a5ad29e88a01382637ef9ed7e1093aa140c2f5e0b207623f0c87fb97fb306a35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_P2,DirectRecoveryRouter,P2SequentialRouter,f8a2a5ff23be3f23e75a03b768ecd6b985d87c0a3f48f32c4d0ae7edfc111de6,0.0,0.0,1.0,0.3333333333333333,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333
Direct_minus_P2,DirectRecoveryRouter,P2SequentialRouter,fb1bc21f7dd0df85995442f180874e19c9fd762a3fce13faef858c3dcd460928,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.3333333333333333
Direct_minus_Base,DirectRecoveryRouter,Base,207db297165dc796946e7d0297e0e026bc7ce1b43f0bb4073a21dec988ba03f2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_Base,DirectRecoveryRouter,Base,245d58ac0733deec6e2ae3927433e9fc5f959fbe0701062136ab6685ec0724b6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_Base,DirectRecoveryRouter,Base,2a9d837e0cc37be1ce1279e86fec638b7a9583e60089163870fdc3cfee55b4f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_Base,DirectRecoveryRouter,Base,7370c49d07722ff7f6ccae200bc560c06a5ab54b9ee6eec193c40b44a47524d5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_Base,DirectRecoveryRouter,Base,992c7e2dc3409022b51b2aee43b6ae58f94a78f02071670fdd581c18d59e4c9b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_Base,DirectRecoveryRouter,Base,a5ad29e88a01382637ef9ed7e1093aa140c2f5e0b207623f0c87fb97fb306a35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_Base,DirectRecoveryRouter,Base,f8a2a5ff23be3f23e75a03b768ecd6b985d87c0a3f48f32c4d0ae7edfc111de6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct_minus_Base,DirectRecoveryRouter,Base,fb1bc21f7dd0df85995442f180874e19c9fd762a3fce13faef858c3dcd460928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_minus_Base,P2SequentialRouter,Base,207db297165dc796946e7d0297e0e026bc7ce1b43f0bb4073a21dec988ba03f2,1.0,0.3333333333333333,-1.0,-0.3333333333333333,0.0,0.0,1.0,0.3333333333333333
P2_minus_Base,P2SequentialRouter,Base,245d58ac0733deec6e2ae3927433e9fc5f959fbe0701062136ab6685ec0724b6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_minus_Base,P2SequentialRouter,Base,2a9d837e0cc37be1ce1279e86fec638b7a9583e60089163870fdc3cfee55b4f0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333
P2_minus_Base,P2SequentialRouter,Base,7370c49d07722ff7f6ccae200bc560c06a5ab54b9ee6eec193c40b44a47524d5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_minus_Base,P2SequentialRouter,Base,992c7e2dc3409022b51b2aee43b6ae58f94a78f02071670fdd581c18d59e4c9b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333
P2_minus_Base,P2SequentialRouter,Base,a5ad29e88a01382637ef9ed7e1093aa140c2f5e0b207623f0c87fb97fb306a35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2_minus_Base,P2SequentialRouter,Base,f8a2a5ff23be3f23e75a03b768ecd6b985d87c0a3f48f32c4d0ae7edfc111de6,0.0,0.0,-1.0,-0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333
P2_minus_Base,P2SequentialRouter,Base,fb1bc21f7dd0df85995442f180874e19c9fd762a3fce13faef858c3dcd460928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333
